黑布香囊	Túi Thơm hắc bố
甲乙囊	Giáp Ất Nang
野猪皮香囊	Túi Thơm Da Lợn Rừng
莲花斩仙囊	Liên Hoa Trảm Tiên Bao
兔皮香囊	Túi Thơm Da thỏ
戊己灵骨囊	Mậu Kỷ Linh Cốt Nang
狼皮香囊	Túi thơm da sói
行疆炽魂囊	Hành Cương Sí Hồn Nang
熊皮薄下裳	Da gấu Bạc Hạ Thường
行疆霓光御	Hành Cương Nghê Quang Ngự
蓝布薄下裳	Vải xanh Bạc Hạ Thường
甲乙道德衫	Giáp Ất Đạo Đức Sam
镇岳圣囊	Thánh nang Trấn Nhạc
野猪皮薄下裳	Hạ Thường da lợn rừng mỏng
戊己三才御	Mậu Kỷ Tam Tài Ngự
蓝布香囊	Túi Thơm Vải xanh
苍莽天地囊	Thương Mãng Thiên Địa Nang
四象甲	Giáp Tứ Tượng
靛蓝布手帕	Khăn tay điện lam bố
长生恶魄帛	Trường Sinh Ác Phách Bạch
紫布手帕	Khăn Tay Vải tím
苍莽辟邪帛	Lụa Thương Long Trừ Tà
青龙三清绢	Thanh Long Tam Thanh Quyên
白布手帕	Khăn Tay Vải trắng
苍龙白骨绢	Lụa Bạch Cốt Thương Long


