Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
LingHun_AskTNpc	0	Hãy nói cho ta tất cả những gì ngươi biết về [TSCHOOL][TNAME]!	ta thật sự không quen biết [TIT]	ta nói ta nói……	Không còn gì khác nữa, thật sự không còn rồi		
LingHun_AskTNpcData	0	Hãy nói cho ta tất cả những gì ngươi biết liên quan đến [TSCHOOL][TNAME][TXT]!	ta không biết.. ta không biết..	ta nói ta nói……	Không còn gì khác nữa, thật sự không còn rồi		
LingHun_AskTNpcSecret	0	Hãy nói cho ta tất cả những bí mật về [TSCHOOL][TNAME]!	ta không biết.. ta không biết..	ta nói ta nói……	ta chết cũng không nói		
LingHun_Die	0	[HENAME] đã không còn nữa	......             				
LingHun_AskNpc	0	ngươi hãy thành thật khai báo, làm người không dễ, nếu ngươi thành thật khai báo, ta có thể cứu ngươi một mạng, nếu không thì thật đáng tiếc cho mạng sống của ngươi?	……ta thật sự không biết……             	Được rồi…… ta nói, ta đều đã khai hết……	Thì sao chứ? Có gì thì cứ việc sử dụng đi...		
LingHun_DontKnow	0	Nói cho ta điều này, kháng cự có lợi ích gì?	……Tôi thật sự không biết……				
LingHun_Feature	0	ta đã biết ngươi là người [TXT], ta có nhiều cách để đối phó với ngươi, ngươi hãy thành thật một chút, để khỏi phải chịu đựng nhiều đau khổ như vậy.	……([NAME] linh hồn co giật một cách đau đớn, dường như rất đau khổ)……	Được… được… ta đã nói hết rồi, đừng tiếp tục nữa……	Thì sao chứ? Có gì thì cứ việc sử dụng đi...		
LingHun_Feature_Open	0	Ha ha ha, nghe nói ngươi là một người [TXT]. ta muốn xem cho rõ.	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
LingHun_LikeItem	0	ngươi thích [TXT] đúng không? Tại sao phải cứng đầu như vậy, chỉ cần thành thật khai báo, ngươi sẽ có thể sở hữu [TXT] vô tận sau này, cần gì phải như vậy? (Sử dụng ảo ảnh mô phỏng ra nhiều [TXT] xung quanh.)	……([NAME] linh hồn co giật một cách đau đớn, dường như rất đau khổ)……	Được… được… chỉ cần cho ta [TXT], ta sẽ nói hết……	Thì sao chứ? Có gì thì cứ việc sử dụng đi...		
LingHun_LikeItem_Open	0	ngươi thích [TXT] đúng không? Tiếc là nó sắp thuộc về ta! Ha ha ha! (Sử dụng ảo ảnh mô phỏng ra nhiều [TXT] và chiếm đoạt chúng.)	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
LingHun_HateItem	0	ngươi không thích [TXT] đúng không? Chỉ cần ngươi thành thật khai báo, ta đảm bảo sẽ không để ngươi phải chịu đựng những điều này nữa... (Sử dụng ảo ảnh mô phỏng ra nhiều [TXT] bao quanh [HENAME].)	……([NAME] linh hồn co giật một cách đau đớn, dường như rất đau khổ)……	Được… được… ta đã khai hết, đừng tiếp tục nữa……	Thì sao chứ? Có gì thì cứ việc sử dụng đi...		
LingHun_HateItem_Open	0	ngươi không thích [TXT] đúng không? Ha?! Có vẻ ngươi khá kiêu ngạo? (Sử dụng ảo ảnh mô phỏng ra [TXT] và đặt chúng lên đầu [NAME].)	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
LingHun_Hobby	0	Nghe nói đây là [TXT] của ngươi? Chỉ cần ngươi khai báo, ta sẽ giúp ngươi giải thoát.	……([NAME] linh hồn co giật một cách đau đớn, dường như rất đau khổ)……	Đừng nói nữa! Đừng tiếp tục nữa! ta nói, ta đã nói hết!	Thì sao chứ? Có gì thì cứ việc sử dụng đi...		
LingHun_Hobby_Open	0	Ha? Nghe nói đây là [TXT] của ngươi? Không ngờ ngươi cũng là nhân vật đáng chú ý, nhưng yên tâm, ta sẽ dùng điều này khiến ngươi mất hết danh tiếng, ân hận không kịp! Ha ha ha!	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
LingHun_Esoterica	0	Nghe nói ngươi rất giỏi [TXT]? Hãy thành thật khai báo đi, nếu không thì những gì ngươi đã học được có ý nghĩa gì?	……	Được, được…… ta khai, ta đã khai hết……	Thì sao chứ? Có gì thì cứ việc sử dụng đi...		
LingHun_Esoterica_Open	0	Người như ngươi cũng xứng đáng có [TXT]? Hãy giao nộp nó ra, để không làm hạt ngọc bị bụi bẩn, ta cũng sẽ cho ngươi một cái kết nhanh chóng!	……	Được, được, ta sẽ nói cho ngươi…… đừng tiếp tục nữa	………ừm………		
LingHun_Secret	0	[TXT] đã giấu trong lòng lâu rồi đúng không, ngươi còn biết gì nữa, hãy khai ra đi!	……	Được, được, ta đã nói hết! Tha cho ta đi……	ta không biết thêm gì nữa...		
LingHun_Secret_Open	0	Hãy nói cho ta tất cả những gì liên quan đến [TXT], như vậy ngươi sẽ được giải thoát.	……	Được, được, ta đã nói hết! Tha cho ta đi……	ta không biết thêm gì nữa...		
LingHun_KnowClue	0	Cận kề cái chết, giữ những bí mật này có ích gì? Hãy khai báo tất cả những manh mối về [TXT], để ta cho ngươi một cái kết nhanh chóng.	……	ta biết cái này, ta cũng biết cái khác, ta đã khai hết!	ta không biết, ta không biết, đừng ép ta!		
LingHun_DontKnowClue	0	Cận kề cái chết, giữ những bí mật này có ích gì? Hãy khai báo tất cả những manh mối về [TXT], để ta cho ngươi một cái kết nhanh chóng.	……	ta không biết cái này, nhưng ta cảm thấy có một số chuyện liên quan đến cái này…… ta đã nói cho ngươi, hãy cho ta một cái kết đi……	ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowOtherClue	0	Cận kề cái chết, giữ những bí mật này có ích gì? Hãy khai báo tất cả những manh mối về [TXT], để ta cho ngươi một cái kết nhanh chóng.	……	ta thật sự không biết cái này, nhưng ta biết những bí mật khác, ta đã nói, đừng tiếp tục nữa……	ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowSecret	0	Cận kề cái chết, giữ những bí mật này có ích gì? Hãy khai báo tất cả những manh mối về [TXT], để ta cho ngươi một cái kết nhanh chóng.	……	ta biết, ta đã khai hết! Tha cho ta đi……	ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowOtherSecret_Open	0	Cận kề cái chết, giữ những bí mật này có ích gì? Hãy khai báo tất cả những manh mối về [TXT], để ta cho ngươi một cái kết nhanh chóng.	……	ta không biết, nhưng ta biết những bí mật khác, xin ngươi đừng tiếp tục nữa……	ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowOtherSecret_Close	0	Cận kề cái chết, giữ những bí mật này có ích gì? Hãy khai báo tất cả những manh mối về [TXT], để ta cho ngươi một cái kết nhanh chóng.	……	ta không biết cái này, những gì ta biết không liên quan đến những điều này, tại sao lại đối xử với ta như vậy!	ta không biết, ta không biết, đừng ép ta!		


