ID	Name	Desc	Level	Rank	Gong	Miji	GLevel	GrandMaster	BasePower	UnLockBuilding	ZhenInfo	ZhenName	Race
499后不可用	门派名字	介绍	Cấp độ môn phái: 1 Trại 2 Phái 3 Động Thiên	Chính-tà 0: Không rõ  1,-1: Vừa chính vừa tà  2~4: Chính  -2~-4: Tà	门派功法 随便填 没实体	Bí Truyền môn phái	Cảnh giới trung bình	祖师	Thực lực cơ bản	Công trình mở khóa sau chinh phục	Thông tin Trận pháp	Tên trận pháp	Chủng tộc, mặc định RANDOM là chủng tộc ngẫu nhiên, RANDOMYAOGUAI là yêu quái ngẫu nhiên
1	Đan Hà Động Thiên	Thượng Thanh truyền thừa tại nhân gian, tọa lạc trên đỉnh núi Đan Hạ, là trụ cột của chính đạo. Đan Hạ phái tinh thông thuật luyện bảo bối, trong phái có mười thanh thần kiếm trấn phái đều là thượng phẩm thần binh trên cấp mười.			Kỷ Dần Cửu Trùng Đa Bảo Chân Giải			Linh Bảo Thiên Tôn				Thượng Thanh Huyền Tiêu Đại Trận	
2	Côn Lôn Cung	Ngọc Thanh Nguyên Thủy truyền thừa đạo thống nhân gian, uy nghi đứng vững dưới chân núi Côn Lôn, là trụ cột của chính đạo. Côn Lôn phái tu luyện Ngọc Thanh tiên pháp với pháp lực hùng mạnh, có nhiều đồ đệ, có thể gọi là đại phái số một của chính đạo.			Ngọc Thanh Tiên Pháp			Nguyên Thủy Thiên Tôn				Vạn Đạo Tôn Pháp Trận	
3	Cực Thiên Cung	Nằm ở đỉnh Thiên Cực Phong, môn phái ẩn dật này chỉ thu nhận mỹ nam mỹ nữ. Bí pháp trong phái lấy tình làm đạo, trước có tình sau quên tình, từ đó đạt tới cảnh giới tối thượng, để lại nhiều chuyện tình cảm trong giới tu hành.			Thái Thượng Vong Tình Đạo			Minh Tôn				Thất Tình Kiếp Tâm Trận	
4	Tử Tiêu Tông	Nhập thế đạo môn, tinh thông phong thủy thuật số, chú trọng hành hiệp giang hồ rèn luyện đạo tâm, mặc dù môn đồ tu luyện tiên đạo, nhưng hành động lại có phong cách của kẻ hành hiệp, thường đi lại giang hồ bằng phong thủy thuật số.			Tử Hà Chân Pháp			Tử Hà Chân Nhân				Ngũ Lôi Ngũ Ngự Thần Trận	
5	Huyền Nhất Đạo	Nhập thế đạo môn, trong thế tục là quốc giáo, thầy của hoàng đế. Môn phái xây dựng cũng sang trọng trang nghiêm, chủ yếu là màu tím, có khí chất hoàng gia. Do được tôn vinh là quốc giáo, nên nhang đèn luôn nườm nượp.			Ngũ Lôi Thiên Tâm Chính Pháp			Huyền Nhất Đạo Nhân				Tử Khí Kim Huyền Tôn Trận	
6	Thanh Liên Kiếm Tông	Thanh Liên Kiếm Tiên truyền thừa môn phái ẩn dật, phái này tinh luyện kiếm pháp, chú trọng vào sát phạt, lấy đạo tự do làm mục tiêu.			Thái Bạch Thần Kiếm			Thanh Liên Tiên Tôn				Kiếm trận Vạn Kiếp Thanh Liên	
7	Tê Hà Động Thiên	Khê Hạ Động Thiên tọa lạc bên hồ Thiên ở núi Ngũ Liên, môn đồ tinh thông luyện đan, trong giới tu hành cứu giúp người đời, sống độc lập.			Vân Cấp Bí Lục			Ngũ Liên Chân Nhân				Trận Pháp: Thái Hà Tê Vân	
8	Bách Man Sơn	Tổ đình của ma giáo phương Nam, trong phái đa số là người man rợ miền Nam, hành động tàn ác bạo lực, thường xuyên gây ra những thảm án khiến giới tu hành kinh hoàng.			Bách Độc Chân Kinh			Lục Bào Lão Tổ				Bách Độc Nhiếp Tâm Trận	
9	Thất Thiên Ổ	Tọa lạc trên núi Hãm Khong, tà giáo này thờ phụng Mẹ Đất. Bí điển trong phái có hai cực đại pháp, có thể luyện khí nguyên từ sâu trong vỏ trái đất vào cơ thể tạo thành từ trường, nếu người không luyện cùng loại công pháp lại gần phạm vi trăm trượng, sẽ cảm thấy công pháp vận chuyển không linh hoạt, cực kỳ khó chịu. Do đó, giáo phái này rất khó thâm nhập, trong giới tu hành rất bí ẩn.			Lưỡng Cực Đại Pháp			Thiên Tàn Lão Nhân				Đại trận Hoang Ẩn	
10	Thất Sát Ma Cung	Ngày nay tà đạo tối thượng, nổi tiếng với kiếm thuật bá đạo trong giới tu hành. Xây dựng môn phái cũng như vậy, kiếm trận đứng dày đặc, sát khí vây quanh.			Thất Sát Kiếm Quyết			Thất Sát Đạo Nhân				Thất Sát Thất Tuyệt Trận	
11	Hợp Hoan Phái	Tọa lạc trên đảo Hợp Hoan, tà phái này, trung tâm đều là nữ đệ tử, nổi tiếng với thuật thu thập.			Lục Dục Tâm Kinh			Kim Linh Phu Nhân				Trận Đào Hoa Lục Ng御 Mê Tâm	
12	Vạn Yêu Điện	Tọa lạc sâu trong hoang mạc Tây Hoang, tà giáo khổng lồ.			Hóa Hình Quyết			Xà Đế					


