ID	Name	Desc	Condition1	Point1	UnLock1	Default	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4	DoLua

1	Hình bóng bí ẩn	Đêm diệt môn đã trôi qua nhiều tháng, trong một lần trở lại di tích Thái Nhất để điều tra, bạn bất ngờ phát hiện một bóng dáng bí ẩn. Nhìn từ xa, người này lại giống như lão nhân Nguyệt Thanh Sầu của Tê Hà Động Thiên. Việc người này cố ý xuất hiện ở đây vào thời điểm này thật không bình thường, liệu cô ta có biết điều gì không?	1|2|3,4,5	100	2||14											
2	Bí ẩn diệt môn	Mặc dù đã xác minh rằng có đệ tử của Bách Man Sơn tham gia vào đêm diệt môn vì một bảo vật nào đó. Nhưng Thái Nhất Môn chỉ là một môn phái trung bình ở vùng đông nam, nghèo nàn, vậy bảo vật gì mà khiến Bách Man Sơn không tiếc công sức để diệt môn cướp bảo? Tất cả những điều này cần tiếp tục điều tra.	6|14|	101	3,500||	|14|	6,7,8,9|14,15,16,17|22,23,24	102	4,500||	6,10|14,18|25	103	5,500||	6,7,8,9,10,11,12,13|14,15,16,17,18,19,20,21|22,23,24,25,26,27,28,29	104	6,500||	
3	Bí mật ngày xưa	Sau một thời gian điều tra, mọi thứ dường như liên quan đến việc Thái Nhất Môn sở hữu một cổ bảo “Khí Càn Khôn”, điều này đã khiến Bách Man Sơn thèm muốn, dẫn đến thảm họa diệt môn. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, tại sao lại có bảo vật trọng yếu như vậy? Tất cả dường như không đơn giản như tưởng tượng.	30,40|31|32	105												
4	Bí mật ngày xưa	Sau một thời gian điều tra, dường như vì Hợp Hoan Phái, Thất Sát Ma Cung và Thất Thiên Ổ có một mối thù vô hình nào đó với Thái Nhất Môn, nên đã lén lút tiết lộ thông tin về bảo vật của Thái Nhất Môn cho Bách Man Sơn, khiến Bách Man Sơn thèm muốn bảo vật “Khí Càn Khôn”, mang lại thảm họa diệt môn cho Thái Nhất Môn. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, ba phái tà ác này đều là những phái cổ xưa, mối thù này từ đâu mà có? Tất cả dường như không đơn giản như tưởng tượng.	33,34,35,36,40|37|32	106		|37|										
5	Bí mật ngày xưa	Sau khi điều tra, bạn ngạc nhiên phát hiện Bách Man Sơn không phải là người tham gia duy nhất, mà người bố trí trận Địa Long hôm đó lại đến từ Tử Tiêu Tông. Khác với Bách Man Sơn tham lam bảo vật, động cơ của Tử Tiêu Tông lại khiến người ta khó hiểu hơn, họ dường như có một nỗi sợ hãi và e ngại mơ hồ đối với Thái Nhất Môn, hành động này giống như là một động thái phòng ngừa nào đó dưới danh nghĩa Bách Man Sơn. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, Tử Tiêu Tông lại là một phái lớn có truyền thừa từ cổ đại, nỗi sợ hãi và e ngại này từ đâu mà có? Tất cả dường như không đơn giản như tưởng tượng.	38,40|39|32	107		|39|										
6	Bí mật ngày xưa	Khi truy tìm, bạn phát hiện vụ việc này đã vượt xa dự đoán của bạn. Bách Man Sơn không phải là người tham gia duy nhất, mà người bố trí trận Địa Long hôm đó lại đến từ Tử Tiêu Tông, và điều khiến người ta kinh ngạc hơn là, sau lưng hai phái này còn có Hợp Hoan Phái, Thất Sát Ma Cung, Thất Thiên Ổ, Đan Hạ Động Thiên, Khôn Lôn Cung, bóng dáng của sáu phái chính tà Tử Tiêu Tông đang âm thầm thúc đẩy! Ngoài Bách Man Sơn rõ ràng chỉ vì bảo vật, các phái ẩn sau lại có thái độ tinh tế khác nhau đối với Thái Nhất Môn: ba phái tà ác dường như có một mối thù nào đó với Thái Nhất Môn, bốn phái chính lại là sự sợ hãi và e ngại. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, bảy phái còn lại đều là những phái lớn có truyền thừa từ cổ đại, thái độ mơ hồ này thực sự khó hiểu. Nhưng dù sao đi nữa, rõ ràng đây không phải là một mối tình đơn giản có thể giải thích, mà chắc chắn có một bí mật sâu xa hơn ở phía sau.	40,41|42|32	108	7||	|42|										
7	Thiên cổ nhất đế	Hiện tại, tất cả những bí ẩn đều chỉ về vị chưởng giáo cuối cùng của Đông Hoàng Cung năm đó, thật tiếc là vị chưởng giáo cuối cùng của Đông Hoàng Cung đã bị mọi người vây công và ngã xuống, mọi điều về ông đã bị chôn vùi, không thể bàn luận. Bạn cảm thấy khoảng cách đến sự thật chỉ còn một bước, và mơ hồ có một dự cảm rằng mọi thứ sẽ được giải đáp tại điểm khởi đầu. Trong khoảnh khắc lơ đãng, Khí Càn Khôn lại bất ngờ hiện lên trong tâm trí bạn...														
100	Hình bóng bí ẩn	Theo lời lão nhân Nguyệt Thanh Sầu của Tê Hà Động Thiên, hôm đó bà muốn ra nước ngoài làm việc, thấy núi Nguyệt Luân bốc lửa ngùn ngụt, bà đã đến xem, nhưng phát hiện vùng bán kính trăm dặm đã bị bố trí trận Địa Long, không thể tiếp cận, mà bản thân cũng có việc bận, nên đã rời đi. Chỉ từ xa thấy ánh vàng rực rỡ, đó là pháp môn Bách Độc Kim Tằm của Bách Man Sơn. Và các manh mối cũng chỉ ra rằng, trước và sau khi Thái Nhất Môn bị diệt, Bách Man Sơn thực sự đã âm thầm hoạch định cướp đoạt một bảo vật từ một phái nào đó. Như vậy, Bách Man Sơn không thể tách rời khỏi vụ việc này, chắc chắn là điểm đột phá cho bước điều tra tiếp theo.														
101	Bí ẩn diệt môn	Khi điều tra, bạn phát hiện Thái Nhất Môn dường như sở hữu một bảo vật tên là “Khí Càn Khôn”, bảo vật này dường như liên quan đến một tia sinh cơ trong kiếp nạn lớn của thiên địa trong tương lai. Người vô tội mà mang bảo vật, đây có lẽ chính là lý do khiến Thái Nhất Môn bị Bách Man Sơn như vậy cướp đoạt, mang lại thảm họa diệt môn. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, tại sao lại có bảo vật trọng yếu như vậy? Tất cả dường như không đơn giản như tưởng tượng.														WorldLua:SetWorldFlag(94,1)
102	Bí ẩn diệt môn	Khi điều tra, bạn phát hiện Bách Man Sơn diệt Thái Nhất, bề ngoài có vẻ như là vì một bảo vật tên là “Khí Càn Khôn”. Nhưng phía sau vụ việc này lại mơ hồ có bóng dáng của Hợp Hoan Phái, Thất Sát Ma Cung, Thất Thiên Ổ đang thúc đẩy. Tiến hành điều tra thêm, bạn phát hiện động cơ của ba phái ẩn sau này rất tinh tế, khác với Bách Man Sơn tham lam bảo vật, họ dường như có một mối thù sâu sắc với Thái Nhất Môn, chính vì mối thù này đã thúc đẩy ba phái tà ác liên thủ thúc đẩy Bách Man Sơn ra tay diệt Thái Nhất. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, ba phái tà ác đều là những phái cổ xưa, mối thù này từ đâu mà có? Tất cả dường như không đơn giản như tưởng tượng.														WorldLua:SetWorldFlag(94,1)
103	Bí ẩn diệt môn	Khi điều tra, bạn phát hiện Bách Man Sơn diệt Thái Nhất, dường như là vì một bảo vật tên là “Khí Càn Khôn”. Nhưng vụ việc này không đơn giản như vẻ bề ngoài, theo lời của đại năng Bạch Chí của Bách Man Sơn, những đại năng khác bố trí trận Địa Long hôm đó lại đến từ Chính Đạo! Điều này có nghĩa là, hành động lần này là sự hợp tác giữa Bách Man Sơn và Chính Đạo, hai phái chính tà. Tiến hành điều tra sâu hơn, bạn phát hiện động cơ của Tử Tiêu Tông rất tinh tế, khác với Bách Man Sơn tham lam bảo vật, Tử Tiêu Tông dường như có một nỗi sợ hãi và e ngại mơ hồ đối với Thái Nhất Môn, họ tham gia hành động lần này giống như là một động thái phòng ngừa nào đó. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, Tử Tiêu Tông là một phái lớn có truyền thừa từ cổ đại, nỗi sợ hãi và e ngại này từ đâu mà có? Tất cả dường như không đơn giản như tưởng tượng.														WorldLua:SetWorldFlag(94,1)
