Key	Value
目标对玩家发起攻击	Mục tiêu tấn công người chơi
计时器，fParam1为秒数	Bộ đếm thời gian, fParam1 là số giây
进来发呆	Vào trong ngẩn ngơ
使用了神级技能使地图爆炸	Sử dụng kỹ năng thần cấp khiến bản đồ phát nổ
你们竟敢妄图驯服我的族人？看来你们已经忘记了太多教训……	Các ngươi dám vọng tưởng thuần phục tộc nhân của ta? Có vẻ như các ngươi đã quên quá nhiều bài học…
凡人？为什么会有凡人来到我的国度？	Phàm nhân? Tại sao lại có phàm nhân đến quốc độ của ta?
是时候帮你们好好回忆回忆，凤凰一族的威严！	Đã đến lúc giúp các ngươi nhớ lại uy nghiêm của tộc Phượng Hoàng!
你竟敢闯入这里，但你可知道，这份荣耀需要你付出生命为代价！	Ngươi dám xông vào đây, nhưng ngươi có biết rằng, vinh quang này sẽ phải trả giá bằng mạng sống của ngươi!
地母	Địa Mẫu
不能对敌方角色使用	Không thể sử dụng cho nhân vật đối địch
参悟	Tham Ngộ
春	Xuân
前往参悟	Đi đến tham ngộ
请选择一个物品或者尸体	Hãy chọn một vật phẩm hoặc xác chết
请选择一个物品、植物、建筑、角色	Hãy chọn một vật phẩm, thực vật, công trình, nhân vật
移动	Di Chuyển
看起来无法进行参悟	Dường như không thể tham ngộ
他们被吓跑了，奇观建设继续进行。	Họ bị dọa chạy, việc xây dựng kỳ quan tiếp tục diễn ra.
拍卖功能还未激活	Chức năng đấu giá chưa được kích hoạt.
这一次拍卖还没开启	Phiên đấu giá lần này chưa bắt đầu.
还有赎金没交,拍卖行拒绝了你	Vẫn còn tiền chuộc chưa thanh toán, nhà đấu giá đã từ chối bạn.
{0}只将少量食物分给了路人，几乎没人通过这次活动认识我们。	{0} chỉ chia một lượng nhỏ thức ăn cho người qua đường, hầu như không ai qua hoạt động này mà biết đến chúng ta.
{0}抓了一个路人，强行把食物送给他。那人一脸茫然，怀疑食物有毒，转了个街角就扔了。	{0} bắt một người qua đường, ép buộc đưa thức ăn cho anh ta. Người đó ngơ ngác, nghi ngờ thức ăn có độc, đi qua một góc phố liền vứt bỏ.
{0}像小贩一样摆了摊，吆喝道：“快来快来！我们送食物了！人人有份！”	{0} như một người bán hàng, bày quầy, hô lớn: “Nhanh lên, nhanh lên! Chúng tôi tặng thức ăn đây! Ai cũng có phần!”
收集到了一颗天道神丹，直接放回了门派。	Thu thập được một viên Thiên Đạo Thần Đan, lập tức đưa về môn phái.
由于时间有限，没有办法将更多的食物送给别人了。	Do thời gian có hạn, không thể đưa thêm thức ăn cho người khác.
{0}准备将灵石分给路人。	{0} chuẩn bị chia linh thạch cho người qua đường.
但没人知道这是什么。	Nhưng không ai biết đây là gì.
{0}准备将木头分给路人。	{0} chuẩn bị chia gỗ cho người qua đường.
但没人需要这么大一根木棍。	Nhưng không ai cần một khúc gỗ lớn như vậy.
{0}准备将石料分给路人。	{0} chuẩn bị chia đá cho người qua đường.
但没人需要这么大一块石头。	Nhưng không ai cần một tảng đá lớn như vậy.
{0}看了一眼众弟子，好像没有谁比较特别，微微叹了口气。	{0} nhìn qua các đệ tử, dường như không ai đặc biệt hơn, khẽ thở dài.
送礼	Tặng quà
该对象无法被通灵	Đối tượng này không thể được thông linh
夏	Hạ
邀请	Mời
胜	Thắng
技高一筹。	Kỹ năng vượt trội.
归寂之地	Nơi Quy Tịch
无法使用	Không Thể Sử Dụng
该物品不是法宝胚胎	Vật phẩm này không phải phôi thai pháp bảo
不能对非己方角色使用	Không thể sử dụng cho nhân vật không thuộc phe mình
乾坤秘境，凝滞千年的时光，重新开始转动。	Bí Cảnh Càn Khôn, thời gian ngưng đọng nghìn năm, bắt đầu quay trở lại.
[NAME]仔细观摩了此建筑的模样。	[NAME] cẩn thận quan sát hình dáng kiến trúc này.
[NAME]收获了一些信徒和信仰。	[NAME] thu nhận được một số tín đồ và niềm tin.
解锁：武当红墙。	Mở khóa: Tường đỏ Võ Đang.
我们已经知晓了此物如何建造。	Chúng ta đã biết cách xây dựng vật này.
该目标已经失去灵智	Mục tiêu này đã mất đi linh trí
测试技能	Thử nghiệm kỹ năng
不能对己方角色使用	Không thể sử dụng cho nhân vật đồng minh
只能对友方角色使用	Chỉ có thể sử dụng cho nhân vật đồng minh
失败	Thất Bại
该角色已被释放过心印诀，无法再次使用	Nhân vật này đã từng được sử dụng Tâm Ấn Quyết, không thể sử dụng lại
将灵源种埋在此处，会在三年中慢慢生效！	Gieo hạt linh nguyên tại đây, sẽ phát huy hiệu quả trong ba năm!
你们悉数被击败，已无人有一战之力，一股巨大的力量将你们推出了此地。	Các ngươi đều bị đánh bại, không còn ai có khả năng chiến đấu, một luồng sức mạnh lớn đã đẩy các ngươi ra khỏi nơi này.
秋	Thu
埋下灵源种	Gieo hạt linh nguyên
%s 略胜 %s 一筹！	%s thắng %s một chút!
只能对妖兽使用	Chỉ có thể sử dụng cho yêu thú
驱云	Trục Mây
