Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc	FromDLC
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数(SECRET为事件ID)	文本参数			
First	1	Ngươi là ai?	Ta tên là [NAME]… đã gặp qua tiên trưởng!							
First	3	Ta là [NAME], còn ngươi là?	Gặp qua tiền bối, ta là [NAME]!							
First	4	Ta là [NAME], rất vui khi gặp đạo hữu!	Ừ, ta là [NAME]!							
First	5	Rất vui được gặp đạo hửu, ta là [NAME], xin hỏi đạo hữu tên gì?	Khách khí quá, ta là [NAME], rất vui được gặp ngươi!							
Track	0	Ngươi có biết gần đây [TSCHOOL][TNAME] đang ở đâu không?	Ta không quan tâm đến người này.	Anh ta dường như đang ở [TXT] mấy ngày nay.	Tại sao ta phải nói cho ngươi biết?					
TrackTell	0	[TSCHOOL][TNAME] những ngày này đang ở [TXT]	Ta không quan tâm đến người này.	À, cảm ơn đã thông báo!	Điều này ta đã biết rồi.					
TrackT	0	Ngươi có kế hoạch đi đâu gần đây không?	……	Ta chuẩn bị đi một chuyến đến [TXT] trong hai ngày tới, có chuyện gì không?	Tại sao ta phải nói cho ngươi biết?					
TrackTellT	0	Ngươi có phải đang chuẩn bị đến [TXT] không? Hãy chú ý an toàn.	Ồ……	Đạo hữu thật chu đáo, ta sẽ cẩn thận!	Ngươi biết điều đó từ đâu?					
AboutNpc	0	Ngươi có biết về [TSCHOOL][TNAME] không?	Người này là ai? Ta không biết.	Ta biết một chút về [IT][TXT].	Ngươi có tin tức về [TITS] không?					
Gift	1	Tặng ngươi món này!	Cảm ơn tiên trưởng!	Cảm ơn tiên trưởng!	......(Khúm núm)					
Gift	3	Món [TXT] này có hợp với ngươi không?	Món này không tệ, cảm ơn!	Món này rất tốt, tiền bối thật chu đáo!	Ừm......(Nhíu mày)					
Gift	4	Món [TXT] này xin mời ngươi nhận!	Ồ, món này cũng được.	Món này rất tốt, đạo hữu thật chu đáo!	Hừ……					
Gift	5	Món [TXT] này xin mời ngươi nhận!	Ồ, món này cũng được.	Món này rất tốt, đạo hữu thật chu đáo!	Haha……					
Invite	1	Ta hỏi ngươi, ngươi có hứng thú đến tiên môn của ta tham quan một chút không?	Ta đã trả lời rồi.	Thật tuyệt! Đây chẳng phải là thiên đại tiên duyên?!	Ta còn nhiều việc trần thế chưa giải quyết, không thể đi được.					
Invite	2	[HENAME] đạo hữu, ngươi có hứng thú đến môn phái của ta làm khách tham quan không?	Ta đã trả lời rồi.	Đang có ý này!	Gần đây không thuận tiện, xin lỗi!					
Close	1	Chúng ta hãy dừng lại ở đây nhé!	Tiễn tiên trưởng!							
Close	2	Hôm nay chỉ nói đến đây thôi, đạo hữu, tạm biệt!	Hẹn gặp lại!             							
Secret	2	Gần đây có chuyện gì thú vị không?	Ta muốn nói cho ngươi một bí mật mà ta vừa nghe.							
Interest	0	Ừ? Có chuyện gì không?	Ta rất quan tâm đến tin tức về [TSCHOOL][TNAME], ngươi biết gì không?							
Interest	0	Ừ? Có chuyện gì không?	Ngươi có tin tức gì về [TSCHOOL][TNAME] không?							
Interest	0	Ừ? Có chuyện gì không?	Ngươi chưa từng gặp [TSCHOOL][TNAME] sao?							
Know	0	Gần đây có tin gì mới không?	Ta biết một số chuyện về [TSCHOOL][TNAME] liên quan đến [TXT].							
Know	0	Gần đây có tin gì mới không?	Ta đã nghe được một số tin tức về [TSCHOOL][TNAME] liên quan đến [TXT].							
Know	0	Gần đây có tin gì mới không?	Hai hôm trước ta đã gặp [TSCHOOL][TNAME], sức khỏe của họ rất tốt.							
Chat	0	Dạo này thế nào?	Haha.							
Chat	0	Đôi khi ta cảm thấy như bị tách biệt với mọi thứ trên thế giới, thật sự rất cô đơn.	…Ta không hiểu ngươi đang nói gì…							
Chat	0	Gần đây có tin gì mới không?	Dưới ánh mặt trời không có chuyện mới, thật nhàm chán.							
Chat_Place_DanXia	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Môn phái của chúng ta [color=#ff0000]Tạ Tư[/color] trưởng lão là tổng quản ngoại sự, luôn tận tâm với môn phái, rất chuyên nghiệp. Nghe nói [desc_daytime=-20], môn phái muốn mở rộng, thậm chí không tiếc bán đi một lô tài liệu quý với giá thấp. [color=#ff0000]Tạ Tư[/color] trưởng lão ngay lập tức từ bỏ bảo vật sắp luyện thành của mình, chuẩn bị thực hiện mệnh lệnh của chưởng giáo, có thể thấy lòng trung thành của ông với môn phái. Nhưng cuối cùng chuyện này không được thực hiện, thật đáng tiếc cho lò bảo vật đó.					Npc_DanXia_2	Npc_DanXia_2	
Chat_Place_DanXia	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Bát Bảo Công Đức Đàm của môn phái có chứa đạo của vũ trụ, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_DanXia	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Tiên Thiên Giáp Ất Mộc Thần Trận》, khi Tiên Thiên Mộc Linh Giới mở ra, thật sự khiến người ta cảm thấy tươi mới.							
Chat_Place_DanXia	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng của môn phái [color=#ff0000]Hỏa Ly[/color] là một người yêu sách, luôn nỗ lực giải mã các bí mật cổ xưa, mặc dù chưa thành công, nhưng ông vẫn nói nghiên cứu không rời sách.					Npc_DanXia_3	Npc_DanXia_3	
Chat_Place_KunLun	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Trưởng lão [color=#ff0000]Ly Vĩ Yến[/color] của môn phái thực sự rất sắc sảo, từ khi nắm giữ kho tàng của môn phái, chưa bao giờ gặp phải thiệt thòi. Nhưng [desc_daytime=-20], trưởng lão [color=#ff0000]Ly Vĩ Yến[/color] đã buồn bã một thời gian dài, không biết đã xảy ra chuyện gì.					Npc_KunLun_2	Npc_KunLun_2	
Chat_Place_KunLun	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Cổ Thông[/color] của môn phái thông thạo nhiều trận pháp, nghe nói ngay cả trận pháp tuyệt truyền cũng đã được ông phục hồi, thật là một học giả xuất sắc.					Npc_KunLun_3	Npc_KunLun_3	
Chat_Place_KunLun	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Vạn Đạo Tôn Pháp Tọa của môn phái có chứa đạo của thiên địa khai phá, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_KunLun	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Chư Thiên Lục Ngự Hành Pháp Nghi》, khi bố trí trận pháp, các thiên thần trong Lục Ngự đã tạo ra một cảnh giới thanh tĩnh, thật kỳ diệu.							
Chat_Place_TianJi	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Thất Tình Kiến Mộc của môn phái có chứa đạo Âm Dương, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_TianJi	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Chân Hoàng Vũ Kiếm Trận》, pháp Niết Bàn thật sự có bí ẩn đảo ngược tuyệt cảnh.							
Chat_Place_TianJi	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trưởng lão [color=#ff0000]Hà Túc Đạo[/color] của môn phái rất yêu thích thuật phù chú, thậm chí thường vẽ ra một số phù chú chưa từng thấy, chắc chắn đã nhận được một số bí mật truyền thừa.					Npc_JiTian_1	Npc_JiTian_1	MiFaXuanZhang
Chat_Place_JiuHua	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	[color=#ff0000]Tần Kiệt[/color] cậu ta thật là xui xẻo, chuẩn bị kết đan suốt hàng chục năm, nhưng [desc_daytime=-20], cơ duyên đã đến, xin thầy bảo vệ. Thầy của cậu ta lại bỏ mặc, tham gia một hội pháp đóng cửa, cuối cùng còn bị ngộ đạo bị thương, khiến cho hàng chục năm chuẩn bị của cậu ta trở thành nước đổ lá khoai, thật là thảm.					Npc_ZiXiao_3	Npc_ZiXiao_3	
Chat_Place_JiuHua	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Tân Kỳ[/color] của môn phái là người vui vẻ, có nhiều mối quan hệ, luôn phụ trách tiếp đón khách từ các môn phái khác, đệ tử của chúng ta tại Tử Tiêu Tông đi khắp nơi đều được chăm sóc, thật cảm ơn trưởng lão Tân Kỳ.					Npc_ZiXiao_2	Npc_ZiXiao_2	
Chat_Place_JiuHua	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Chu Thiên Tinh Đẩu Bàn của môn phái có chứa đạo thời gian và không gian, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_JiuHua	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Âm Dương Nhị Hành Thần Trận》, trận pháp linh động biến hóa như ngựa trời bay lượn, thật không thể tìm thấy dấu vết.							
Chat_Place_LongHu	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Diệp Bạch Tuyết[/color] của môn phái nổi tiếng là người tốt, chưa bao giờ thấy nàng tức giận. Nhưng [desc_daytime=-20], khi cô trở về từ Tử Tiêu Tông, lại nổi giận lớn tiếng nói không phải là con người, thật hiếm thấy.					Npc_ZhengYi_2	Npc_ZhengYi_2	
Chat_Place_LongHu	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Ngũ Long Huyền Dương Tháp của môn phái có chứa đạo vĩnh cửu, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
