房间	Phòng
仓库	Kho
蓝布休闲衣衫	Vải xanh Áo Thường Nhật
野猪皮休闲下裳	Quần Nghỉ Ngơi Da Lợn Rừng
紫布修行衣衫	Vải tím Áo Tu Hành
野猪皮修行下裳	Quần Tu Hành Da Lợn Rừng
肉干	Thịt khô
狼皮薄衣衫	Áo mỏng da sói
可以提高炼制法宝成功率的符咒。	Là phù chú có thể tăng tỷ lệ thành công luyện chế pháp bảo.
太上通宝符	Thái thượng thông bảo phù
熊皮香囊	Túi thơm da gấu
戊己囊	Mậu Kỷ nang
垃圾	Rác
戊土屠神散	Mậu Thổ Đồ Thần tán
灵石墙	Linh thạch tường
灵石门	Môn Linh thạch
灵石床	Linh thạch
灵石灯笼	Đèn lồng linh thạch
练功点	Điểm luyện công
公兔子	Thỏ đực
雌龟	Rùa cái
雄龟	Rùa đực
雌青蛙	Ếch cái
雄青蛙	Ếch đực
钟离	Chung Ly
舒	Thư
惊魂初定	Hồn phách ổn định
建立门派	Thành lập môn phái
和	Hòa
慕容	Mộ Dung
碧彤	Bích Đồng
<font color=MYCOLOR>田纨</font>在吃<font color=OBJCOLOR>熊胆</font>时，突然思绪万千。	<font color=MYCOLOR>Điền Nho</font> khi đang ăn <font color=OBJCOLOR>mật gấu</font>, bỗng nhiên Suy ngẫm miên man.
1天 08:46	1 ngày 08:46
田	Điền
纨	Hoàn
博	Bác
冯	Phùng
亦云	Diệc Vân
支	Chi
飞扬	Phi Dương
史	Sử
妍	Nghiên
保	Bảo
越	Việt
婷	Đình
青青	Thanh Thanh
左丘	Tả Khâu
半芹	Bán Cần
麻	Ma
紫文	Tử Văn
赤脚蛇	Rắn Xích Cước
教学	Hướng dẫn
门	Cửa
药物储量不足	Dự trữ thuốc không đủ
存档写入完成	Hoàn tất ghi lưu trữ
钮影感到危险	Nữu Ảnh cảm thấy nguy hiểm
敌人出现	Kẻ thù xuất hiện
田纨筑基成功	Điền Hoàn Trúc Cơ thành công
钟离舒筑基成功	Chung Ly Thư Trúc Cơ Thành Công
食物储量不足	Dự trữ thực phẩm không đủ
化影诀	Hoá Ảnh quyết
太乙不朽神雷	Thái Ất Bất Hủ Thần Lôi
坤元秘要	Khôn Nguyên Bí Yếu
少量的	Một chút
千钧	Thiên Quân
混元式	Hỗn Nguyên Thức
苍龙迅击密卷	Thương Long Tấn Kích Mật Quyển
中量的	Vừa
微草归祖神功	Vi Thảo Quy Tổ Thần Công
甲乙鲸吞秘要	Giáp Ất Kình Thôn Bí Yếu
紫云宫神视纪要	Tử Vân Cung Thần Thị Ký Yếu
大量的	Số lượng lớn
天妖化血术	Thiên Yêu Hóa Huyết Thuật
忘情佛心记	Vong Tình Phật Tâm Ký
己土飞星咒	Chú Phi Tinh Dismal
麒麟不朽咒	Kỳ Lân Bất Hủ Chú
初解三花	Sơ Giải Tam Hoa
五台五气	Ngũ Đài Ngũ khí
奠基要诀	Điện Cơ Yêu Quyết
奠基经	Kinh Điện Cơ
奠基密卷	Điện Cơ Mật Quyển
地龙奠基密卷	Địa Long Để Cơ Mật Quyển
天岭金刚经	Thiên Lĩnh Kim Cương Kinh
黄芽奠基秘册	Hoàng Nha Điện Cơ Mật Sách
坤元金刚秘册	Khôn Nguyên Kim Cương Bí Sách
鬼手	Quỷ Thủ
