ID	Content	WholeContent	TipDesc	Desc	TipsContent

1	Dự trữ thực phẩm không đủ	Dự trữ thực phẩm không đủ			
2	Dự trữ thuốc không đủ	Dự trữ thuốc không đủ			
3	Dự trữ tinh nguyên không đủ	Dự trữ tinh nguyên không đủ			
4	Mùa hè sắp đến	Mùa hè sắp đến	Vui lòng chuẩn bị để tránh nóng		
5	Mùa đông sắp đến	Mùa đông sắp đến	Vui lòng chuẩn bị để giữ ấm		
6	Kẻ thù xuất hiện	Kẻ thù xuất hiện			
7	{0}{1} đang bị tấn công	Môn phái đang bị tấn công			
8	Bị cháy rồi	Bị cháy			
9	Người qua đường cần giúp đỡ	Người qua đường cần giúp đỡ			
10	Kẻ thù {0} đang cố gắng cướp lấy vật phẩm {1}	Kẻ thù đang cố gắng cướp đồ			
11	Kẻ thù {0} đã cướp được vật phẩm {1}	Kẻ thù đã cướp đồ			
12	Linh thú {0} xuất hiện	Linh thú xuất hiện			
13	Bảo vật rơi xuống	Bảo vật rơi xuống			
14	Tiên nhân {0} hạ xuống/rời đi	Có tiên nhân giáng trần			
15	{0} thích {1}	Có tình cảm xảy ra			
16	{0} không còn thích {1}	Có tình cảm biến mất			
17	{0} tỏ tình với {1} _thành công và trở thành nhân yêu/thất bại	Có người tỏ tình			
18	{0} thuyết phục {1} _thành công/thất bại	Có người thuyết phục			
19	Bị bỏ rơi	Bị bỏ hoang			
20	{0} tâm trạng kém	Có người cảm thấy tâm trạng rất tồi tệ			
21	Tâm trạng của {0} bắt đầu xấu đi vì {1}	Có người tâm trạng xấu đi			
22	Tâm trạng của {0} không ổn định	Có người tâm trạng không ổn định			
23	{0}: _ngã xuống/hôn mê/sắp chết	Có người không thể hành động			
24	Bị bỏ rơi	Bị bỏ hoang			
25	{0}: qua đời	Có người đã chết			
26	{0}: làm việc chểnh mảng	Có người lười biếng			
27	{0}: khôi phục làm việc	Có người phục hồi từ sự lười biếng			
28	{0} cần vũ khí săn bắn	Có người cần vũ khí săn bắn			
29	{0} cần công cụ chặt cây	Có người cần công cụ chặt cây			
30	{0} cần công cụ khai thác	Có người cần công cụ khai thác			
31	{0} cần dụng cụ nông nghiệp	Có người cần nông cụ			
32	Kỹ năng của {0} {1} đã nâng cấp	Kỹ năng nâng cấp			
33	{0}: nhập ma	Có người nhập ma			
34	{0} thành công xây dựng nền tảng	Có người thành công trong việc xây dựng căn cơ			
35	{0} gặp phải bế tắc	Có người gặp phải bế tắc			
36	Thời gian bế tắc của {0} sắp đến	Có người thời gian bế tắc sắp đến			
37	Thời gian bế tắc của {0} đã đến	Có người thời gian bế tắc đã đến			
38	{0} luyện chế pháp bảo {1} _thành công/thất bại	Có người luyện bảo			
39	Luyện đan _thành công/thất bại	Có người luyện đan			
40	{0} bái {1} làm sư phụ	Có người bái sư			
41	{0} có chút không hài lòng với môn phái	Có người không hài lòng với môn phái			
42	{0} trở về sau khi rèn luyện	Có người trở về sau khi rèn luyện			
43	{0} phá vỡ bế tắc _thành công/thất bại	Có người phá vỡ bế tắc			
44	Thiên tượng thần toán: {0}	Chu thiên thần toán			
45	{0} cần chủ đường	Có phân đường cần đường chủ			
46	{0} cảm thấy đói	Có người cảm thấy đói	Cần thêm thực phẩm		
47	{0} cảm thấy khát	Có người cảm thấy khát	Cần nguồn nước sử dụng		
48	{0} cảm thấy chán	Có người cảm thấy buồn chán	Cần thêm cơ sở giải trí		
49	{0} cảm thấy mệt mỏi	Có người cảm thấy mệt mỏi	Cần nghỉ ngơi và ngủ		
50	{0}: bị thương	Có người bị thương			
51	{0}: vết thương xấu đi	Có người vết thương xấu đi			
52	{0}: xuất hiện tật nguyền	Có người xuất hiện tàn tật			
53	Hoàn tất ghi lưu trữ				
54	{0}: điều kiện sinh trưởng không phù hợp	Có điều kiện sinh trưởng của linh thực không thích hợp.			
55	{0} cảm thấy nguy hiểm	Cảm thấy một mối nguy hiểm mơ hồ			
56	Có {1} cảm nhận được linh khí của trời đất đã bùng nổ, biến thành yêu thú!				
57	Yêu thú {0} xuất hiện	Có yêu thú xuất hiện			
58	Yêu thú {0} cảm nhận được linh khí của trời đất đã bùng nổ!	Yêu thú phá vỡ			
59	Thú cổ xưa {0} tấn công!	Có thú cổ xưa xâm nhập!			
60	{0} đã kích hoạt pháp bảo {1}				
61	{0} vượt qua kiếp nạn _thành công/thất bại	Có người vượt qua kiếp nạn			
62	Xuất hiện vật trấn!	Xuất hiện trấn vật			
63	{0} nhận chủ {1}				
64	Có phiên bản cập nhật		Phiên bản trò chơi đã cập nhật {0}		
65	{0} nhập kho {1} _thành công/thất bại	Nhập kho tàng kinh các			
66	Tầng tâm cảnh của {0} đã nâng cao lên [{1}], đồng thời thần tính cũng được nâng cao.				
67	{0} bùng nổ ý niệm, kiếp nạn tín ngưỡng sắp đến.	Chấp niệm bùng phát			
68	{0} luyện chế thánh vật {1} _hoàn thành/thất bại	Luyện chế thánh vật			
69	Ý niệm của {0} về {1} hiện ra	Chấp niệm hiện ra			
70	Thần tính của {0} tràn đầy, sắp bay lên.	Sắp bay lên			
71	{0} chặt đứt ý niệm: [{1}]				
72	Tên thần của {0} đã thay đổi	Thần danh			
73	{0} nghiên cứu {1} _thành công/thất bại	Nghiên cứu			
74	{1} từ bánh bao ăn ra một cái {0}				
75	{0} đã vào trạng thái thông linh	Vạn vật thông linh			
76	{0} đã có ý thức riêng, trở thành tinh quái	Tinh quái thức tỉnh			
77	{0} thông linh thất bại	Thông linh thất bại			
78	{0} xuất hiện	Tinh quái đi ngang qua			
79	{0} của {1} đã hoàn thành tái tạo				
80	Âm dương kỳ thạch phục hồi sinh khí	Âm dương kỳ thạch phục hồi sinh khí			
81	Địa mẫu thạch bia phục hồi sinh khí	Địa mẫu thạch bia phục hồi sinh khí			
82	Một vật phẩm từ khe không gian bay ra	Một món đồ từ khe nứt dị giới bay ra			
83	{0}: Có cá cắn câu rồi!	Câu cá			
