白布薄衣衫	Áo mỏng vải trắng
白布休闲下裳	Hạ Thường Giải Trí Vải Trắng
靛蓝布修行下裳	Tu hành hạ thường điện lam bố
棕石锤	Búa đá nâu
蓝布修行衣衫	Áo tu hành vải xanh
紫布修行下裳	Quần tu hành vải tím
铁锤	Búa sắt
虎皮修行衣衫	Áo tu hành da hổ
紫布薄下裳	Vải tím Bạc Hạ Thường
棕石长枪	Trường thương Đá nâu
紫布修行衣衫	Vải tím Áo Tu Hành
牛皮薄下裳	Da Bò Bạc Hạ Thường
鹿蜀皮薄衣衫	Áo mỏng da Lộc Thục
鹿蜀皮薄下裳	Hạ Thường Da Lộc Thục mỏng
巧夺天工的神兵，融合制作者的心血与灵感而成。	Thần binh tinh xảo tuyệt đỉnh, dung hợp tâm huyết và cảm hứng của người chế tạo.
青霜	Thanh sương
蜚皮休闲衣衫	Áo da phi Hưu Nhàn Thường
蜚皮薄下裳	Xiêm mỏng da Phỉ
龙雀	Long tước
妖韧皮薄衣衫	Áo mỏng da yêu quái dai
妖韧皮休闲下裳	Quần da yêu nhẫn hưu nhàn
梧桐木环	Vòng ngô đồng thần mộc
鹿蜀皮修行下裳	Quần da lộc thục tu hành
梧桐木弓	Cung ngô đồng thần mộc
鹿蜀皮休闲衣衫	Áo Thường Nhật Da Lộc Thục
火精剑	Hoả Tinh Kiếm
灵石弓	Cung Linh thạch
妖韧皮休闲衣衫	Áo da yêu thú hưu nhàn
妖韧皮薄下裳	Yêu Nhẫn Bì Bạc Hạ Sam
流星	Lưu tinh
鹿蜀皮修行衣衫	Áo Tu Hành Da Lộc Thố
金丝木弓	Cung kim ti mộc
玉石刀	Đá ngọc
妖韧皮修行下裳	Quần Tu Hành Da Yêu Nhẫn
棕石剑	Thạch Kiếm nâu
妖韧皮修行衣衫	Áo Tu Hành Da Yêu Nhẫn
梧桐木锤	Búa ngô đồng thần mộc
铁环	Vòng sắt
灵木剑	Kiếm Gỗ linh mộc
鹿蜀皮休闲下裳	Da lộc thục Hưu Nhàn Hạ Thường
千韧弓	Thiên nhẫn cung
射魄	Xạ phách
镇狱	Trấn ngục
牛皮薄衣衫	Áo mỏng da bò
黄布薄下裳	Bạc Hạ Thường hoàng bố
花布薄衣衫	Áo mỏng hoa vải
虎皮薄下裳	Quần mỏng da hổ
黄布修行衣衫	Áo tu hành hoàng bố
寒晶刀	Tinh hàn đao
角色出生点	Điểm sinh nhân vật
逻辑点	Điểm logic
木栅栏	Hàng rào gỗ
木桌子	Bàn gỗ
灵石炉灶	Bếp Lò Linh Thạch
木水缸	Thuỷ cương gỗ
木灯笼	Đèn lồng gỗ
木置物台	Kệ đồ gỗ
木龙旗	Long kỳ gỗ
矢车菊	Hoa cúc xanh
上古残骸	Di hài cổ đại
骆驼刺	Cây lạc đà
冀	Ký
明	Minh
富	Phú
静枫	Tĩnh Phong
靳	Cận
菁	Tinh
诸葛	Chư Cát
民	Dân
博	Bác
郏	Giáp
凝荷	Ngưng Hà
闾丘	Lư Khâu
如巧	Như Xảo
晁	Triều
梅	Mai
安	An
蒙	Manh
清愁	Nỗi buồn thanh khiết
墨	Mặc
锦	Cẩm
达	Đạt
曼寒	Mạn Hàn
狄	Địch
茜	Thiến
堵	Đổ
国	Quốc
裴	Bùi
流素	Lưu Tố
史定	Sử Định
慕容	Mộ Dung
南春	Nam Xuân
姬	Cơ
清风	Thanh Phong
彬	Bân
云	Vân
浅画	Thiển Họa
学智	Học Trí
能	Năng
绍	Thiệu
身躯	Thân mình
混元臂·左	Cánh tay Hỗn Nguyên - trái
混元臂·右	Hỗn nguyên Cánh Tay·Phải
天盾腿·左	Thiên thuẫn chân·trái
天盾腿·右	Thiên Thuẫn Chân·Phải
丁	Đinh
雅绿	Nhã Lục
奇文	Kỳ Văn
蔚	Úy
莉	Lỵ
桂	Quế
中	Trung
军	Quân
暨	Kỵ
柔	Nhu
武	Vũ
承	Thừa
磊	Lỗi
伍	Ngũ
纯	Thuần
卢	Lư
飞昂	Phi Ngang
曜瑞	Diệu Thụy
余	Dư
宁	Yên tĩnh
方	Phương
夜蓉	Dạ Dung
古	Cổ
恨风	Hận Phong
海	Hải
东方	Đông Phương
丽	Đẹp
凤	Phượng
振国	Chấn Quốc
池	Trì
抹萦	Mạt Oanh
田	Điền
访蕊	Phóng Nhị
刁	Điêu
香月	Hương Nguyệt
於	Vu
谈	Đàm
亚	Á
寅	Dần
鲜于	Tiên Vu
娟	Quyên
卫	Vệ
念寒	Niệm Hàn
起灵	Khởi Linh
吉	Cát
凌珍	Lăng Trân
从	Tòng
宏胜	Hoành Thắng
百里	Bách Lý
千茉	Thiên Mạt
仲	Trọng
怡	Di
步	Bộ
行	Hành
壤驷	Nhưỡng Tứ
豪	Hào
樊	Phiền
娅	Á
祖	Tổ
保	Bảo
义	Nghĩa
公冶	Công Dã
倩	Thiến
慕	Mộ
生	Sinh
舄	Tích
婉	Uyển
信	Tín
元	Nguyên
熊	Gấu
盛	Thịnh
糜	Mi
尔珍	Nhĩ Trân
有	Hữu
齐	Tề
新柔	Tân Nhu
习	Tập
贝	Bối
栾	Loan
壮	Mạnh mẽ.
索	Tác
榕	Dung
宇文	Vũ Văn
念芹	Niệm Cần
赫连	Hách Liên
从阳	Tòng Dương
六合玄通尺	Thước Huyền Thông Lục Hợp
玄木盘根腿	Huyền Mộc Bàn Căn Chân
五行拳	Quyền Ngũ Hành
玄龟甲	Giáp Huyền Quy
六御摘雷手·左	Lục Ng御 Trích Lôi Thủ - Trái
六御摘雷手·右	Lục Ngự Trích Lôi Thủ · Hữu
鹰熊合形	Ưng Hùng Hợp Hình
真阳玲珑心	Tâm Linh Lung Chân Dương
玄阴琉璃心	Huyền Âm Lưu Ly Tâm
天龙脊	Thiên Long Tích
天地洪炉	Hồng Lô Thiên Địa
峰	Phong
芮	Nhuế
涵柳	Hàm Liễu
竺	Trúc
丹雪	Đan Tuyết
钟	Chuông
依珊	Y San
易	Dễ
树	Thụ
佴	Nhị
彪	Bưu
朱	Chu
弘	Hoằng
奚	Hề
光赫	Quang Hách
阿	A
柴	Sài
赤玉瞳	Đồng Xích Ngọc
登云腿	Đăng Vân Thoái
妖御玄鳞	Yêu Ngự Huyền Lân
逐日腿	Trục Nhật Thối
虚化之体	Hư Hóa Chi Thể
外骨邪甲	Ngoại cốt tà giáp
九烈神血	Cửu Liệt Thần Huyết
八极之眼	Bát Cực Chi Nhãn
吞尽之口	Thôn Tận Chi Khẩu
万兽归息	Vạn Thú Quy Tức
定星尾	Định Tinh Vĩ
斥异之体	Thể Xua Dị Chất
天苍 232年第83日,通过从打喷嚏获取的理智，对非常思念的感知，对夏季的认知，产生了一点灵智碎片。	Thiên Thương năm 232 ngày thứ 83, thông qua lý trí thu nhận từ việc hắt hơi, cảm giác về rất nhớ nhung, nhận thức về mùa hè, đã sinh ra một mảnh linh trí.
天苍 237年第22日,通过从面朝北方获取的理智，对担忧的感知，对树的认知，产生了一点灵智碎片。	Thiên Thương năm 237 ngày thứ 22, thông qua lý trí thu nhận từ hướng mặt về phương bắc, cảm giác về lo lắng, nhận thức về cây, đã tạo ra một mảnh linh trí.
