Key	Value
看天花板	Nhìn trần nhà
{0}阶-{1}阶	Cấp {0} - Cấp {1}
一本神秘秘籍	Một bí kíp thần bí
获取存档信息失败！请检查存档文件是否正常，或者另存为新存档！	Lấy thông tin lưu tệp thất bại! Vui lòng kiểm tra tệp lưu có bình thường không, hoặc lưu lại thành tệp mới!
\n分类:{0}	\nPhân loại: {0}
秘宝认主	Bí bảo nhận chủ
[color=#880000](游戏版本过低:{0})[/color]	[color=#880000](Phiên bản trò chơi quá thấp: {0})[/color]
筑基值：{0}\n	Giá trị trúc cơ: {0}\n
女	Nữ
随机鲜花	Hoa ngẫu nhiên
粮食储备	Dự trữ lương thực
已经有重复的标签。	Đã có nhãn trùng lặp.
{2}\n灵气值：{0:N0}/{1:N0}\n法宝在空闲时，或灵气耗完后会从角色身上吸取灵气。	{2}\nGiá trị linh khí: {0:N0}/{1:N0}\nPháp bảo khi rảnh rỗi hoặc linh khí cạn kiệt sẽ hấp thu linh khí từ nhân vật.
昵称中无法包含字母、数字或者英文符号，请重试	Biệt danh không được chứa chữ cái, số hoặc ký tự tiếng Anh, vui lòng thử lại
变身成人形态	Biến thành hình người
修行	Tu luyện
聆听	Lắng nghe
（需要激活{0}才能挑战）	(Cần kích hoạt {0} mới có thể thử thách)
人心叵测	Lòng người khó lường
初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？	Khởi tạo dữ liệu trò chơi thất bại, trò chơi sẽ không hoạt động bình thường. Vui lòng kiểm tra tính toàn vẹn của dữ liệu và xác nhận dữ liệu mô đun đúng. \nBạn vẫn muốn vào không?
冲煞之所	Nơi xung sát
击退强度 : {0:P0}	Cường độ đẩy lùi: {0:P0}
当前未保存的进度将会丢失，确定要读取存档{0}吗？	Tiến độ chưa lưu hiện tại sẽ bị mất, chắc chắn muốn đọc tệp lưu {0} không?
当前仍有未保存的阵图，是否保存	Hiện tại vẫn còn trận đồ chưa được lưu, có muốn lưu không?
网络错误,请检查网络并重启游戏再次尝试	Lỗi mạng, vui lòng kiểm tra kết nối và khởi động lại game để thử lại
{0}的{1}	{0} là {1}
神名	Thần danh.
没有空闲中的工作台	Không có bàn làm việc nào đang rảnh
取消放置	Hủy đặt
成功率:{0} 灵气:{1} 心境:{2}	Tỷ lệ thành công: {0} Linh khí: {1} Tâm trạng: {2}
友好	Thân thiện
移除	Gỡ bỏ
{0}阶	Bậc {0}.
提示	Gợi ý
收养	Nhận nuôi
走路	Đi bộ
观察	Quan sát
影响角色灵气抵挡伤害的能力。	Ảnh hưởng khả năng chống đỡ tổn thương của linh khí nhân vật.
被夺舍	Bị đoạt xác
湖仙钓者	Tiên câu hồ
已激活所有扩展内容!\n谢谢大爷!	Đã kích hoạt tất cả nội dung mở rộng!\nCảm ơn đại gia!
{0}天	{0} ngày.
神修在心境为“灵”时，心境已然圆满，将持续上升，不收任何外部条件影响。	Khi thần tu có tâm cảnh là "Linh", tâm cảnh đã viên mãn, sẽ tiếp tục tăng lên mà không chịu ảnh hưởng từ bất kỳ điều kiện bên ngoài nào.
秘籍内容:\n	Nội dung bí kíp:\n.
营养	Dinh dưỡng
拍照模式。	Chế độ chụp ảnh.
门派弟子数量达到上限:{0}。\n你可以扩大门派规模或者将其他弟子踢出门派。	Số lượng đệ tử môn phái đạt giới hạn: {0}.\nBạn có thể mở rộng quy mô môn phái hoặc đuổi các đệ tử khác ra khỏi môn phái.
昏迷	Choáng váng.
打开存档:{0}结果为:{1}	Mở lưu tệp: {0} kết quả: {1}
照顾	Chăm sóc
精元	TinhNguyên
犹豫不决	Lưỡng lự
庙	Miếu
defName=>{0} {1}_effect.sParam2 配置为空,应该配置物品名字！	defName=>{0} {1}_effect.sParam2 Cấu hình trống, nên cấu hình tên vật phẩm!
受到天道异动的影响，无法禁足通灵物!	Bị ảnh hưởng bởi dị động thiên đạo, không thể cấm túc thông linh vật!
拆除	Tháo dỡ
修炼	Tu luyện
点击打开角色健康面板	Nhấp để mở bảng sức khỏe nhân vật
在布施类事件中可收获影响值，在其他事件中也会有作用。	Trong các sự kiện bố thí có thể thu được giá trị ảnh hưởng, cũng có tác dụng trong các sự kiện khác.
隋	Tùy
消耗25点香火值，赐予神国期及修行者一名护法。	Tiêu hao 25 điểm hương hỏa, ban cho một hộ pháp cho kỳ Thần Quốc và người tu hành.
循环十次	Lặp lại 10 lần
角色受上天眷顾的程度，影响角色概率相关的属性。	Mức độ nhân vật được trời cao ưu ái, ảnh hưởng đến các thuộc tính liên quan đến xác suất của nhân vật.
最后一轮竞拍	Vòng đấu giá cuối cùng
晋升内门	Thăng cấp nội môn
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Liên tục mắc lỗi khi tháo dỡ công trình, suýt làm mình bị thương, cảm thấy hơi khó chịu
凡俗之法	Pháp thế tục
可以预见，你对此人的劝化如[color=#ffa900]当头棒喝[/color]，直入其内心深处	Có thể dự đoán rằng lời khuyên của bạn đối với người này như [color=#ffa900]một cú đánh mạnh vào đầu[/color], tác động sâu vào nội tâm của họ
自身生长速度较慢，对周边环境产生较大的正面增益。	Tốc độ sinh trưởng khá chậm, mang lại lợi ích tích cực lớn cho môi trường xung quanh.
将一名修行者突破到结丹境界（选择角色，通过屏幕下方的人物面板，切换至练功模式，可以专攻修炼，以提高境界。）	Đưa một người tu luyện đột phá đến cảnh giới Kết Đan (chọn nhân vật, thông qua bảng nhân vật ở dưới màn hình, chuyển sang chế độ luyện công, có thể chuyên tâm tu luyện để nâng cao cảnh giới).
参悟经验：{0:F0}/{1:F0}	Kinh nghiệm ngộ đạo: {0:F0}/{1:F0}
准备好仪轨符具，准备练习秘法	Chuẩn bị dụng cụ bùa chú, sẵn sàng thực hành bí pháp
门派	Môn phái
从井里打水。	Lấy nước từ giếng.
万界天宫	Thiên Cung Vạn Giới
请确认建造！	Xin xác nhận xây dựng!
收藏	Sưu tầm
关闭	Đóng
[color=#ff0000]拖动框选范围[/color]	[color=#ff0000]Kéo để chọn phạm vi[/color]
攻击	Tấn công
五行：相同\n	Ngũ hành: Tương đồng\n
灵宠会优先食用低优先级的食物	Linh thú sẽ ưu tiên ăn thức ăn có mức ưu tiên thấp
男	Nam
金属	Kim loại
烹饪	Nấu ăn
请先选择目标!	Hãy chọn mục tiêu trước!
{0}{1:F0}  {2}等级(提高上限)\n	{0}{1:F0} {2} cấp độ (tăng giới hạn)\n
自动存档..	Tự động lưu...
