talk	notarget	thing	int
NotEatShit	Tôi sẽ không ăn phân đâu		
NotEatEssence	Tôi sẽ không ăn thiên tài địa bảo, trừ khi được cho		
NotEatDrug	Dù có đánh chết tôi cũng không coi đan dược là đồ ăn vặt, trừ khi được cho		
NotEatWheat	Tôi chỉ ăn lúa mì khi đói lả		
NotEatDryMeat	Tôi... thật sự không ăn thịt khô		
NotEatPear	Lê là gì? Có thể ăn được không?		
NotEatMeat	Thịt sống thật ghê tởm, tôi nhất định không ăn trừ khi không còn cách nào khác		
NotEatCook	Thức ăn chín là món tôi không muốn ăn nhất		
NotBiteBuilding	Tôi không muốn tấn công công trình		
NotBiteClothes	Tôi sẽ không đùa giỡn với quần áo		
NotBiteOuter	Tôi sẽ không tấn công đệ tử ngoại môn		
NotBiteInner	Tôi sẽ không tấn công đệ tử nội môn		
NotBiteVisitor	Tôi sẽ không tấn công khách		
NotBiteIncoming	Tôi sẽ không tấn công người phàm đến đây		
NotAtkEnemy	Tôi sẽ không tấn công kẻ thù, trừ khi bị tấn công		
NotShitAtShitPlace	Tôi sẽ không đi vệ sinh ở điểm vệ sinh		
NotShitAtPlants	Tôi sẽ không đi vệ sinh bên cạnh cây cối		
NotShitAtDogHouse	Tôi sẽ không đi vệ sinh trong tổ của mình		
NotShitAtStorage	Tôi sẽ không đi vệ sinh trong kho		
NotShitOnBed	Tôi sẽ không đi vệ sinh trên giường		
NotShitInFarm	Tôi sẽ không đi vệ sinh trên cánh đồng		
NotCarryOuterToBed	Tôi sẽ không di chuyển đệ tử bất tỉnh lên giường		
NotCarryVisitorToDest	Tôi sẽ không di chuyển khách bất tỉnh đến điểm vận chuyển		
NotCarryEnemyToDest	Tôi sẽ không di chuyển kẻ thù bất tỉnh đến điểm vận chuyển		
NotCarryIncomingToDest	Tôi sẽ không di chuyển người phàm bất tỉnh đến điểm vận chuyển		
NotCarryEnemyBodyToDest	Tôi sẽ không di chuyển xác kẻ thù đến điểm vận chuyển		
NotCarryVisitorBodyToDest	Tôi sẽ không di chuyển xác khách đến điểm vận chuyển		
NotCarryIncomingBodyToDest	Tôi sẽ không di chuyển xác người phàm đến điểm vận chuyển		
NotHelpCarry	Tôi sẽ không giúp sắp xếp đồ đạc		
NotHelpTimber	Tôi sẽ không giúp chặt cây		
NotHelpMine	Tôi sẽ không giúp khai thác mỏ		
NotHelpFind	Tôi sẽ không giúp lục soát đồ đạc		
NotHelpKill	Tôi sẽ không giúp giết động vật		
NotHelpPlant	Tôi sẽ không giúp bón phân cho cây		
NotCureFreeze	Tôi sẽ không giúp chữa trị bỏng lạnh		
NotCureHot	Tôi sẽ không giúp chữa trị say nắng		
NotHelpCook	Tôi sẽ không giúp nấu ăn		
NotHeatEndure	Tôi sẽ không giúp nâng cao khả năng chịu nhiệt		
NotColdEndure	Tôi sẽ không giúp nâng cao khả năng chịu lạnh		
NotHelpPlay	Tôi sẽ không chơi đùa với đệ tử		
NotPlayToy	Tôi sẽ không chơi đồ chơi		
NotTrainQiGan	Tôi sẽ không luyện tập khả năng linh khí		
NotTrainNeiDan	Tôi sẽ không luyện tập khả năng ngự đan		
NotTrainHuTi	Tôi sẽ không luyện tập khả năng bảo vệ cơ thể		
NotTrainLingZhi	Tôi sẽ không luyện tập khả năng linh trí		
NotTrainShuFa	Tôi sẽ không luyện tập khả năng thuật pháp		
WannaEatShit		Cái {0} này, nó có ngon không?	
WannaEatEssence		Cái {0} này làm tôi chảy nước miếng	
WannaEatDrug		Tôi muốn ăn đan dược như đồ ăn vặt	
WannaEatWheat		Cái {0} này trông rất ngon	
WannaEatDryMeat		Tôi không thể cưỡng lại mùi thơm của {0}	
WannaEatPear		Không chịu nổi nữa, tôi muốn ăn {0}	
WannaEatMeat		{0}, tôi sẽ bắt đầu ăn đây	
WannaEatCook		Tôi thật sự rất muốn ăn {0}	
WannaBiteBuilding		{0}, tôi đã nhịn lâu lắm rồi	
WannaBiteClothes		Cái {0} này chắc chắn rất tuyệt để nhai	
WannaBiteOuter		Không biết hương vị của đệ tử ngoại môn {0} sẽ như thế nào nhỉ	
WannaBiteInner		Đã đến lúc thể hiện sức mạnh với đệ tử nội môn {0} rồi	
WannaBiteVisitor		Khách {0} trông có vẻ thích hợp để luyện kỹ thuật	
WannaBiteIncoming		Khách mời {0} trông có vẻ thích hợp để luyện kỹ thuật	
WannaAtkEnemy		{0}, số phận của bạn đã đến rồi	
WannaShitAtShitPlace		Tôi muốn đi vệ sinh ở điểm thoát	
WannaShitAtPlants		Tôi muốn đi vệ sinh bên cạnh cây cối	
WannaShitAtDogHouse		Tôi muốn đi vệ sinh trong tổ của tôi	
WannaShitAtStorage		Phân của tôi rất quý giá, đi vào kho chắc chắn rất hợp lý	
WannaShitOnBed		Đi vệ sinh trên giường trông có vẻ thú vị	
WannaShitInFarm		Đi vệ sinh trên cánh đồng chắc sẽ rất hữu ích?	
