房间	Phòng
仓库1	Kho 1
仓库2	Kho 2
兔皮薄衣衫	Áo mỏng da thỏ
紫布休闲下裳	Quần thư giãn vải tím
蓝布薄衣衫	Áo mỏng vải xanh
白布薄下裳	Quần mỏng vải trắng
大理石剑	Kiếm Đá Cẩm Thạch
寒晶伐木斧	Rìu Hàn Nguyệt Chặt Gỗ
肉干	Thịt khô
木伐木斧	Rìu đốn củi gỗ
木矿镐	Cuốc mỏ
紫布薄衣衫	Áo mỏng vải tím
蓝布修行下裳	Tu Hành Hạ Thường Vải Xanh
木刀	Dao gỗ
灰石矿镐	Cuốc mỏ Đá xám
木墙	Tường gỗ
木门	Mộc Môn
木床	Giường gỗ
灵石炉灶	Bếp Lò Linh Thạch
梧桐木桌子	Bàn ngô đồng thần mộc
梧桐木墙	Tường ngô đồng thần mộc
梧桐木门	Cửa ngô đồng thần mộc
材料加工点	Điểm gia công nguyên liệu
手工点	Điểm thủ công
灵石水井	Linh Thạch Giếng Nước
母兔子	Thỏ cái
公鸡	Gà trống
雄龟	Rùa đực
雌龟	Rùa cái
雄青蛙	Ếch đực
雌青蛙	Ếch cái
<font color=MYCOLOR>梁菊</font>看到<font color=HECOLOR>双元</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Lương Cúc</font> nhìn thấy <font color=HECOLOR>Song Nguyên</font> từ xa đi tới, liền vẫy tay chào hỏi.
2天 07:20	2 ngày 07:20
万里无云，<font color=MYCOLOR>梁菊</font>一个人制作<font color=OBJCOLOR>矿镐</font>，突然思绪万千。	Trời quang mây tạnh, <font color=MYCOLOR>Lương Cúc</font> một mình <font color=OBJCOLOR>chế tạo cuốc mỏ</font>, đột nhiên nghĩ ngợi miên man.
2天 14:21	2 ngày 14:21
梁	Lương
菊	Cúc
新家园	Tổ ấm mới
双元	Song nguyên
伟	Vĩ
弘	Hoằng
新柔	Tân Nhu
欧阳	Âu Dương
寻雪	Tầm Tuyết
<font color=MYCOLOR>双元</font>看到<font color=HECOLOR>梁菊</font>打老远过来，就向她挥了挥手，打了个招呼。	<font color=MYCOLOR>Song Nguyên</font> nhìn thấy <font color=HECOLOR>Lương Cúc</font> từ xa đi tới, liền vẫy tay chào hỏi.
<font color=MYCOLOR>双元</font>正兴高采烈的赶路，看<font color=HECOLOR>梁菊</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>梁菊</font>的事。	<font color=MYCOLOR>Song Nguyên</font> đang hứng khởi đi đường, thấy <font color=HECOLOR>Lương Cúc</font> đi ngang qua liền kéo lại nói chuyện về <font color=OBJCOLOR>Lương Cúc</font>.
2天 19:23	2 ngày 19:23
双	Song
元	Nguyên
梁菊	Lương Cúc
安	An
郑	Trịnh
依凝	Y Ngưng
萧	Tiêu
瑞	Thụy
佟	Đông
紫雅	Tử Nhã
闫	Diêm
震	Chấn
生	Sinh
凌	Lăng
傲芙	Ngạo Phù
韦	Vi
化烟	Hóa Yên
慕名而来	Đến vì danh tiếng
等待收留	Đang chờ nhận nuôi
存档写入完成	Hoàn tất ghi lưu trữ
梁菊感到危险	Lương Cúc cảm thấy nguy hiểm
药物储量不足	Dự trữ thuốc không đủ
食物储量不足	Dự trữ thực phẩm không đủ
梁菊情绪糟糕	Lương Cúc tâm trạng xấu
梁菊需要开采工具	Lương Cúc cần dụng cụ khai thác
双元需要砍伐工具	Song Nguyên cần công cụ chặt cây
双元：受伤	Song Nguyên: Bị Thương
梁菊：受伤	Lương Cúc: Bị thương
路人需要帮助	Người qua đường cần giúp đỡ
江湖秘闻	Bí ẩn giang hồ
天苍246年 春 第10日	Năm Thiên Thương 246, mùa Xuân, ngày thứ 10
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Nghe nói sâu trong Đại Mạc bỗng nhiên đất trời sụp đổ, khắc đá Long Nhai - thánh địa của yêu tộc thời cổ đại lại xuất hiện trên nhân gian!
天火心光诀	Thiên Hỏa Tâm Quang Quyết
燃魂九极咒	Nhiên Hồn Cửu Cực Chú
朱雀金刚	Chu Tước Kim Cương
造化不坏神雷	Tạo Hóa Bất Hoại Thần Lôi
迅影秘法	Bí pháp tấn ảnh
少量的	Một chút
混元决	Hỗn Nguyên
混元密卷	Hỗn Nguyên Mật Quyển
圆转秘诀	Viên Chuyển Bí Quyết
黄芽迅击	Hoàng Nha Tấn Kích
中量的	Vừa
赤炎迅击秘法	Xích Diễm Tấn Kích Bí Pháp
黄庭混元宝典	Hoàng Đình Hỗn Nguyên Bảo Điển
真丹蓄神剑诀	Chân Đơn Trữ Thần Kiếm Quyết
神佑典	Điển Thần Hữu
景氏摄神要诀	Yếu Quyết Nhiếp Thần Cảnh Thị
紫火神佑典	Điển Thần Hộ Tử Hỏa
大量的	Số lượng lớn
丙火摄神书	Bính Hỏa Nhiếp Thần Thư
过去庄严琢玉秘传	Quá Khứ Trang Nghiêm Trác Ngọc Bí Truyền
海量的	Cực lớn
再造形神之术	Tái Tạo Hình Thần Thuật
南海清心神功	Nam Hải Thanh Tâm Thần Công


