拜祖师	Bái tổ sư
房间	Phòng
仓库	Kho
木伐木斧	Rìu đốn củi gỗ
熊皮休闲衣衫	Da gấu Áo Thường Nhật
兔皮修行下裳	Tu Hành Hạ Thường Da thỏ
牛皮休闲衣衫	Áo da bò thường nhật
靛蓝布休闲下裳	Hưu Nhàn Hạ Thường điện lam bố
巧夺天工的神兵，融合制作者的心血与灵感而成。	Thần binh tinh xảo tuyệt đỉnh, dung hợp tâm huyết và cảm hứng của người chế tạo.
饮血	Ẩm huyết
狼皮薄衣衫	Áo mỏng da sói
兔皮薄下裳	Quần mỏng da thỏ
灵木锤	Gỗ linh mộc
熊皮	Da gấu
万象赤血障	Chướng Vạn Tượng Xích Huyết
牛皮薄衣衫	Áo mỏng da bò
蓝布休闲下裳	Hưu Nhàn Hạ Thường vải xanh
火铜锭	Hỏa Đồng Đĩnh
炽凰天心镇	Xí Hoàng Thiên Tâm Trấn
书	Sách
碧光鬼书	Bích Quang Quỷ Thư
靛蓝布休闲衣衫	Áo Nghỉ Ngơi điện lam bố
狼皮修行下裳	Tu Hành Hạ Thường Da Sói
寒精锤	Búa Hàn Tinh
佩戴者可以提高御器技能等级。	Người đeo có thể tăng cấp độ kỹ năng ngự khí.
神剑符	Thần Kiếm Phù
莲藕	Ngó sen
壬水炼心藕	Cascade Luyện Tâm Ngẫu
棕石砖	Gạch đá nâu
麒麟极光圭	Kỳ lân Cực Quang Quỳ
虎皮薄衣衫	Áo mỏng da hổ
红布薄下裳	Quần mỏng vải đỏ
木锤	Búa gỗ
黄布休闲衣衫	Áo Thường Nhật hoàng bố
苍龙甲	Thương Long Giáp
癸水极光藕	Ngó Sen Equable Cực Quang
蓝布修行衣衫	Áo tu hành vải xanh
牛皮修行下裳	Da bò Quần Tu Hành
木环	Vòng gỗ
垃圾	Rác
镇岳五色毒	Trấn Nhạc Ngũ Sắc Độc
金丝灵木	Gỗ linh kim tuyến
长生七魄木	Trường Sinh Thất Phách Mộc
黑布薄衣衫	Áo mỏng hắc bố
麒麟磨骨碑	Kỳ Lân Ma Cốt Bia
虎皮厚制衣衫	Áo dày da hổ
万里御	Vạn Lý Ngự
野猪皮修行衣衫	Áo Tu Hành Da Lợn Rừng
可以提高炎热抵抗的符咒。	Là phù chú có thể tăng khả năng chống nóng.
避暑符	Tị Hoả Phù
大理石砖	Gạch đá cẩm thạch
行疆落樱阙	Hành Cương Lạc Anh Khuyết
香菇	Nấm hương
长生白骨菇	Trường Sinh Bạch Cốt Cô
琴谱	Phổ nhạc
长生三清谱	Trường Sinh Tam Thanh Phổ
火精剑	Hoả Tinh Kiếm
天火长青要诀	Thiên Hỏa Trường Thanh Yếu Quyết
使头脑清明，提高学习能力。	Làm cho đầu óc sáng suốt, tăng khả năng học tập.
文昌符	Văn Xương phù
铁矿石	Quặng sắt
霹雳神圭	Thần Khuê Phích Lịch
棕石	Đá nâu
天府流光石	Đá Lưu Quang Thiên Phủ
熊皮薄衣衫	Áo mỏng da gấu
戊己降龙御	Ngự Hàng Long Grim
花布薄衣衫	Áo mỏng hoa vải
寒晶弓	Tinh hàn cung
熊皮修行衣衫	Tu Hành Y Sam Da Gấu
花布修行下裳	Vải hoa Hưu Nhàn Hạ Thường
玄铁锤	Búa Huyền Thiết
寒晶锭	Hàn Tinh Đĩnh
惊波磨骨珏	Ngọc Mài Xương Kinh Ba
三才大日枝	Nhánh Tam Tài Đại Nhật
兔皮修行衣衫	Tu Hành Áo da thỏ
牛皮薄下裳	Da Bò Bạc Hạ Thường
佩戴者可以提高抵御水属性伤害之力。	Người đeo có thể tăng lực kháng tổn thương thuộc tính Thủy.
水甲符	Thủy Giáp Phù
万里落影镇	Vạn Lý Lạc Ảnh Trấn
木角料	Gỗ vụn
青龙圣镖	Thanh Long Thánh Phiêu
蓝布薄衣衫	Áo mỏng vải xanh
红布休闲下裳	Vải đỏ Hưu Nhàn Hạ Thường
棉花	Bông
碧光白骨线	Bích Quang Bạch Cốt tuyến
