ID	Name	Desc

-1	Thần Bí Bối Cảnh	Câu chuyện của [NAME] đã bị mất, không ai biết bất kỳ thông tin nào. (Mô-đun bị mất)
1	Tư Thục Học Tử	Tuổi thơ của [NAME] đã được giáo dục văn hóa đầy đủ. Kinh nghiệm học tập tại tư thục đã giúp [IT] hiểu biết nhiều kiến thức, cũng như mang lại cho [IT] một khí chất thư nhã.
2	Hài Tử Vương	[NAME] sinh ra ở một làng nhỏ, từ nhỏ đã nghịch ngợm và có khả năng lãnh đạo. [IT] thường dẫn dắt một nhóm trẻ em đi chơi lên núi xuống ruộng, và đánh nhau với trẻ em ở làng bên.
3	Phụ Mẫu Song Vong	[NAME] từ nhỏ đã mất cha mẹ, sống lang thang. Cuộc sống khổ cực đã cho [IT] thể chất và phản ứng vượt trội hơn những người cùng tuổi.
4	Thất Ức Nhi Đồng	Ký ức thời thơ ấu của [NAME] hoàn toàn trống rỗng, mỗi khi [IT] cố gắng nhớ lại, đều bị cơn đau đầu dữ dội cắt ngang. Để khám phá sự thật, [NAME] đã bỏ nhiều công sức nghiên cứu tài liệu và truyền thuyết, mặc dù đến nay vẫn chưa tìm ra nguyên nhân, nhưng những kiến thức này ít nhất đã giúp [IT] có nhiều chủ đề để trò chuyện.
5	Đại Thiếu Gia	[NAME] là hài tử trưởng của một gia đình giàu có, tận hưởng một tuổi thơ xa hoa. [IT] không bao giờ làm việc nặng, đã nhận được một nền giáo dục rất toàn diện và hoàn hảo.
6	Đại Tiểu Tả	[NAME] là con gái trưởng của một gia đình giàu có, tận hưởng một tuổi thơ xa hoa. [IT] không bao giờ làm việc nặng, đã nhận được một nền giáo dục rất toàn diện và hoàn hảo.
7	Thư Hương Môn Đệ	[NAME] sinh ra trong một gia đình có truyền thống văn hóa, từ nhỏ đã được thấm nhuần văn hóa. Tuy nhiên, việc thường xuyên nghiên cứu văn chương cũng khiến [NAME] thiếu rèn luyện, cơ thể khá yếu đuối.
8	Vũ Lâm Thế Gia	[NAME] xuất thân từ một gia đình võ thuật, từ nhỏ đã nhận được sự huấn luyện nghiêm ngặt. Nhờ đó, [IT] có sự hiểu biết sâu sắc về chiến đấu.
9	Thiếu Niên Sát Thủ	[NAME] là một đứa trẻ mồ côi, trong thời thơ ấu đã được một tổ chức sát thủ nuôi dưỡng, liên tục nhận sự huấn luyện lạnh lùng và tàn nhẫn. Chỉ đến khi tổ chức sát thủ bị tiêu diệt, [IT] mới thoát khỏi tổ chức.
10	Thanh Lâu Hài Đồng	[NAME] sinh ra trong một nhà chứa, không biết cha mình là ai. Từ nhỏ đã sống trong cảnh chợ búa khiến [IT] hiểu rõ hơn về quy tắc sinh tồn.
11	Công Tượng Gia Đình	[NAME] lớn lên trong một gia đình thợ thủ công, nhờ sự ảnh hưởng từ môi trường, [IT] từ nhỏ đã thích làm những đồ vật nhỏ.
12	Đồ Phu Đích Hài Tử	[NAME] lớn lên trong một gia đình đồ tể, [IT] đôi khi cũng giúp gia đình làm việc. Những trải nghiệm này khiến [IT] trở nên hung dữ và mạnh mẽ.
13	Nông Hộ Trường Tử	[NAME] là hài tử trưởng của một gia đình nông dân, hoàn cảnh gia đình khó khăn khiến [IT] từ nhỏ đã rất hiểu chuyện, tham gia lao động trong khả năng của mình.
14	Lang Trung Học Đồ	[NAME] từ nhỏ lớn lên bên một thầy thuốc lang, [IT] đã đi khắp nơi từ nam chí bắc. Những trải nghiệm này giúp [IT] trở nên hiểu biết hơn.
15	Quan Hoạn Thế Gia	[NAME] xuất thân từ một gia đình quan lại, đã quen với những mánh khóe trong cuộc chiến quyền lực. [IT] từ nhỏ đã rất giỏi trong việc chiếm được cảm tình của người khác, nhưng cũng không bao giờ mở lòng.
16	Quan Tinh Giả	[NAME] sinh ra trong một gia đình làm thiên văn, chịu ảnh hưởng từ cha, [IT] từ nhỏ đã có hứng thú với thiên văn học. Vì vậy, tuổi thơ của [IT] chìm đắm trong các bản đồ sao và sách lý thuyết.
17	Du Lịch Các Quốc	Phụ thân của [NAME] là sứ giả của triều đình đến Tây vực, [IT] thường đi theo cha du lịch các nước, điều này khiến [IT] tràn đầy khao khát và hứng thú với thế giới.
18	Luyến Đồng	[NAME] là một đứa trẻ được nuôi dưỡng bởi một gia đình giàu có, trải nghiệm tuổi thơ này khiến [IT] cảm thấy sợ hãi về mối quan hệ thân mật giữa đàn ông và đàn bà.
19	Thiết Tượng Phô Đồng Công	[NAME] từ nhỏ đã bị bán cho một xưởng rèn làm công nhân trẻ, [IT] lớn lên nghe tiếng đinh tai nhức óc, khao khát trở thành một thợ rèn thực thụ.
20	Thủy Hầu Tử	[NAME] là đứa trẻ lớn lên trên một chiếc thuyền đánh cá, [IT] từ nhỏ đã yêu thích nước. Những trải nghiệm trong tuổi thơ cũng giúp [IT] có được thân hình dẻo dai.
21	Âm Nhạc Thiên Tài	[NAME] sinh ra trong một gia đình âm nhạc, [IT] thừa hưởng gen di truyền xuất sắc, có tài năng nghệ thuật vượt trội.
22	Tà Ma Chi Tử	Mãu thân của [NAME] bị ma quái dụ dỗ, vì vậy đã mang thai và sinh ra [IT]. Trong cơ thể [IT] cũng chảy dòng máu của ma quái, điều này khiến [IT] có ngoại hình xấu xí và bị phân biệt.
23	Sinh Hiển Dị Tượng	[NAME] sinh ra mang theo vận mệnh của thế giới, giữa trời đất gió mây bùng nổ, ánh vàng lấp lánh, đêm như ban ngày. [IT] được định sẵn sẽ được trời phú.
24	Sát Tinh Hàng Thế	[NAME] là hóa thân của sao Thiên Sát, sinh ra để giết chóc và chiến đấu.
25	Thiên Tung Chi Tài	[NAME] thông minh tuyệt đỉnh, là một tài năng thiên bẩm. Dù học bất kỳ điều gì, [IT] cũng có thể nhanh chóng thành thạo. Nhưng [IT] lại có khuyết tật bẩm sinh, kinh mạch không hoàn chỉnh, không thể tu luyện.
26	Mục Đồng	[NAME] từ nhỏ đã chăn nuôi cho nhà địa chủ. Nhưng [IT] luôn cảm thấy số phận không công bằng với mình, [IT] nên làm được những việc lớn lao hơn.
27	Thân Tàn Chí Kiên	[NAME] bẩm sinh có trí tuệ kém, 5 tuổi mới biết nói, 10 tuổi mới biết đi, có thể nói là rất đáng khích lệ. Nhưng cha mẹ [IT] vẫn luôn kiên nhẫn với [IT]. Mặc dù [IT] rất ngốc nghếch, nhưng [IT] lại rất quan tâm đến mọi việc, [IT] sẵn sàng nỗ lực gấp nhiều lần người khác để học cách sống.
28	Tiểu Khất Nhi	[NAME] từ nhỏ đã bị bỏ rơi, được một nhóm ăn xin nhặt về nuôi. Từ khi [IT] hiểu chuyện, [IT] đã sống bằng nghề ăn xin. Cuộc sống ăn xin đã cho [IT] thấy sự lạnh lùng của con người, cũng khiến [IT] trở nên rất nhạy bén trong việc thấu hiểu lòng người.
29	Bối Xác Thu Tập Giả	[NAME] lớn lên ở một ngôi làng nghèo ven biển, tuổi thơ thiếu thốn giải trí, sở thích duy nhất là thu thập vỏ sò bên bờ biển.
30	Nhi Đồng Gian Điệp	[NAME] có ngoại hình xinh đẹp, được triều đình chọn làm điệp viên chính trị, được cử đến thủ đô của kẻ thù để thu thập thông tin. Trong quá trình đào tạo, [IT] đã học được các phương pháp ẩn giấu bản thân và kỹ năng nghe lén, và được nhồi nhét tư tưởng rằng nếu bị phát hiện thì phải hy sinh thân mình vì đất nước.
31	Địa Chủ Đích Hài Tử	[NAME] sinh ra trong một gia đình địa chủ, từ nhỏ không biết làm việc, không biết phân biệt lúa gạo. [IT] từ rất nhỏ đã có quan hệ với người hầu trong nhà, và rất thích điều đó, điều này khiến [IT] vốn đã yếu đuối càng trở nên yếu ớt hơn.
32	Mại Hoa Đồng	Cha Mãu thân của [NAME] điều hành một cửa hàng hoa. Khi [IT] hiểu chuyện, thường xuyên cầm giỏ hoa giúp cha mẹ bán hoa. Sự giao tiếp thường xuyên đã khiến [IT] trở nên hướng ngoại và hoạt bát, và có sức hút.
33	Khoái Nhạc Đích Đồng Niên	Cha Mãu thân của [NAME] là hậu duệ của một gia đình lớn. Cả hai đều hài lòng với cuộc sống bình yên, mặc dù không có hy vọng kế thừa gia sản nhưng cũng vui vẻ sống thanh thản, không lo ăn mặc. Do đó, [NAME] từ nhỏ đã được cha mẹ陪伴 chơi đùa, trải qua một tuổi thơ vui vẻ.
34	Dã Hài Tử	[NAME] sinh ra trong một ngôi làng, cha mẹ [IT] đã chết vì sói khi còn rất nhỏ. [IT] lớn lên bằng cách ăn nhờ cơm của nhiều nhà, không ai chăm sóc, suốt ngày lang thang ở đầu làng. Do hoàn cảnh gia đình, từ nhỏ [IT] thiếu bạn bè, chỉ có một con chó đen lớn ở đầu làng làm bạn.
35	Tửu Đồng	[NAME] có hoàn cảnh nghèo khó, [IT] cũng từ nhỏ đã bị cha mẹ gửi đến quán rượu trong thị trấn làm người phục vụ để phụ giúp gia đình. Trong quán rượu có nhiều khách say, thường xuyên trách mắng [IT], có lần [IT] thậm chí bị một khách rượu đánh gãy chân.
36	Nông Dân Đích Hài Tử	Gia đình của [NAME] sống bằng nghề nông, [IT] từ nhỏ đã theo cha mẹ ra đồng để tiện chăm sóc. Do đó, [IT] cũng đã quen thuộc với kỹ thuật và kiến thức trồng trọt.
37	Nông Dân Đích Hài Tử	Phụ thân của [NAME] là một tá điền trong gia đình địa chủ. Có một mảnh đất và vài con lợn. Khi [IT] khoảng bảy, tám tuổi đã theo cha ra đồng làm việc, cha trồng trọt, [IT] thì đi thu thập rau dại để cho gia súc ăn. Có một lần khi cho lợn ăn, [IT] không chú ý đã bị lợn cắn đứt một ngón tay.
38	Nông Dân Đích Hài Tử	Gia đình của [NAME] là tá điền trong gia đình địa chủ. Phụ thân của [IT] vì lao lực quá sức mà ngã bệnh, không thể giao lương đúng hạn, đành phải bán [IT] để trả nợ. Người mua [NAME] rất khắc nghiệt, ngày nào cũng dùng công việc nặng nhọc để bóc lột cơ thể còn nhỏ bé của [IT].
39	Tương Môn Hổ Tử	Tổ tiên của [NAME] đã ba đời làm tướng, [IT] từ nhỏ đã trải qua sự huấn luyện và học tập khổ cực, được gia đình kỳ vọng rất nhiều. Một nửa tuổi thơ của [IT] đã sống trong quân ngũ, điều này khiến [IT] toát lên một khí chất thép từ trong xương tủy.
40	Quân Nhân Gia Đình	Mãu thân của [NAME] mất sớm, cha là một cựu chiến binh sống sót sau nhiều trận chiến. Sau khi chiến tranh kết thúc, [IT] theo cha về quân đội làm giáo viên, và cũng sống lâu dài trong quân ngũ. Trong một lần hành động nhỏ để đàn áp tà giáo, [IT] đã theo cha thấy một số phép thuật kỳ diệu, mặc dù chỉ là những trò nhỏ cấp độ nhập môn, nhưng điều này khiến [IT] tràn đầy sự tò mò về tu luyện.
41	Lang Hài	[NAME] được một con sói mẹ nuôi lớn, khi [IT] bị phát hiện từ tổ sói đã năm tuổi. Tuổi thơ sống cùng sói đã khiến [IT] cảm thấy xa lạ với con người, thậm chí mất nhiều năm không thể nói chuyện bình thường.
42	Lạc Phách Quý Tộc	Gia đình của [NAME] từng là một gia đình xây dựng nổi tiếng trong vùng. Vì liên quan đến sự kiện loạn lạc của triều đại trước mà bị tịch thu tài sản. Trong quá trình bị đày, cha [IT] không chịu nổi sự tra tấn mà qua đời. Sự biến đổi lớn lao trong cuộc sống này khiến [IT] trở nên tự ti và nhút nhát.
43	Cô Nhi	[NAME] là một đứa trẻ mồ côi, [IT] lang thang trong những góc tối của thành phố, sống bằng nghề ăn xin và trộm cắp. Cuộc sống lang thang lâu dài khiến [IT] trở nên cực kỳ nhạy cảm, và không thể ngủ lâu.
44	Khí Anh	Ngay khi [NAME] sinh ra đã bị bỏ rơi trong đống rác. Được một người nhặt rác nhặt về, sống lay lắt. Điều kiện vệ sinh cực kỳ tồi tệ khiến [IT] mắc phải một căn bệnh khủng khiếp, điều này đã làm giảm nghiêm trọng tuổi thọ của [IT].
45	Sơn Thôn Hài Tử	[NAME] sinh ra trong một ngôi làng, cha mẹ và dân làng đều trốn tránh chiến tranh mà chạy đến đây. Do đó, trong giáo dục mà [NAME] nhận được từ nhỏ, sự phản đối đối với bạo lực và chiến tranh chiếm ưu thế tuyệt đối. Điều này khiến [IT] trở thành một người ghét bạo lực.
46	Quân Đội Nhi Đồng	[NAME] là một đứa trẻ mồ côi được nhặt từ chiến trường. Cha nuôi của [IT] là một hạ sĩ trong quân đội, [IT] từ nhỏ đã theo người lớn tập luyện, học các kỹ thuật giết người trên chiến trường. Huấn luyện và giết người đã lấp đầy tuổi thơ của [IT], cho đến một ngày quân đội mà [IT] thuộc về bị phục kích và tan rã. May mắn sống sót, [IT] bắt đầu suy nghĩ về ý nghĩa cuộc sống của mình.
