金丝木弓	Cung kim ti mộc
天婵斩仙弓	Thiên Thiền Trảm Tiên cung
梧桐神木	Ngô Đồng thần mộc
长生玄光桩	Trường Sinh Huyền Quang Trang
佩戴者可以提高寿元，远离疾瘴。恭祝各位新春快乐，万事如意！	Người đeo có thể tăng thọ nguyên, tránh xa bệnh tật. Chúc mừng năm mới, vạn sự như ý!
万寿图	Vạn Thọ Đồ
佩戴者可以提高神国信仰获取加成。	Người đeo có thể tăng thêm hiệu suất thu nhận tín ngưỡng của thần quốc.
神感符	Thần cảm giác phù
佩戴者可以提高抵御水属性伤害之力。	Người đeo có thể tăng lực kháng tổn thương thuộc tính Thủy.
水甲符	Thủy Giáp Phù
灵石玄阴圣泉	Linh Thạch Huyền Âm Thánh Tuyền
灵石轻纱灯	Đèn lụa nhẹ linh thạch
角色出生点	Điểm sinh nhân vật
逻辑点	Điểm logic
祝	Chúc
嬛	Hoàn
寂离	Tịch Ly
李	Lý
语风	Ngữ Phong
倾国之玄女 · 灭界之妖姬	Huyền nữ khuynh quốc · Yêu cơ diệt giới
坤元流光诀	Quyết Khôn Nguyên Lưu Quang
李晓曼真人五方咒	Lý Hiểu Mạn Chân Nhân Ngũ Phương Chú
武当清心咒	Võ Đương Thanh Tâm Chú
壬水天星	Nhâm Thủy Thiên Tinh
本源陨星诀	Bản Nguyên Vẫn Tinh Quyết
紫薇流光神雷	Tử Vi Lưu Quang Thần Lôi
紫云宫覆灭	Cung Tử Vân Phúc Diệt
鸿蒙五气咒	Hồng Mông Ngũ Khí Chú
寒月飞星真言	Hàn Nguyệt Phi Tinh Chân Ngôn
惊波流光	Kinh Ba Lưu Quang
癸水流光	Quý Thủy Lưu Quang
贵客远道而来，何不入此泉洗去这一身风尘戾气？	Quý khách đến từ phương xa, sao không vào suối này gột rửa phong trần sát khí?
哎，就一定要打扰本宫沐浴嘛？那一定要小施惩戒了……	Hừ, nhất định phải quấy rầy bản cung tắm sao? Vậy thì đừng trách bản cung ra tay trừng phạt nhé..
软弱的心	Trái tim yếu đuối
法宝威力和体修防御进攻强度降低	Sức mạnh của pháp bảo và sức tấn công phòng thủ của thể tu giảm xuống
此地原为合欢派长老在别处修建的分堂，弥漫桃花瘴气，令人浑身酥软，无力反抗。	Nơi này vốn là phân đường do trưởng lão phái Hợp Hoan xây dựng, tràn ngập đào hoa chướng khí khiến người ta mềm nhũn toàn thân, không thể phản kháng.


