拜祖师	Bái tổ sư
清心草	Thanh Tâm Thảo
人参	Nhân Sâm
灵芝	Linh Chi
灵仙草	Linh tiên thảo
麦田	Mạch điền
草药	Thảo dược
储存区	Kho lưu trữ
杂役卧室	Phòng ngủ tạp dịch
外门卧室	Phòng ngủ Ngoại môn
工作室	Công
祖师殿	Điện Tổ Sư
藏宝楼	Tàng Bảo lâu
内门卧室	Phòng ngủ nội môn
房间	Phòng
布修行衣衫	Áo tu hành vải
布休闲下裳	Hạ quần vải thư giãn
邬谷云	Ô Cốc Vân
熊皮薄衣衫	Áo mỏng da gấu
布清凉衣衫	Áo Mát Mẻ
狼皮薄衣衫	Áo mỏng da sói
熊皮薄下裳	Da gấu Bạc Hạ Thường
棕石环	Đá nâu hoàn
铁弓	Cung sắt
玉石弓	Cung Ngọc Thạch
金丝木弓	Cung kim ti mộc
寒晶剑	Tinh hàn kiếm
兔皮薄下裳	Quần mỏng da thỏ
大理石刀	Dao cẩm thạch
布薄衣衫	Áo vải mỏng
狼皮薄下裳	Quần mỏng da sói
木弓	Cung gỗ
石匣	Hộp đá
三清屠魔灵宝	Tam Thanh Đồ Ma Linh Bảo
玉石农具	Nông cụ đá ngọc
行疆万世锄	Hành Cương Vạn Thế Sừ
天地魔灵宝	Thiên Địa Ma Linh Bảo
布清凉下裳	Bộ Thanh Lương Hạ Thường
甲乙千光衣	Áo Thiên Quang Giáp Ất
火铜环	Vòng Hoả Đồng
玉衡千魂环	Ngọc Hành Thiên Hồn Hoàn
火铜矿石	Quặng Hoả Đồng
紫火环空碑	Bia Tử Hỏa Hoàn Không
炽凰五色圭	Ngũ Sắc Quy Xích Hoàng
玉衡莲花灵宝	Ngọc Hành Liên Hoa Linh Bảo
炽凰大日珏	Sí Hoàng Đại Nhật Kết
石髓	Tinh thạch
苍穹屠魔碑	Thương Khung Đồ Ma Bi
火铜剑	Hoả Đồng Kiếm
朱雀九宫剑	Kiếm Chu Tước Cửu Cung
画	Tranh
长生白虹图	Trường Sinh Bạch Hồng Đồ
玄铁矿石	Quặng huyền thiết
断岳圣金	Thánh Kim Đoạt Nhạc
斩魔灵宝	Linh Bảo Trảm Ma
梧桐神木	Ngô Đồng thần mộc
长生紫薇柱	Trường Sinh Tử Vi Trụ
奔烈星宿圭	Cân Bôn Liệt Tinh Tú
焚日斩仙剑	Phần Nhật Trảm Tiên Kiếm
紫薇妖印	Tử Vi Yêu ấn
观音土	Đất Quan Âm
麒麟神灵宝	Kỳ Lân Thần Linh Bảo
朱雀恶魄剑	Chu Tước Ác Phách Kiếm
碧光辟邪卷	Quyển Bích Quang Trừ Tà
天地天璇灵宝	Thiên Địa Thiên Toàn Linh Bảo
草	Thảo
碧光霓光绳	Bích Quang Nghê Quang Thằng
火铜伐木斧	Rìu Hỏa Đồng Đốn Gỗ
环空万魂斧	Hoàn Không Vạn Hồn Rìu
赤炎诛神剑	Xích Diêm Tru Thần Kiếm
磨骨灵宝	Linh Bảo Mài Xương
琴谱	Phổ nhạc
碧光恶魄谱	Phổ Bích Quang Ác Hồn
金丝木手镯	Vòng tay kim ti mộc
幻空道德琢	Huyễn Không Đạo Đức Trác
棋局	Bàn cờ
苍龙异骨局	Thương Long Dị Cốt Cục
玉石剑	Đá ngọc
万里天府剑	Vạn Lý Thiên Phủ Kiếm
幻空灵宝	Huyền Không linh bảo
五行玄光灵宝	Ngũ Hành Huyền Quang Linh Bảo
棕石手镯	Vòng tay đá nâu
戊土庇世镯	Mậu Thổ Tỷ Thế Trạc
碧光斩魔甲	Bích Quang Trảm Ma Giáp
野猪皮修行下裳	Quần Tu Hành Da Lợn Rừng
