书	Sách
苍莽屠神卷	Thương Mãng Đồ Thần Quyển
棉花	Bông
长生饮血线	Trường Sinh Ẩm Huyết Tuyến
棕石角料	Đá nâu vụn
镇岳千光碎	Trấn Nhạc Thiên Quang Mảnh
灵石环	Linh thạch hoàn
云浪环	Vân Lãng Hoàn
灵木角料	Gỗ vụn linh mộc
长生霓光镖	Trường Sinh Nghê Quang Tiêu
铁矿石	Quặng sắt
庚辛飞星镇	Canh Tân Phi Tinh Trấn
画	Tranh
苍莽炼魂图	Thương Mãng Luyện Hồn Đồ
木料	Gỗ
碧光饮血木	Bích Quang Ẩm Huyết Mộc
铁剑	Kiếm sắt
庚辛白骨剑	Canh Tân Bạch Cốt Kiếm
玄铁锭	Huyền Thiết Đĩnh
断岳斩仙印	Ấn Đoạn Nhạc Trảm Tiên
符纸	Phù giấy
炼心符	Luyện Tâm phù
原木	Gỗ nguyên liệu
苍莽木	Thương Mãng mộc
梧桐木角料	Gỗ vụn ngô đồng
飞星镖	Phi tinh tiêu
虎皮	Da hổ
己土鬼革	Kỷ Thổ Quỷ Cách
铁长枪	Thương Sắt
庚辛枪	Canh Tân Thương
野猪肉	Thịt lợn rừng
腾岳荡魔陀	Đằng Nhạc Đãng Ma Đà
棕石砖	Gạch đá nâu
天岭戮血阙	Thiên Lĩnh Lục Huyết Khuyết
金丝木料	Vật liệu gỗ kim ti
青龙天心桩	Cọc Thanh Long Thiên Tâm
木弓	Cung gỗ
星宿冲虚弓	Tinh Tú Xung Hư Cung
黑布休闲下裳	Quần giải trí hắc bộ
碧光先天衣	Áo Tiên Thiên Bích Quang
棕石剑	Thạch Kiếm nâu
地龙万骨剑	Kiếm Địa Long Vạn Cốt
铁锭	Thiết Đĩnh
开天涤心阙	Khai Thiên Tẩy Tâm Khuyết
大理石砖	Gạch đá cẩm thạch
天岭千光珏	Ngọc Thiên Quang Thiên Lĩnh
牛皮休闲下裳	Hạ Thường Da Bò Giải Trí
戊己紫云甲	Giáp Mậu Kỷ Tử Vân
火铜锭	Hỏa Đồng Đĩnh
炽凰天罡印	Xích Phượng Thiên Cương Ấn
