蓝布薄衣衫	Áo mỏng vải xanh
牛皮薄下裳	Da Bò Bạc Hạ Thường
木刀	Dao gỗ
兔肉	Thịt thỏ
镇岳辟邪幕	Trấn Nhạc Tịch Tà Mộc
狼皮薄衣衫	Áo mỏng da sói
熊皮薄下裳	Da gấu Bạc Hạ Thường
棕石弓	Đá nâu cung
奇怪的蘑菇	Nấm kỳ lạ
青龙篮	Thanh Long rổ
花布修行衣衫	Áo tu hành vải hoa
野猪皮修行下裳	Quần Tu Hành Da Lợn Rừng
火精锤	Hoả tinh chùy
观音土	Đất Quan Âm
己土磨骨灵宝	Kỷ Thổ Ma Cốt Linh Bảo
虎皮修行衣衫	Áo tu hành da hổ
蓝布修行下裳	Tu Hành Hạ Thường Vải Xanh
玄铁刀	Huyền Thiết đao
五雷炽魂刀	Ngũ Lôi Sí Hồn Đao
红布修行衣衫	Áo Tu Hành Vải đỏ
狼皮修行下裳	Tu Hành Hạ Thường Da Sói
棕石长枪	Trường thương Đá nâu
蓝布厚制下裳	Quần dày vải xanh
苍莽流星甲	Thương Mãng Lưu Tinh Giáp
熊皮薄衣衫	Áo mỏng da gấu
狼皮休闲下裳	Quần da sói thường ngày
佩戴者可以提高法宝回灵倍率。	Người đeo có thể tăng tỷ lệ hồi linh của pháp bảo.
灵剑符	Linh kiếm phù
莲藕	Ngó sen
天权极光藕	Thiên Quyền Cực Quang Ngẫu
黄布薄衣衫	Bạc Y Sam hoàng bố
红布薄下裳	Quần mỏng vải đỏ
木锤	Búa gỗ
牛皮休闲衣衫	Áo da bò thường nhật
坤元御	Khôn Nguyên ngự
花布薄衣衫	Áo mỏng hoa vải
黑布修行下裳	Quần tu hành hắc bộ
化形通慧	Hóa hình thông tuệ
虎皮休闲下裳	Hưu Nhàn Hạ Thường da hổ
戊土天府御	Mậu Thổ Thiên Phủ Ngự
被封印的凶凤之卵	Trứng Hung Phượng bị phong ấn
小乾坤界-门户	Tiểu Càn Khôn Giới-Cổng
灵石腾龙柱	Linh Thạch Đằng Long Cột
角色出生点	Điểm sinh nhân vật
逻辑点	Điểm logic
