牛皮薄衣衫	Áo mỏng da bò
红布清凉下裳	Vải đỏ Quần Thanh Lương
武当琢玉秘传	Võ Đang Trác Ngọc Bí Truyền
铁矿石	Quặng sắt
五雷戮血印	Ấn Ngũ Lôi Lục Huyết
灵石法座	Linh Thạch Pháp Tọa
天柱石神鹤灯	Thiên Trụ Thạch Hạc Đăng
天柱石剑心玉莲	Liên Ngọc Kiếm Tâm Thiên Trụ Thạch
上古残迹	Di tích cổ đại
寒精灯笼	Đèn lồng hàn tinh
寒精八卦旗	Cờ bát quái tinh thể lạnh
角色出生点	Điểm sinh nhân vật
灯笼	Đèn lồng
神鹤灯	Đèn Thần Hạc
赑屃玄碑	Bia Huyền Quy
鼓	Trống
云龙鼓	Trống Vân Long
灵石香炉	Linh Thạch Lư Hương
上古残木	Cây cổ tàn lụi
玉石腾龙柱	Cột Ngọc Thạch Đằng Long
玉石灯柱	Cột đèn đá ngọc
天柱石钟	Chuông Thiên trụ thạch
残道古像	Tượng cổ tàn đạo
棕石太极旗	Cờ thái cực đá nâu
棕石香炉	Lư hương đá nâu
棕石灯笼	Đèn lồng đá nâu
火铜神鹤灯	Hoả Đồng Thần Hạc Đăng
火铜碑	Hoả Đồng
奇石	Kỳ thạch
天柱石鼓	Trống Thiên trụ thạch
上古残骸	Di hài cổ đại
天柱石地母秘穴	Thiên Trụ Thạch Địa Mẫu Bí Huyệt
青铜祭旗	Cờ tế bằng đồng
古始之光	Ánh sáng cổ thủy nguyên
逻辑点	Điểm logic
爱	Ái
伦	Luân
廖	Liêu
雅绿	Nhã Lục
时间之囚	Ngục Thời Gian
清心咒	Thanh Tâm Chú
通符书	Thông Phù Thư
云气汇流	Vân Khí Hội Lưu
灵息诀	Linh Tức Quyết
剑符录	Kiếm Phù Lục
神剑符	Thần Kiếm Phù
玄符录	Huyền Phù Lục
天甲符	Thiên Giáp Phù
咒符录	Chú Phù Lục
神咒符	Thần Chú Phù
结云经	Kết Vân Kinh
入定之术	Thuật Nhập Định
祈天经	Kỳ Thiên Kinh
通天符法	Thông Thiên Phù Pháp
天真论	Thiên Chân Luận
无上神符	Vô Thượng Thần Phù
借天符	Tá Thiên Phù
遮天符	Phù Chắn Trời
云行法	Vân Hành Pháp
东木分神书	Đông Mộc Phân Thần Thư
分神之术	Phân Thần Chi Thuật
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
太阴锻体	Thái Âm Đoán Thể
少阴锻体	Thiếu Âm Đoán Thể
玄阴锻体	Huyền Âm Đoán Thể
神行术	Thần Hành Thuật
瞬形法	Thuấn Hình Pháp
九州大法	Cửu Châu Đại Pháp
辟邪真法	Tị Tà Chân Pháp
幽剑	U Kiếm
地母玄经	Địa Mẫu Huyền Kinh
凝珀诀	Ngưng Phách Quyết
摄神御鬼大法	Nhiếp Thần Ngự Quỷ Đại Pháp
九幽炼神	Cửu U Luyện Thần
尘暴术	Trần Bạo Thuật
玄牝重生法	Huyền Tẫn Trọng Sinh Pháp
八极炼形诀	Bát Cực Luyện Hình Quyết
灵视神观	Linh Thị Thần Quan
太虚元罡	Thái Hư Nguyên Cương
太虚神盾	Thái Hư Thần Thuẫn
瞬霎诀	Thuấn Sát Quyết
太阴诀	Thái Âm Quyết
少阴诀	Thiếu Âm Quyết
玄阴诀	Huyền Âm Quyết
渊狱诀	Uyên Ngục Quyết
幽狱诀	U Ngục Quyết
通幽秘传	Thông u bí truyền
幽淬之法	Pháp Luyện U Tẩy
灵淬之法	Pháp Luyện Linh Tẩy
坤元真气	Khôn Nguyên Chân Khí
厚德篇	Hậu Đức Thiên
虚空谒神法	Hư Không Nghệ Thần Pháp
坏灭诀	Hoại Diệt Quyết
一剑	Nhất Kiếm
秘宝：一剑	Bí Bảo: Nhất Kiếm
再造形神之术	Tái Tạo Hình Thần Thuật
本源通慧书	Bản Nguyên Thông Huệ Thư
赋灵术	Phú Linh Thuật
五泉涤心法	Ngũ Tuyền Địch Tâm Pháp
先天罡气	Tiên Thiên Cương Khí
化伤术	Hóa Thương Thuật
求雨术	Cầu Vũ Thuật
甘霖术	Cam Lâm Thuật
风水鉴定	Phong Thủy Giám Định
太和御气诀	Thái Hòa Ngự Khí Quyết
御木诀	Ngự Mộc Quyết
天霖诀	Thiên Lâm Quyết
天水化伤术	Thiên Thủy Hóa Thương Thuật
天一真法	Thiên Nhất Chân Pháp
采水诀	Thái Thủy Quyết
水镜观心定	Thủy Kính Quán Tâm Định
乘风诀	Thừa Phong Quyết
同风诀	Đồng Phong Quyết
奔流诀	Bôn Lưu Quyết
归海诀	Quy Hải Quyết
水精真形	Thủy Tinh Chân Hình
水气真形	Thủy Khí Chân Hình
水神真形	Thủy Thần Chân Hình
暴雨术	Bạo Vũ Thuật
九阴真水界	Cửu Âm Chân Thủy Giới
玄魂造命	Huyền Hồn Tạo Mệnh
罡煞合流	Cương Sát Hợp Lưu
醍醐灌顶之术	Đề Hồ Quán Đỉnh Thuật
造化曳影秘法	Tạo Hóa Dạ Ảnh bí pháp
本源饕餮	Bản Nguyên Thao Thiết
玉虚琢玉秘传	Ngọc Hư Trác Ngọc Bí Truyền
壹零陆贰柒柒捌零贰捌	壹零陆贰柒柒捌零贰捌
毕氏化伤神雷	Bỉ Thị Hóa Thương Thần Lôi
太上流光	Thái Thượng Lưu Quang
本源不坏神雷	Bản Nguyên Bất Phôi Thần Lôi


