ID	Name	Desc	EndDesc

1	Pháp bảo được khai quật	[TXT] Gần đây vào ban đêm có ánh sáng kỳ diệu xuất hiện, nghe nói có bảo vật bị mất đã được khai quật.	Pháp bảo của [TXT] đã bị người khác chiếm đoạt.
2	Pháp bảo được khai quật	[TXT] Gần đây thường có ánh sáng rực rỡ bay thẳng lên trời, nghe nói có bảo vật quý giá sắp được khai quật.	Pháp bảo của [TXT] đã bị người khác chiếm đoạt.
3	Pháp bảo được khai quật	[TXT] Gần đây sóng gió hội tụ, trời đất biến đổi, nghe nói có bảo vật cổ xưa sắp được khai quật.	Pháp bảo của [TXT] đã bị người khác chiếm đoạt.
4	Pháp bảo được khai quật	[TXT] Gần đây sóng gió hội tụ, trời đất biến đổi, nghe nói có bảo vật cổ xưa sắp được khai quật. Nghe nói do ảnh hưởng của phong ấn, xung quanh rơi vào cảnh lạnh giá ( [temperature]-150[/temperature] ), không thể lại gần.	Pháp bảo của [TXT] đã bị người khác chiếm đoạt.
5	Pháp bảo được khai quật	[TXT] Gần đây sóng gió hội tụ, trời đất biến đổi, nghe nói có bảo vật cổ xưa sắp được khai quật. Nghe nói do ảnh hưởng của phong ấn, xung quanh trở thành địa ngục lửa ( [temperature]500[/temperature] ), không thể lại gần.	Pháp bảo của [TXT] đã bị người khác chiếm đoạt.
6	Động phủ hiện thế	Nghe nói [TXT] có động phủ của một tiên nhân không rõ danh tính từ thời cổ đại xuất hiện.	Động phủ của tiên nhân [TXT] đã xuất hiện, trong đó các bí bảo đã bị những tu sĩ đến từ xa chia sẻ.
7	Động phủ hiện thế	Nghe nói [TXT] có động phủ của một tiên nhân không rõ danh tính từ thời cổ đại xuất hiện. Động phủ có pháp cấm bảo vệ, bên trong lạnh giá bao trùm ( [temperature]-150[/temperature] ), những kẻ không có sức chống cự vào trong sẽ chết.	Động phủ của tiên nhân [TXT] đã xuất hiện, trong đó các bí bảo đã bị những tu sĩ đến từ xa chia sẻ.
8	Động phủ hiện thế	Nghe nói [TXT] có động phủ của một tiên nhân không rõ danh tính từ thời cổ đại xuất hiện. Động phủ có pháp cấm bảo vệ, bên trong lửa thật bao trùm ( [temperature]500[/temperature] ), những kẻ không có sức chống cự vào trong sẽ chết.	Động phủ của tiên nhân [TXT] đã xuất hiện, trong đó các bí bảo đã bị những tu sĩ đến từ xa chia sẻ.
9	Động phủ hiện thế	Nghe nói [TXT] có động phủ của một tiên nhân không rõ danh tính từ thời cổ đại xuất hiện. Chủ động phủ là một bậc thầy luyện khí, trong đó sử dụng thuật luyện khí thiết lập vô số cơ quan pháp cấm, nếu không tinh thông đường luyện khí, sẽ khó mà tiến bước.	Động phủ của tiên nhân [TXT] đã xuất hiện, trong đó các bí bảo đã bị những tu sĩ đến từ xa chia sẻ.
10	Động phủ hiện thế	Nghe nói [TXT] có động phủ của một tiên nhân không rõ danh tính từ thời cổ đại xuất hiện. Chủ động phủ là một bậc thầy luyện đan, trong đó sử dụng thuật luyện đan thiết lập vô số cơ quan pháp cấm, nếu không tinh thông đường luyện đan, sẽ khó mà tiến bước.	Động phủ của tiên nhân [TXT] đã xuất hiện, trong đó các bí bảo đã bị những tu sĩ đến từ xa chia sẻ.
11	Dấu tích cổ thư	Nghe nói có một người phàm nổi tiếng đã khai quật được một cuốn sách kỳ lạ đã bị thất truyền từ một ngôi mộ cổ. Nhưng cuốn sách này sau đó đã rơi vào [TXT], không biết tung tích.	Quyển sách kỳ lạ được khai quật từ [TXT] đã bị một tu sĩ nào đó chiếm trước.
12	Bí tịch được khai quật	Nghe nói có một tu sĩ nổi tiếng đã tìm thấy manh mối tại [TXT], nghi ngờ một bí kíp do một vị tiên nhân cổ đại để lại được chôn giấu ở đây.	Một tu sĩ bí ẩn đã được vận may chiếu cố, cuối cùng nhận được bí kíp đã mất.
14	Thần thông hiện thế	Nghe nói [TXT] gần đây đã khai quật được những khắc đá ở Long Nhai, nghi có thần thông cổ xưa bị thất lạc xuất hiện.	Một tu sĩ bí ẩn đã chiếm đoạt được thần thông bí mật này.
15	Thần thông hiện thế	Nghe nói [TXT] gần đây đã khai quật được những khắc đá ở Long Nhai, nghi có thần thông cổ xưa bị thất lạc xuất hiện. Chỉ là do khí cơ thiên địa can thiệp, khu vực gần nơi khắc đá bị rơi vào cảnh lạnh lẽo ( [temperature]-150[/temperature] ).	Một tu sĩ bí ẩn đã chiếm đoạt được thần thông bí mật này.
16	Thần thông hiện thế	Nghe nói [TXT] gần đây đã khai quật được những khắc đá ở Long Nhai, nghi có thần thông cổ xưa bị thất lạc xuất hiện. Chỉ là do khí cơ thiên địa can thiệp, khu vực gần nơi khắc đá bị bao vây bởi lửa thật ( [temperature]500[/temperature] ), nóng bức khó chịu.	Một tu sĩ bí ẩn đã chiếm đoạt được thần thông bí mật này.
17	Hành tung tà phái	Nghe nói có đệ tử tà phái đang hoạt động ở [TXT], dường như có mục đích gì đó.	Xuất hiện [TXT] đệ tử tà phái đã rời đi.
18	Hành tung tà phái	Nghe nói có đệ tử tinh anh của tà phái đang hoạt động ở [TXT], dường như có mục đích gì đó.	Xuất hiện [TXT] đệ tử tà phái đã rời đi.
19	Hành tung tà phái	Nghe nói có trưởng lão tà phái đang hoạt động ở [TXT], dường như có mục đích gì đó.	Xuất hiện [TXT] đệ tử tà phái đã rời đi.
20	Hành tung chính phái	Nghe nói có đệ tử chính phái đang hoạt động ở [TXT], dường như có mục đích gì đó.	Xuất hiện [TXT] đệ tử chính phái đã rời đi.
21	Hành tung chính phái	Nghe nói có đệ tử tinh anh của chính phái đang hoạt động ở [TXT], dường như có mục đích gì đó.	Xuất hiện [TXT] đệ tử chính phái đã rời đi.
22	Hành tung chính phái	Nghe nói có trưởng lão chính phái đang hoạt động ở [TXT], dường như có mục đích gì đó.	Xuất hiện [TXT] đệ tử chính phái đã rời đi.
23	Bí mật kho báu	Theo ghi chép trong "Nhật ký du hành của Ngự Phong Tử: Quyển sáu", năm xưa tổ sư Hỗn Nguyên đã bị sáu phái ma đạo vây công ở Nam Hoang Trùng Cốc và mất tích, bảo vật theo mình cũng vì thế mà thất lạc trong Trùng Cốc.	
24	Bí mật kho báu	Theo "Tập di vật: Tập hạ" nói, đảo Hợp Hoan là hóa thân của da rồng cổ sau khi tổ long bay lên. Trên đảo, hồ độc long được cho là vị trí của Tổ Long Tử Phủ, bên trong có một động thiên riêng biệt.	
25	Bí mật kho báu	Theo "Nhật ký du hành của Ngự Phong Tử: Quyển một" nói, dưới di tích động phủ của Y sĩ Luyện Đan Phong còn có một nơi bí ẩn, không biết thật giả. 	
26	Bí mật kho báu	Theo ghi chép trong "Bí lục: Phần Đại Mạc", Đại Mạc là do một thiên thạch rơi xuống đất trong thời kỳ cổ đại mà hình thành. Nơi thiên thạch rơi xuống ngày xưa, hậu thế gọi là Hỏa Huyệt.	
27	Bí mật kho báu	Theo "Tập di vật: Tập thượng" nói, dưới thiên trì của núi Ngũ Liên có một nơi đóng cửa của Thần Nông Đế, và bên trong ghi chép bản đồ chi tiết, rất đáng để khám phá.	
28	Bí mật kho báu	Theo "Nhật ký du hành của Ngự Phong Tử: Quyển hai" nói, dưới núi Hắc Sơn trong rừng ngàn gai từng bị phong ấn một con thiên ma. Chỉ cần theo đúng bí pháp có thể giao tiếp với thiên ma, thu được một môn thần thông.	
29	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
30	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
31	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
32	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
