Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
God_Quanhua_LikeItem	0	Bạn thích [TXT] đến vậy, vì nó mà vui, vì nó mà buồn. Nhưng tu hành cả đời, bám víu vào những vật ngoài thân này thì có ý nghĩa gì?	Bạn có phiền không…？	Tôi cũng có cảm giác như vậy! [TXT] Sau khi đạt được thường đi kèm với sự trống rỗng, thật sự không có ý nghĩa gì. Tôi muốn theo bạn, khám phá ý nghĩa thực sự của tu hành.	Đương nhiên có ý nghĩa, sống mà không thích [TXT], thì có khác gì cá khô.		
God_Quanhua_HateItem	0	Bạn ghét [TXT] đến vậy, [TXT] có liên quan gì đến bạn? Tu hành cả đời, bám víu vào những vật ngoài thân này thì có ý nghĩa gì?	Bạn có phiền không…？	Quả thật, tôi ghét [TXT], nhưng [TXT] lại ở đâu đó, không tăng không giảm. Điều này chẳng phải là lãng phí cuộc sống của chính mình sao? Tôi muốn theo bạn, khám phá ý nghĩa thực sự của tu hành.	Đương nhiên có ý nghĩa, [TXT] thật sự làm người ta chán ghét, tôi phải hủy diệt toàn thế giới [TXT] mới không uổng một đời!		
God_Quanhua_Feature	0	Bạn là người [TXT], thường xuyên bị rắc rối bởi điều này. Bạn hãy nghĩ xem, bạn tu hành cả đời, ngay cả điều này cũng không thể kiểm soát, thì có mặt mũi nào để nói mình là người tu hành?	Bạn có phiền không…？	! Bạn nói đúng… ngay cả bản thân mình cũng không thể kiểm soát, nói gì đến tu hành? Tôi muốn theo bạn, khám phá ý nghĩa thực sự của tu hành.	Liên quan gì đến bạn? Tôi chính là [TXT], đây là một trong những dấu ấn sự tồn tại của tôi, không có gì xấu cả!		
God_Quanhua_Hobby	0	Bạn cả đời bị mắc kẹt trong [TXT], suốt ngày tiêu tốn tinh thần vì điều này, vậy tại sao phải khổ sở? Trở lại vòng luân hồi, mọi thứ đều hư không, tu hành cả đời chỉ phí hoài vào những chuyện tạp nham này, thì làm sao có thể siêu thoát?	Bạn có phiền không…？	! Bạn nói đúng… nhưng [TXT] này đã làm tôi bận tâm từ lâu, không thể giải thoát! Tôi cũng rất khổ sở. Tôi muốn theo bạn, mong có thể thoát khỏi những gánh nặng này, khám phá ý nghĩa thực sự của tu hành.	Liên quan gì đến bạn? Đây là chuyện của tôi, không cần bận tâm!		
God_Quanhua_Esoterica	0	Bạn tự mãn với [TXT], nhưng điều này có thể giúp bạn sống lâu không? Những danh vọng hư ảo này có lợi ích gì cho việc tu hành của bạn? Trở lại vòng luân hồi, mọi thứ đều hư không, tu hành cả đời chỉ phí hoài vào những chuyện tạp nham này, thì làm sao có thể siêu thoát?	Bạn có phiền không…？	! Bạn nói đúng… bị chậm trễ bởi [TXT], tôi đã không tiến bộ trong tu luyện suốt một thời gian dài. Tôi muốn theo bạn, khám phá ý nghĩa thực sự của tu hành.	Đương nhiên! Nếu không có [TXT], tôi làm sao có ngày hôm nay? Bạn thật sự nói chuyện rất kỳ lạ.		
God_Quanhua_Secret	0	Bạn giữ chặt những chuyện liên quan đến [TXT], tự cho là bí mật. Nhưng những chuyện này thực sự quan trọng đến vậy sao? Người tu hành, việc tu hành siêu thoát mới là con đường chính!	Bạn có phiền không…？	! Bạn nói đúng… bị chậm trễ bởi [TXT] này, đã tiêu tốn rất nhiều tâm trí của tôi, tu luyện càng bị cản trở. Tôi muốn theo bạn, khám phá ý nghĩa thực sự của tu hành.	Bạn đang nói gì vậy, nếu tu hành cả đời chỉ để siêu thoát, thì còn ý nghĩa gì, tôi thà không tu hành còn hơn!		
God_Quanhua_Carry	0	Hãy nhìn xem, bạn mang theo [TXT] và những thứ như vậy, dưới thiên đạo, chúng ta cũng giống như những vật tạp nham này. Người tu hành, việc tu hành siêu thoát mới là con đường chính!	Bạn có phiền không…？	! Đúng vậy, không biết từ khi nào, bỗng nhiên bắt đầu say mê những vật bên ngoài này, lại chậm trễ trong tu hành, thật là bỏ qua cái chính để theo đuổi cái phụ. Tôi muốn theo bạn, khám phá ý nghĩa thực sự của tu hành.	Bạn không có ý định thèm muốn [TXT] của tôi chứ? Đi xa một chút đi!		
God_Quanhua_None	0	Chỉ cần đi theo tôi, bạn có thể theo đuổi đại đạo, vĩnh viễn hưởng thụ tự do!	Bạn có phiền không…？	Bạn chắc không phải là Thạch Lạc Chí.	Bạn có vấn đề gì với đầu óc không? Tại sao tôi phải đi theo bạn?		
God_Quanhua_Track	0	(Không thể sử dụng thông tin này để thuyết phục.)	……	……	……		


