ID	Desc	Name

1	[b][align=center][color=#ffe5a1][size=22]Lối chơi mới--Thú Cổ Đại[/size][/color][/align][/b]Đánh bại Thú Cổ Đại, thu nhận Nguyên liệu và vật chất quý giá, mở ra không gian trưởng thành mới cho Tu Hành Giả.\n\n[b][color=#F2D896][size=20]Giao Long:[/size][/color][/b]\nKhi Linh khí Thiên Địa phục hồi, trứng Giao Long phong ấn sâu trong lòng đất Nguyệt Luân Sơn lại một lần nữa nở ra. Giao Long vừa nở dùng Thần thông phá vỡ mặt đất, ý đồ lợi dụng Thần thông để nô dịch sinh vật trên mặt đất giúp bản thân phục hồi.\n\n[b][size=20][color=#F2D896]Phượng Hung:[/color][/size][/b]\nCấm địa Long Đài của tộc Long tái xuất, mọi người lần lượt đi tìm kiếm cơ duyên. Nhưng không ai ngờ rằng Trận pháp phong ấn đại địch Phượng Hung của tộc Long năm xưa cũng bị những người không hay biết vô tình phá hủy. Truyền thuyết kể rằng Phượng Hung vốn là Thú cát tường thượng cổ, sau khi Niết Bàn trong thời đại đại kiếp thì khi thức tỉnh tâm trí đã hỗn loạn, uy nghi tàn khốc che lấp tất thảy, thậm chí còn ăn cả rồng, ngay cả trong thời đại các cường giả cổ đại cũng là tồn tại hung ác nhất. Nay Phượng Hung tái xuất, dù sức mạnh chỉ còn mười phần không được một, nhưng e rằng vẫn sẽ trở thành đại họa cho Nhân gian giới...\n\n[b][size=20][color=#F2D896]Chúc Long:[/color][/size][/b]\nChúc Long vốn là hóa thân của Âm Dương Chi Đạo tại Nhân gian, từ thời thượng cổ đã quy về Đạo không còn xuất hiện. Hiện nay, tranh đấu chính tà ngày càng gay gắt làm rối loạn Âm Dương Chi Đạo, cảm nhận khí cơ này, chân thân Chúc Long cũng lại một lần nữa tái hiện ở Nhân gian với hình thái hỗn loạn..	Cổ thú thượng cổ
2	[b][align=center][color=#ffe5a1][size=22]Cách chơi mới--Vật trấn phong thủy[/size][/color][/align][/b][b][size=20][color=#F2D896]Sinh thành vật trấn:[/size][/color][/b]\nVật phẩm có thể có thuộc tính vật trấn phong thủy, trở thành vật trấn phong thủy. Khi u luyện vật phẩm, cũng có thể đột biến thành vật trấn phong thủy, cấp càng cao tỷ lệ đột biến càng lớn.\n\n[b][size=20][color=#F2D896]Phong Thủy Giám Định:[/size][/color][/b]\nThêm thần thông《Phong Thủy Giám Định》, có thể sử dụng cho vật trấn phong thủy chưa được giám định.\n\n[b][size=20][color=#F2D896]Trấn vật hòa hợp:[/size][/color][/b]\nĐặt vật trấn phong thủy trong phòng đáp ứng điều kiện, phong thủy phòng sẽ trực tiếp nâng lên Đại cát; nếu không đáp ứng điều kiện, phong thủy phòng sẽ giảm xuống Đại hung.\n\n[b][size=20][color=#F2D896]Vật trấn thông linh:[/size][/color][/b]\nVật trấn thông linh nếu đặt ở vị trí hợp lý, không những có thể thay đổi phong thủy phòng mà còn cung cấp thuộc tính tăng cường cho nhân vật trong phòng. Ngược lại, hiệu quả tăng thêm này cũng sẽ đảo chiều.\n\n[b][size=20][color=#F2D896]Vật trấn đặc biệt:[/size][/color][/b]\nMột số vật trấn thông linh có nguồn gốc đặc biệt thường có hiệu quả vô cùng đặc biệt và mạnh mẽ, ví dụ như Tháp Vạn Linh, Phù Ngự Thi, những vật trấn này có thể ẩn trong bí cảnh hoặc đã có chủ sở hữu, cần tự mình tìm kiếm.	Vật trấn phong thủy
3	[b][align=center][color=#ffe5a1][size=22]Chơi mới -- Chăn nuôi động vật[/size][/color][/align][/b][b][size=20][color=#F2D896]Thuần phục động vật:[/size][/color][/b]\nBây giờ có thể cho các động vật mất khả năng di chuyển ăn bằng thức ăn chúng yêu thích để thuần phục chúng.\n\n[b][size=20][color=#F2D896]Chăn nuôi động vật:[/size][/color][/b]\nNgười chơi có thể quy hoạch khu chăn nuôi để thiết lập phạm vi sinh sống cho động vật. Sau khi đã được thuần dưỡng, động vật sẽ sinh sản và tạo ra sản phẩm, đem về nguồl thu cho môn phái, tăng thêm sinh khí.\n\n[b][size=20][color=#F2D896]Tương tác người-thú:[/size][/color][/b]\nĐộng vật thuần hóa sẽ gắn kết thân thiết với nhân vật, người chơi cũng có thể khiến chúng đi theo một nhân vật nào đó. Trong quá trình tương tác, nhân vật thậm chí còn có thể lĩnh ngộ được điều gì đó từ chúng.	Chăn Nuôi Động Vật
4	[b][align=center][color=#ffe5a1][size=22]Chế độ chơi mới - Linh Thực Ngũ Hành[/size][/color][/align][/b][b][size=20][color=#F2D896]Trồng Linh Thực:[/size][/color][/b]\nChỉ cần sở hữu quả Thần Dược Ngũ Hành là có thể trồng được. Việc trồng Linh Thực yêu cầu điều kiện khắt khe, nhưng mang lại nguồn hỗ trợ to lớn cho quá trình tu luyện và trưởng thành.\n\n[b][size=20][color=#F2D896]Nuôi dưỡng Linh Thực:[/size][/color][/b]\nTrong quá trình phát triển, bạn có thể sử dụng các loại vật phẩm khác nhau để nuôi dưỡng Linh Thực. Linh Thực sẽ có phản ứng khác nhau tùy loại vật phẩm, thậm chí có thể đáp lại với một số vật phẩm đặc biệt.\n\n[b][size=20][color=#F2D896]Giao Cảm với Linh Thực:[/size][/color][/b]\nKhi có người tu luyện ở gần Linh Thực đang phát triển, sẽ bước vào trạng thái giao cảm. Người chơi sẽ nhận được lợi ích dựa trên trạng thái hiện tại của Linh Thực.\nKhi giao cảm, mối quan hệ giữa người chơi và Linh Thực ngày càng thân thiết, cuối cùng có thể thông qua Linh Thực để ngộ được đạo lý bản nguyên Ngũ Hành, lĩnh hội những bí kíp đặc biệt và mạnh mẽ.\n\n[b][size=20][color=#F2D896]Tính Chất Linh Thực:[/size][/color][/b]\nLinh Thực có hai xu hướng: Linh Tính và Sát Tính, được quyết định bởi giá trị Linh-Sát. Điều kiện sinh trưởng sẽ ảnh hưởng đến xu hướng này.\nXu hướng Linh Tính giúp Linh Thực phát triển chậm nhưng cải thiện môi trường xung quanh. Xu hướng Sát Tính giúp phát triển nhanh nhưng hấp thụ gấp đôi linh khí, khiến môi trường xấu đi.\nMỗi loại Linh Thực có xu hướng ban đầu khác nhau. Ngoài ra, xu hướng còn bị ảnh hưởng bởi năm yếu tố: thuộc tính vật phẩm nuôi dưỡng, thời tiết, thuộc tính trung bình của môi trường trong phạm vi 10x10, thuộc tính người giao cảm và mùa. Ngũ Hành sinh sẽ tăng Linh Tính, Ngũ Hành khắc sẽ tăng Sát Tính.\n\n[b][size=20][color=#F2D896]Sự Kiện Linh Thực:[/size][/color][/b]\nLinh Thực khi phát triển có thể kích hoạt các sự kiện như thay đổi thiên tượng, mang lại cảm ngộ đạo pháp, kết tinh bảo vật như Tạo Hóa Ngọc Lộ, hoặc thu hút yêu thú xâm lăng. Đây vừa là cơ hội, vừa là thử thách.	Ngũ hành linh thực
5	[b][align=center][color=#ffe5a1][size=22]Sự kiện mới - Đại năng xuất thế[/size][/color][/align][/b]Cùng với sự hồi sinh của cổ thú, các Đại năng ẩn cư khắp nơi cũng đồng loạt xuất thế. Đại năng có tên riêng, tu vi cường đại, và cũng mang theo bảo vật độc nhất vô nhị, chờ đợi thử thách của bạn.	Đại năng xuất thế.
6	[b][align=center][color=#ffe5a1][size=22]Nội dung mới[/size][/color][/align][/b][b][size=20][color=#F2D896]Kỹ năng mới cho Thiên Mạc Linh Thú:[/size][/color][/b]\nNgười Bạn Thiên Nhiên: Dùng để thuần hóa thú hoang.\n\n[b][size=20][color=#F2D896]Linh Thú mới:[/size][/color][/b]\n[b]·[/b] Phù Long Trường Hải\n[b]·[/b] Huyền Phụng Dực Minh\n\n[b][size=20][color=#F2D896]Mở khóa công trình:[/size][/color][/b]\n[b]· Tượng Phù Long:[/b] Có thể dùng để hồi sinh hoặc triệu hồi Phù Long.\n[b]· Tượng Huyền Phụng:[/b] Có thể dùng để hồi sinh hoặc triệu hồi Huyền Phụng.\n\n[b][size=20][color=#F2D896]Mở khóa đạo cụ:[/size][/color][/b]\n[b]· Giao Long Đích Noãn:[/b]\nMột quả trứng Giao Long chưa nở, rõ ràng có dấu hiệu sự sống bên trong. Để ấp nở cần nhiệt độ dưới -200 độ, linh khí cực kỳ dày đặc, rất thích hợp ở nơi thuộc tính thủy.\n[b]· Phượng Hoàng Đích Noãn:[/b]\nMột quả trứng Phượng Hoàng chưa nở, rõ ràng có dấu hiệu sự sống bên trong. Để ấp nở cần nhiệt độ trên 300 độ, linh khí cực kỳ dày đặc, rất thích hợp ở nơi thuộc tính hỏa.	Nội dung thêm
7	[b][align=center][color=#ffe5a1][size=22]LỐI CHƠI MỚI – TU HÀNH THẦN ĐẠO[/size][/color][/align][/b]Pháp môn tu hành Thần đạo hoàn toàn mới truyền từ thượng cổ, cho phép thu nhận lực tín ngưỡng của phàm nhân để sử dụng. Vận dụng lực tín ngưỡng để khai mở Thần quốc trong hư không, đăng lâm thần vị, hội tụ lực lượng hộ pháp chư thiên về một thân, tạo ra tín ngưỡng thần khí của riêng mình.\n\n[b][size=20][color=#F2D896]CÔNG PHÁP MỚI:[/size][/color][/b]\n[b]· 《Cửu Thiên Ứng Nguyên Lôi Thanh Phổ Hóa Ngọc Thư》:[/b]\nTruyền thừa của Lôi Tổ, tu luyện công pháp này có thể mượn linh dẫn của Lôi Tổ, triệu hồi chúng linh Lôi Bộ Cửu Thiên hộ trì, thiên về công phạt bằng Ngự khí.\n[b]· 《Chư Thiên Bát Bộ Thành Tựu Pháp》:[/b]\nTruyền thừa từ Tây Phương Thiên Ngoại Thiên, tu luyện công pháp này có thể mượn linh dẫn chư thiên, triệu hồi chúng linh Bát Bộ hộ trì, thiên về thuật pháp chi đạo.\n[b]· 《U Minh Thập Phương Thái Ất Cứu Khổ Kinh》:[/b]\nTruyền thừa của U Tổ, tu luyện công pháp này có thể mượn linh dẫn Cửu U, triệu hồi chúng linh U Minh Thập Phương hộ trì, thiên về Hộ ngự chi đạo.\n\n[b][size=20][color=#F2D896]THU HOẠCH TÍN ĐỒ:[/size][/color][/b]\nVận dụng ảnh hưởng của bản thân trên khắp thế giới để thu hoạch sự chú ý của phàm nhân, đồng thời thu thập lực tín ngưỡng của họ.\n\n[b][size=20][color=#F2D896]TÂM CẢNH:[/size][/color][/b]\nTu hành Thần đạo mở ra cảnh giới hoàn toàn mới cho Tâm cảnh, gồm bảy loại: “Động”, “Tĩnh”, “Tịch”, “Thánh”, “Tuệ”, “Không”, “Linh”, mỗi loại đều có huyền diệu riêng, chờ người đột phá.\n\n[b][size=20][color=#F2D896]NHÂN TÍNH VÀ THẦN TÍNH:[/size][/color][/b]\nKhi tu vi thần đạo ngày càng tăng, sẽ dần dần đạt được Thần tính và mất đi Nhân tính. Quá trình này gần như không thể đảo ngược, chỉ có số ít phương pháp có thể phục hồi được phần nào Nhân tính đã mất. Khi Thần tính nâng cao, nhân vật thần tu sẽ dần đánh mất cảm xúc nhân loại, nhưng khả năng khống chế thần lực cũng tăng lên. Một khi Thần tính đạt 100, nhân vật sẽ mất toàn bộ Nhân tính và buộc phải kích hoạt Thiên kiếp tín ngưỡng, nếu vượt Thiên kiếp thành công sẽ lưu lại di thể, trở thành thần linh.\n\n[b][size=20][color=#F2D896]THÁNH VẬT TÍN NGƯỠNG:[/size][/color][/b]\nTu hành giả Thần đạo có thể luyện chế duy nhất một bản mệnh pháp bảo – Thánh vật, lúc đầu bình thường, nhưng khi Thần quốc ngày một xây dựng phát triển thì thánh vật sẽ ngày càng mạnh lên, thậm chí vượt xa cực hạn, trở thành chí bảo vô song.\n\n[b][size=20][color=#F2D896]KHAI PHÁ THẦN QUỐC:[/size][/color][/b]\nKhi tu vi của tu hành giả Thần đạo đạt đến nhất định, có thể Khai phá Thần quốc của riêng mình. Khi nhân vật Khai phá Thần quốc, số tín đồ càng nhiều, Tâm cảnh càng cao, Thần tính càng mạnh, tâm trí càng bình hòa, vị trí sắp xếp càng hợp lý thì diện tích ban đầu của Thần quốc càng rộng lớn. Tiêu hao lực tín ngưỡng trong Thần quốc để xây dựng, qua đó nâng cao mọi phương diện sức mạnh của tu hành giả Thần đạo.\n\n[b][size=20][color=#F2D896]CÚNG DƯỠNG HỘ PHÁP:[/size][/color][/b]\nKhác với tu luyện Kim Đan truyền thống lĩnh ngộ các Bí kíp để nâng cao bản thân, tu hành giả Thần đạo chủ yếu xây dựng Hộ Pháp Điện trong Thần quốc, cúng dưỡng Hộ pháp để nhận về sức mạnh thần lực vô song; từng loại Hộ pháp sẽ cung cấp thần lực khác nhau. Các công pháp Tu hành Thần đạo vốn sẽ nhận được sự che chở của vài Hộ pháp đặc sắc, những Hộ pháp này sẽ dần được mở khóa khi công pháp đạt Cảnh giới cao hơn. Bên cạnh đó, trong thiên địa còn có vô số Hộ pháp nhiệm màu chờ người tìm kiếm qua việc khám phá và Kỳ Ngộ.\n\n[b][size=20][color=#F2D896]LẮNG NGHE CHÚNG SINH:[/size][/color][/b]\nTrong Thần quốc lắng nghe tâm nguyện của chúng sinh, tiêu hao lực tín ngưỡng để đáp ứng ước vọng, qua đó thu hoạch thêm tín đồ.\n\n[b][size=20][color=#F2D896]THU HOẠCH THẦN DANH:[/size][/color][/b]Dựa vào việc làm, cảnh giới tu vi, số lượng tín đồ của tu hành giả Thần đạo mà thu hoạch thần danh độc nhất, đây là thành tựu và dấu ấn riêng biệt của họ.\n\n[b][size=20][color=#F2D896]TÍN ĐỒ CỐT LÕI:[/size][/color][/b]\nDu hành thiên hạ, tìm kiếm người hữu duyên với thần tu, từ thông tin của họ tìm ra điểm Đột phá, trực tiếp cảnh tỉnh, khuyên hóa họ thoát khỏi Hồng Trần Khổ Hải, đi theo tu hành giả Thần đạo khám phá chân lý tu luyện.\n\n[b][size=20][color=#F2D896]THIÊN KIẾP TÍN NGƯỠNG:[/size][/color][/b]\nTu hành Thần đạo tuy không có trở ngại như các cảnh giới khác nhưng muốn đạt đến đỉnh phong thì thử thách của Thiên kiếp cũng vô cùng khốc liệt. Trong quá trình tu hành Thần đạo, có ba loại Thiên kiếp tín ngưỡng mà tu hành giả phải vượt qua.\n\n	Tu hành Thần đạo
8	[b][align=center][color=#ffe5a1][size=22]Cách chơi mới -- Mở rộng môn phái[/size][/color][/align][/b][b][size=20][color=#F2D896]Mở khóa chức năng mở rộng môn phái:[/size][/color][/b]\nNgười phàm khắp nơi oán than đầy trời, cần các môn phái giúp đỡ. Nhưng người tu tiên không tiện trực tiếp can thiệp, có thể lập đại lý ở nhân gian, hiểu rõ dân sinh, thu nhận tín đồ.\n\n[b][size=20][color=#F2D896]Xây dựng đại lý:[/size][/color][/b]\nCác điểm đại lý khác nhau, nội dung xây dựng cũng khác nhau. Mỗi ngày có thể thu thập tín ngưỡng hoặc oán niệm, đợi người tu luyện đến thu thập. Chia thành thành phố và khu vực. Phái đệ tử khéo xử thế nhất trở thành đại lý trưởng.\n\n[b]·[/b]Khu vực bao gồm: Lĩnh Nam, Trung Nguyên, Đại Mạc, Giang Ngạn Ốc Dã, Đại Tuyết Nguyên, Nam Hoang.\n[b]·[/b]Thành phố bao gồm: Phong Thành, Quan Hải Thành, Hà Âm Thành, Đại Lương Thành, Bàn Xà Trại.\n[b]·[/b]Có thể xây dựng: Chủ điện, ruộng đất, mỏ khoáng, trường khai thác gỗ, mỏ Linh thạch, thần điện, linh quan điện, mật các, giới luật viện, tượng thần, v.v.\n\n[b][size=20][color=#F2D896]Chính sách:[/size][/color][/b]\nĐiểm đại lý có thể áp dụng các chính sách khác nhau, trong thời gian chính sách, đại lý sẽ nghiêng về một loại hành động nhất định, nhưng cần tiêu hao giá trị ảnh hưởng. Muốn thu nhận nhiều tín đồ, tìm kiếm trân bảo, thu thập vật tư cơ bản, thu thập thiên đạo hoặc nhiễu loạn hồng trần, cần hiểu rõ lòng dân, trải qua hơn 40 loại sự kiện thử thách.\n\n[b][size=20][color=#F2D896]Đệ tử:[/size][/color][/b]\nĐệ tử ngoại môn đông nhưng chưa có ích? Đưa nhiều đệ tử ngoại môn đến điểm đại lý, đưa ra mưu kế, nâng cao năng lực tổng thể. Mỗi điểm đại lý có thể có tối đa 30 đệ tử.\n\n[b][size=20][color=#F2D896]Thảm họa:[/size][/color][/b]\nThời gian trôi qua, thế sự vô thường. Điểm đại lý định kỳ xảy ra thảm họa, cần các loại vật tư cứu trợ. Nếu bỏ mặc, có thể dân chúng lầm than. Cùng các môn phái khác giúp người phàm ngăn chặn thảm họa, hoặc đổ thêm dầu vào lửa.\n\n[b][size=20][color=#F2D896]Kỳ quan:[/size][/color][/b]\nChủ điện xây dựng đến cấp cao, có thể xây dựng kỳ quan phàm gian tại địa điểm này. Kỳ quan phàm gian hiệu quả mạnh mẽ, nhưng một điểm đại lý chỉ có thể xây một cái, các địa điểm khác nhau có thể xây kỳ quan cũng không giống nhau.\n\n[b][size=20][color=#F2D896]Tiếp quản:[/size][/color][/b]\nMuốn trở thành đại lý duy nhất của điểm đại lý? Phải trải qua thử thách dài hạn của người phàm. Sau khi có chủ điện cấp cao, có thể áp dụng chính sách tiếp quản, trong thời gian này sẽ liên tục xảy ra sự kiện, phải chọn biện pháp lợi dân. Nếu giữa chừng sai lầm, sẽ mất hết công sức trước đó. Nếu thành công, sẽ thấm sâu vào lòng dân, các đại lý khác sẽ lần lượt rút lui.	Mở rộng môn phái
9	[b][align=center][color=#ffe5a1][size=22]Cách chơi mới -- Tương tác môn phái[/size][/color][/align][/b][b][size=20][color=#F2D896]Mở khóa thám hiểm thế giới:[/size][/color][/b]\nHiện tại hầu hết các khu vực trên thế giới đều có thể vào để thám hiểm, những Bảo vật ẩn giấu và những rủi ro tiềm ẩn đang chờ đợi Tu hành giả khám phá.\n\n[b][size=20][color=#F2D896]Mở khóa Chinh Phạt Thiên Hạ:[/size][/color][/b]\nMỗi môn phái đều có Sơn môn riêng. Vô số Bảo vật, Trận đồ thượng cổ, Bí bảo thất truyền, Công trình tuyệt mỹ, tất cả đều tụ hội ở đây.\nNhưng hãy cẩn trọng, mỗi môn phái đều có tích lũy hàng ngàn năm, có Đại năng tọa trấn, họ sẽ Kết trận đối địch để bảo vệ môn phái của mình.\nTấn công vào Sơn môn của địch, phá vỡ Đại Trận hộ sơn, khuất phục đối phương, đây sẽ là một thử thách chưa từng có.\n\n[b][size=20][color=#F2D896]Giao dịch môn phái:[/size][/color][/b]\nHiện nay các môn phái lớn đã mở bán các Bảo vật của mình ra bên ngoài. Giao hảo với họ để có quyền mua nhiều Vật phẩm quý hiếm hơn, thậm chí có thể Thuê cao thủ của họ đến Trợ giúp đối địch.\nTrong Giao dịch môn phái, những Bảo vật hàng đầu vô cùng quý giá, nếu không có Quan hệ con người thì sẽ không dễ gì mua được.\n\n[b][size=20][color=#F2D896]Quan hệ con người:[/size][/color][/b]\nKhông phải Vật phẩm nào cũng có thể trực tiếp Giao dịch bằng Linh thạch. Nếu môn phái thiếu chúng ta Quan hệ con người, thì có thể lấy lý do ấy để Giao dịch Bảo vật hàng đầu. Có thể kiếm Quan hệ con người thông qua Tặng Vật yêu thích, hoặc Trợ giúp họ hoàn thành Nhiệm vụ.\n\n[b][size=20][color=#F2D896]Nhiệm vụ môn phái:[/size][/color][/b]\nTrong quá trình phát triển hoặc xung đột, các môn phái phát sinh nhiều sự kiện khác nhau, sẽ phát hành Nhiệm vụ lên toàn thiên hạ dựa theo nhu cầu của từng môn phái. Đáp ứng được sẽ kiếm được Quan hệ con người và Thân thiện.\nThêm hơn 40 loại Nhiệm vụ môn phái mới.\n\n[b][size=20][color=#F2D896]Chưởng môn:[/size][/color][/b]\nMỗi môn phái đều có Chưởng môn. Chưởng môn có một số Vật yêu thích, nếu có thể Đầu kỳ sở hảo thì chắc chắn sẽ kiếm được Quan hệ con người.\n\n[b][size=20][color=#F2D896]Quyền hạn đi lại:[/size][/color][/b]\nMôn phái đã Thiết lập Quyền hạn cho Khu vực quản lý của mình, phải có quyền thông hành mới có thể tự do ra vào. Nếu không sẽ bị Tấn công và Trục xuất.\n\n[b][size=20][color=#F2D896]Thuê pháp bảo:[/size][/color][/b]\nMôn phái cung cấp dịch vụ Thuê pháp bảo, các môn phái khác nhau sẽ có loại Pháp bảo và Hiệu quả đặc biệt khác nhau, hãy tự chọn theo nhu cầu. Mỗi lần chỉ có thể Thuê một Pháp bảo, nếu làm hỏng trong thời gian thuê sẽ mất Quan hệ con người và Thân thiện.\n\n[b][size=20][color=#F2D896]Trợ giúp:[/size][/color][/b]\nKhi nguy cấp, có thể tìm đến các môn phái Thân thiện để Trợ giúp, để Đệ tử của họ đến trấn thủ trong một thời gian. Nếu người đến cứu không may tử vong, sẽ mất Quan hệ con người và Thân thiện。	Tương tác môn phái.
