ID	Title	Hobby
1	Điều đáng tiếc	[NAME] từng trong một lần tỷ thí đã vô tình giết chết bạn bè, điều này khiến [IT] thường xuyên hối hận không nguôi.
2	Điều đáng tiếc	[NAME] từng hẹn hò với người mình yêu đi chơi, nhưng lại bị kẻ thù tìm đến. Trong cuộc chiến, người yêu đã chết dưới tay kẻ thù, đây là nỗi đau không thể xóa nhòa trong lòng [NAME].
3	Điều đáng tiếc	[NAME] trong một lần đấu pháp, do trúng phải ảo thuật của kẻ thù mà đã giết chết hàng chục đồng môn. Sự việc này trở thành cơn ác mộng không thể xóa nhòa trong tâm trí [NAME].
4	Điều đáng tiếc	[NAME] trong một cuộc phiêu lưu với bạn bè, vì gặp phải [LIKEITEM] mà mình yêu thích nhất, đã bị lòng tham che mờ lý trí, đánh bạn bè bị thương nặng, và vì vậy đã cắt đứt tình bạn. Sau này [NAME] cũng rất hối hận về chuyện này, nhưng tiếc là quá khứ không thể quay lại.
5	Điều đáng tiếc	[NAME] từng rất thích [HATEITEM], nhưng trong một lần khám phá tiên phủ, vì tham lam [HATEITEM] mà đã lỡ bước vào cạm bẫy, khiến người bạn thân nhất mất mạng để cứu [IT]. Sự việc này trở thành tiếc nuối vĩnh viễn của [NAME].
6	Điều đáng tiếc	[NAME] từng rất thích [HATEITEM], nhưng trong một lần đấu pháp, vì [HATEITEM] mà phân tâm, dẫn đến người yêu của mình chết dưới tay kẻ thù. [NAME] vì vậy mà mang nỗi tiếc nuối suốt đời.
7	Vết thương trong lòng	[NAME] có một lần vì [LIKEITEM] mà bỏ lỡ cơ hội kết đan, trì hoãn việc tu luyện. Sự việc này trở thành trò cười cho đồng môn, cũng là vết thương trong lòng [NAME].
8	Vết thương trong lòng	[NAME] từng tu luyện trong một tiểu môn phái, trong một buổi họp mặt với đồng môn, bị liên tục trêu chọc bằng [HATEITEM] mà mình ghét nhất. [NAME] không thể chịu đựng nổi, nổi điên lên, ra tay giết chết tất cả đồng môn, và vì vậy đã bỏ trốn một thời gian dài, cuối cùng mới gia nhập môn phái hiện tại. Sự việc này là bóng ma trong cuộc đời của [NAME], khó mà buông bỏ.
9	Vết thương trong lòng	[NAME] từng có tình cảm với một đạo hữu, nhưng vào ngày sinh nhật của đạo hữu, [NAME] lại vì [LIKEITEM] mà bỏ rơi người ấy, và sau đó đã mất đi mối duyên này. Sự việc này trở thành vết sẹo mãi mãi trong lòng [NAME].
10	Vết thương trong lòng	[NAME] luôn tự hào về những [LIKEITEM] mà mình sưu tầm, nhưng có hai đồng môn luôn chế nhạo. [NAME] không thể chịu đựng nổi, đã dụ hai người lẻ loi và giết họ. Sự việc này cũng trở thành điều cấm kỵ trong lòng [NAME].
11	Vết thương trong lòng	[NAME] từng rất thích [LIKEITEM], nhưng luôn bị các đồng môn chế nhạo, nói rằng [IT] không có nhiều tài năng, mà lại thích những thứ cao cấp, thật sự là ếch ngồi đáy giếng muốn ăn thịt thiên nga. [NAME] không thể chịu đựng nổi, cuối cùng đã bỏ trốn khỏi môn phái trước đây. Sự việc này cũng trở thành điều cấm kỵ trong lòng [IT].
12	Vết thương trong lòng	[NAME] từng có tình cảm với một đạo hữu, nhưng khi người ấy biết [NAME] thích [LIKEITEM], đã quyết định từ bỏ [IT]. [NAME] rất khó hiểu về điều này, và sự việc này cũng trở thành vết sẹo mãi mãi trong lòng [IT].
13	Ý niệm kiên định	[NAME] đặc biệt trân trọng và quý mến những người thân trong kiếp này, mặc dù họ không thể vào tiên môn, nhưng [IT] đã âm thầm bảo vệ cuộc sống hạnh phúc và bình an của họ. Người thân của [IT] là nỗi niềm trong lòng [IT].
14	Ý niệm kiên định	[NAME] đặc biệt say mê [LIKEITEM], [IT] đã dùng cả cuộc đời để sưu tầm nhiều [LIKEITEM], coi như bảo vật. Những báu vật này là nỗi niềm trong lòng [IT].
15	Ý niệm kiên định	[NAME] đặc biệt say mê môn phái, trong lòng [IT] môn phái cao hơn tất cả, môn phái chính là nỗi niềm lớn nhất trong lòng [IT].
16	Ý niệm kiên định	[NAME] đặc biệt say mê những đệ tử xuất sắc, trong mắt [IT], thanh niên tài năng mới là hy vọng thực sự của môn phái, những đệ tử xuất sắc trong môn phái là nỗi niềm lớn nhất trong lòng [IT].
17	Ý niệm kiên định	[NAME] đặc biệt say mê thân thể trẻ trung, trong mắt [IT], tu luyện chính là để có được tuổi thọ lâu dài và thân thể trẻ trung, đây là nỗi niềm lớn nhất trong lòng [IT].
18	Ý niệm kiên định	[NAME] đặc biệt say mê vẻ đẹp của bản thân, trong mắt [IT], vẻ đẹp của bản thân là vô song, không ai có thể sánh kịp, đây là nỗi niềm lớn nhất trong lòng [IT].
10001	Ý niệm kiên định	[NAME] muốn dùng đại thần thông khai phá một thế giới giang hồ thực sự, chưa từng có. Trong tưởng tượng của anh ấy, thế giới này chúng sinh có cuộc đời của riêng mình, vạn vật có quy luật của riêng mình, hiệp giả vì thiên hạ, lãng tử tiêu diêu tung hoành... [NAME] vốn đã gần như tu thành chính quả, nhưng để hoàn thành mục tiêu của mình một cách hoàn mỹ hơn, anh ấy không tiếc bước lên con đường tái tạo trọng tu. Trong quá trình trọng tu, [NAME] đã gặp phải đủ loại nghi ngờ, còn bị ngoại ma đạo pháp, vô số kiếp nạn. Nhưng dù giờ đây trọng tu hóa thành Phàm nhân chi thể, chí hướng trong lòng anh ấy chưa từng suy giảm, niềm tin không diệt, thân thể vô địch!


