Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
S_Carry_Discuss	0	Ta nói với Ngươi, [TNAME] luôn mang theo một [TXT].	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_Carry_Ask	0	Ngươi có biết trên người [TNAME] có những gì không?	Ta biết làm sao?	Biết rồi, [TIT] dẫn [TXT] đi khắp nơi.	ta không muốn nói cho ngươi biết.		
S_Esoterica_Discuss	0	Ngươi có biết không? [TNAME] đặc biệt giỏi [TXT]!	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_Esoterica_Ask	0	Ngươi có biết [TNAME] giỏi cái gì không?	Ta biết làm sao?	Biết rồi, [TIT] giỏi [TXT].	ta không muốn nói cho ngươi biết.		
S_Feature_Discuss	0	Ta nói với Ngươi, [TNAME] là một người [TXT].	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_Feature_Ask	0	Ngươi có biết [TNAME] là người như thế nào không?	Ta biết làm sao?	Biết rồi, ta biết tính cách của [TITS], [TIT] là người [TXT].	ta không muốn nói cho ngươi biết.		
S_HateItem_Discuss	0	Ta nói với Ngươi, [TNAME] không thích [TXT].	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_HateItem_Ask	0	Ngươi có biết [TNAME] có những thứ gì không thích không?	Ta biết làm sao?	Biết rồi, [TIT] ghét nhất [TXT]. Thậm chí chỉ cần thấy cũng sẽ nổi giận.	ta không muốn nói cho ngươi biết.		
S_Hobby_Discuss	0	Ta nói với Ngươi, [TNAME] có một [TXT]. Như vậy đó…	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_Hobby_Ask	0	Ngươi có biết khi ở cùng [TNAME] cần chú ý điều gì đặc biệt không?	Ta biết làm sao?	[TIT] có một [TXT], như vậy đó. Khi ở bên cạnh anh ấy nhất định phải chú ý điều này.	ta không muốn nói cho ngươi biết.		
S_LikeItem_Discuss	0	Ta nói với Ngươi, [TNAME] đặc biệt thích [TXT].	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_LikeItem_Ask	0	Ngươi có biết [TNAME] có những thứ gì thích không?	Ta biết làm sao?	Biết rồi, [TIT] rất thích [TXT], thường xuyên vì [TXT] mà ăn ngủ không yên.	ta không muốn nói cho ngươi biết.		
S_Secret_Discuss	0	Ta nói với Ngươi, [TNAME] biết [TXT].	Ta không quan tâm đến điều này.	Đúng dịp, ta cũng biết!	À, thật sao? ngươi biết điều này à?		
S_Secret_Ask	0	Ngươi nói [TNAME] biết điều gì?	Ta biết làm sao?	Về [TXT], [TIT] chắc chắn biết một chút gì đó.	ta không muốn nói cho ngươi biết.		
