ID	Secret	Title	Type	Source	Txt	RelationEvidence	RelationMotivation	BeiZhu

1	1	Hình bóng bí ẩn	0	Tê Hà Động Thiên Trường Lão·Cam Minh	Theo lời của trưởng lão Cam Minh ở Tê Hà động thiên, [desc_daytime=-20], các đệ tử của Bách Man Sơn hành động đột ngột trở nên khiêm tốn, được cho là đang âm thầm lên kế hoạch cướp đoạt một bảo vật từ một môn phái nào đó. Thời gian đó chính là khoảng thời gian trước và sau khi Thái Nhất Môn bị tiêu diệt, nếu sự việc này là thật, có lẽ đây chính là động cơ để Bách Man Sơn tham gia vào sự kiện này.	5		
2	1	Hình bóng bí ẩn	1	Tê Hà Động Thiên Trường Lão·Nguyệt Thanh Sầu	Theo lời trưởng lão Nguyệt Thanh Sầu ở Tê Hà động thiên, [desc_daytime=-20] đi ra nước ngoài làm việc, thấy Hỏa Quang của Nguyệt Luân Sơn bốc lên cao, đã đến xem xét, nhưng phát hiện xung quanh đã được bố trí trận Đoạt Long, không thể lại gần, chỉ từ xa thấy trong trận có ánh vàng rực rỡ. Đó chính là thuật Bách Độc Kim Thiền độc quyền của Bách Man Sơn. Nếu có bằng chứng chứng minh lời của ông không phải là giả, thì sự kiện tiêu diệt môn phái chắc chắn có sự tham gia của Bách Man Sơn.	3|4	1	
3	1	Hình bóng bí ẩn	2	Tê Hà Động Thiên Đệ Tử·Lâm Tư Nguyên	Theo lời đệ tử Linh Tư Nguyên ở Tê Hà động thiên, [desc_daytime=-20], anh ta đã tìm thấy một tiên phủ cổ đại ở nước ngoài, tiếc rằng trong đó có cấm chế rất mạnh, nếu không có trưởng lão Nguyệt Thanh Sầu đến tiếp dẫn, anh ta đã suýt mất mạng. Thời gian đó, vừa đúng là khoảng thời gian trước và sau khi Thái Nhất Môn bị tiêu diệt, từ đó có thể thấy, trưởng lão Nguyệt Thanh Sầu thực sự chỉ là tình cờ đi qua và không phải là kẻ ác.			
4	1	Hình bóng bí ẩn	2	Tê Hà Động Thiên Trường Lão·Ninh Tiêu	Theo lời trưởng lão Ninh Tiêu ở Tê Hà động thiên, trưởng lão Nguyệt Thanh Sầu và Bách Man Sơn có thù hằn, đã đấu tranh với Bách Man Sơn không biết bao nhiêu lần trong suốt một trăm năm, không thể làm gì nhau. Do đó, ông rất quen thuộc với pháp môn của Bách Man Sơn. Nhìn từ đó, trưởng lão Nguyệt Thanh Sầu chắc chắn sẽ không nhận nhầm, đệ tử Bách Man Sơn thực sự đã tham gia vào việc tiêu diệt môn phái.			
5	1	Hình bóng bí ẩn	2	Bách Man Sơn Đệ Tử·Ba Hàn	Theo lời đệ tử Ba Hàn của Bách Man Sơn, [desc_daytime=-20], không biết vì lý do gì mà các trưởng lão trong môn phái đã tập trung ra ngoài, khi trở về thì đi thẳng đến kho báu, dường như có thu hoạch lớn. Nhìn từ đó, có vẻ như Bách Man Sơn đã cử những tinh nhuệ để tiêu diệt Thái Nhất Môn vì một bảo vật nào đó là điều có thể tin được.			
6	2	Bí ẩn diệt môn	0	Bách Man Sơn Đại Năng·Tất Điêu Chuyết	Theo lời đại năng Thất Man Sơn Tất Điêu Chuyết nói, [desc_daytime=-20], Bách Man Sơn đã giành được một bảo vật cổ đại tên là "Khô Năng Giới". Nếu đệ tử Bách Man Sơn sử dụng bảo vật này, có thể khai phá một không gian nhỏ bên mình, rất thích hợp để nuôi dưỡng Bách Độc Kim Thiền, phản hồi tà thuật, tu vi có thể tăng lên gấp bội.			Bách Man
7	2	Bí ẩn diệt môn	0	Thất Sát Ma Cung Đại Năng·Xích Đan Thu	Theo lời đại năng Chí Đan Thu của Thất Man Sơn, nàng thậm chí rất tự hào khi đề cập đến việc [desc_daytime=-20] đã thiết kế tiêu diệt một môn phái, trong lời nói thậm chí còn mang theo một loại thù hận sâu sắc, rất hài lòng với việc tiêu diệt môn phái đó. Thời gian đó chính là khoảng thời gian trước và sau khi Thái Nhất Môn bị tiêu diệt, điều này có thể nói là một sự trùng hợp nào đó sao?			Thất Sát
8	2	Bí ẩn diệt môn	0	Hợp Hoan Phái Đại Năng·Thanh Vũ Lan	Khi trò chuyện với đại năng Thanh Vân của Hợp Hoan Phái về [desc_daytime=-20] việc một môn phái ở Đông Nam bị tiêu diệt, người này thậm chí còn thể hiện mình rất hiểu biết về sự việc này, trong lời nói còn thể hiện cảm giác rất hài lòng, dường như có một loại thù hận sâu sắc đối với sự việc đó. Khiến người ta cảm thấy sự việc không đơn giản.			Hợp Hoan
9	2	Bí ẩn diệt môn	0	Thất Thiên Ổ Đại Năng·Chung Ly Đức	Khi trò chuyện với đại năng Chung Ly Đức của Thất Thiên Đình về [desc_daytime=-20] việc một môn phái ở Đông Nam bị tiêu diệt, người này thậm chí đã thoáng hiện ra một loại sợ hãi và thù hận, sau đó lại giả vờ không quan tâm mà nói những lời như môn phái nhỏ đó nên bị diệt, rất đáng nghi ngờ.			Thất Thiên
10	2	Bí ẩn diệt môn	0	Tử Tiêu Tông Đại Năng·Thân Đồ Tức	Khi trò chuyện với đại năng Thần Tử của Tử Thiên Tông về [desc_daytime=-20] việc một môn phái ở Đông Nam bị tiêu diệt, người này thậm chí tỏ ra rất kín đáo, thậm chí còn bộc lộ một loại sợ hãi và e dè không rõ nguyên do, trông rất không bình thường.			Tử Tiêu
11	2	Bí ẩn diệt môn	0	Huyền Nhất Đạo Đại Năng·Lý Tôn Bác	Khi trò chuyện với đại năng Li Tôn Bác của Huyền Nhất Đạo về [desc_daytime=-20] việc một môn phái ở Đông Nam bị tiêu diệt, anh ta hơi ngẩn ra và nói rằng không biết gì. Tuy nhiên, trong khoảnh khắc đó, dường như bộc lộ một loại sợ hãi và e dè không rõ nguyên do, trông rất không bình thường.			Chính Nhất
12	2	Bí ẩn diệt môn	0	Côn Lôn Cung Đại Năng·Quý Kiếp	Khi trò chuyện với đại năng Khuynh Vân của Khôn Lôn Cung về [desc_daytime=-20] việc một môn phái ở Đông Nam bị tiêu diệt, nàng không hề che giấu quan điểm của mình, nhưng cũng không nói rõ, chỉ là trong lời nói của cô dường như có cảm giác thở phào nhẹ nhõm, thậm chí còn mơ hồ có một loại sợ hãi và e dè không rõ nguyên do, trông rất không bình thường.			Côn Lôn
13	2	Bí ẩn diệt môn	0	Đan Hà Động Thiên Đại Năng·Tô Băng Loan	Khi trò chuyện với đại năng Tô Băng Luân của Đan Hỏa Tông về [desc_daytime=-20] việc một môn phái ở Đông Nam bị tiêu diệt, nàng không hề che giấu tên của Thái Nhất Môn, và từ đó bày tỏ sự lo ngại về tình trạng hỗn loạn hiện nay của giới tu luyện. Tuy nhiên, trong lời nói của cô, dường như thể hiện một cảm giác lo lắng, trông rất không bình thường.			Đan Hà
14	2	Bí ẩn diệt môn	1		Bách Man Sơn không còn nghi ngờ gì nữa là một trong những người tham gia chính trong việc tiêu diệt môn phái. Nhưng Thái Nhất Môn chỉ là một môn phái nhỏ không có tên tuổi trong giới tu luyện Đông Nam, trong môn phái có bảo vật gì mà khiến Bách Man Sơn, một đại phái ma đạo, không tiếc tinh nhuệ để tiêu diệt và cướp đoạt?		6	Bách Man
15	2	Bí ẩn diệt môn	1	Bách Man Sơn Đại Năng·Bạch Chỉ	Theo lời đại năng Bạch Chỉ của Bách Man Sơn, [desc_daytime=-20], trưởng lão Thất Man Sơn đến thăm, mọi người đang thảo luận về những câu chuyện cổ xưa, trưởng lão đó đã đề cập đến một loại bảo vật cổ đại tên là "Khô Năng Giới" và những công dụng kỳ diệu của nó. Khi các trưởng lão Bách Man Sơn nghe thấy, họ lập tức biết rằng vật này có thể khiến pháp môn Bách Độc Kim Thiền của Bách Man Sơn xảy ra biến chất, thực sự là một sự kết hợp hoàn hảo.	22	7	Thất Sát
