ID	Flag	Desc	Txt	Pic	Link	Voice

1	1	Lần đầu tiên chọn nhân vật	Trên bảng nhân vật hiển thị các trạng thái cơ bản như [color=#D06508]Độ đói[/color], [color=#D06508]Giá trị cảm xúc[/color], v.v. Người chơi cũng có thể sử dụng [color=#D06508]nút tương tác[/color] trên bảng nhân vật để đưa ra mệnh lệnh trực tiếp cho nhân vật.	ui\Help2\001	21	m1
2	1	Lần đầu tiên nhấp vào lệnh thu thập tài nguyên ở phía dưới màn hình.	Người chơi có thể ra lệnh thu thập tài nguyên ở phía dưới màn hình: [color=#D06508]Nhấp chuột[/color] để ra lệnh cho một mục tiêu tài nguyên cụ thể. [color=#D06508]Kéo chuột[/color] để ra lệnh hàng loạt trên phạm vi rộng hơn.	ui\Help2\002	33	m2
3	1	Lần đầu tiên nhấp vào khám phá ở phía dưới màn hình.	Người chơi có thể sử dụng lệnh khám phá để đánh dấu một điểm trong vùng sương mù, nhân vật chịu trách nhiệm [color=#D06508]săn bắn[/color] sẽ tìm cách tiến đến điểm mục tiêu. Lưu ý rằng, khám phá tiêu hao [color=#D06508]năng lượng[/color] gấp đôi và chỉ có thể hồi phục thông qua giấc ngủ.	ui\Help2\003		m3
4	1	Lần đầu tiên chọn thực vật/vật phẩm/khoáng sản v.v.	Khi chọn một vật phẩm, người chơi có thể sử dụng các nút tương tác trên bảng vật phẩm để đưa ra lệnh liên quan. Khi di chuột lên vật phẩm, người chơi có thể xem thông tin chi tiết về nó.	ui\Help2\004		m4
5	1	Lần đầu tiên mở bảng công việc	Trong bảng công việc, người chơi có thể sắp xếp nhiệm vụ cho ngoại môn đệ tử. Mức độ ưu tiên công việc giảm dần [color=#D06508]từ trái sang phải[/color], nhưng có thể điều chỉnh bằng [color=#D06508]ưu tiên đặc biệt[/color] để thay đổi mức ưu tiên của một nhân vật. Nội môn đệ tử không bị ràng buộc bởi bảng công việc.	ui\Help2\005	31	m5
6	1	Lần đầu tiên mở bảng phái	Khi một nhân vật thành công trúc cơ và trở thành nội môn đệ tử, người chơi có thể thành lập môn phái trong bảng môn phái. Tại đây, có thể quản lý môn phái, kiểm tra thông tin môn phái và thiết lập chế độ ăn uống tự động.	ui\Help2\006	611	m6
7	1	Lần đầu tiên mở bảng thiên hạ	Sau khi lập môn phái, người chơi có thể cử nội môn đệ tử ra ngoài lịch luyện. Trong quá trình lịch luyện, nhân vật có thể gặp các kỳ ngộ, nâng cao bản thân, tạo danh tiếng và thu thập tài nguyên quý giá.	ui\Help2\007	610	m7
8	1	Lần đầu tiên nhấp vào nút xây dựng	Trong bảng xây dựng, người chơi có thể xem các công trình có thể xây và ra lệnh xây dựng. Khi tiến xa hơn trong trò chơi, nhiều công trình mới sẽ được mở khóa. Lưu ý rằng một số công trình yêu cầu [color=#D06508]điểm công việc[/color], cần chừa không gian khi đặt công trình.	ui\Help2\008	41	m8
9	1	Lần đầu tiên xây dựng đài quan sát	Bạn đã xây dựng Đài Quan Tinh, giờ có thể xem phong thủy qua Thái Cực Bàn ở góc trên bên trái. Phong thủy ảnh hưởng gián tiếp đến nhiều khía cạnh của trò chơi, là yếu tố quan trọng trong việc xây dựng môn phái.	ui\Help2\009	51	m9
10	1	Lần đầu tiên xây dựng bàn pháp bảo	Bạn đã xây dựng Đài Luyện Bảo. Giờ có thể dùng nút luyện bảo trên bảng nhân vật nội môn đệ tử để luyện chế pháp bảo. Mọi vật phẩm đều có thể dùng để luyện bảo, mỗi vật phẩm có đặc tính riêng, ảnh hưởng đến thuộc tính của pháp bảo sau khi luyện chế.	ui\Help2\010	68	m10
11	1	Lần đầu tiên xây dựng lò luyện đan	Bạn đã xây dựng Đan Lô. Giờ có thể dùng nút luyện đan trên bảng nhân vật nội môn đệ tử để luyện chế đan dược. Khi tiến xa hơn trong trò chơi, người chơi sẽ nhận được đan phương mới. Nhân vật chỉ cần nghiên cứu đan phương là có thể mở khóa công thức luyện đan mới.	ui\Help2\011	68	m11
12	1	Lần đầu tiên mở giao diện vẽ bùa	Phù chú có công hiệu mạnh mẽ. Người chơi có thể trang bị phù chú vẽ sẵn lên nhân vật để điều chỉnh thuộc tính. Khi tiến xa hơn trong trò chơi, người chơi có thể nhận được phù đồ mới. Nhân vật chỉ cần nghiên cứu phù đồ là có thể mở khóa cách vẽ phù chú mới.	ui\Help2\012	68	m12
13	1	Lần đầu tiên mở bảng tâm trạng và xã hội	Bạn đã mở bảng cảm xúc nhân vật. Tại đây, có thể xem cảm xúc hiện tại của nhân vật, phản ánh nhu cầu của họ. Để duy trì môn phái hoạt động trơn tru, hãy theo dõi cảm xúc nhân vật và đáp ứng nhu cầu của họ.	ui\Help2\013	23	m13
14	1	Lần đầu tiên mở bảng sức khỏe	Bạn đã mở bảng sức khỏe nhân vật. Tại đây, có thể xem tình trạng sức khỏe, vết thương và quá trình hồi phục của nhân vật. Để môn phái vận hành tốt, hãy theo dõi sức khỏe của nhân vật và giúp họ hồi phục nhanh chóng.	ui\Help2\014	25	m14
15	1	Lần đầu tiên mở bảng tu luyện	Bạn đã mở bảng tu luyện nhân vật. Tại đây, có thể xem dữ liệu và trạng thái tu luyện của nhân vật. Khi cảnh giới tăng cao, nội dung trong bảng tu luyện cũng thay đổi. Bảng này chỉ mở khi nhận được phương pháp tu luyện.	ui\Help2\016	62	m15
16	1	Lần đầu tiên khoanh vùng khu trồng	Bạn đã quy hoạch một khu nông trại. Chọn nông trại để chỉ định loại cây trồng. Mỗi loại cây có yêu cầu khác nhau về độ phì nhiêu của đất, nhiệt độ, ánh sáng, v.v. Hãy theo dõi nhu cầu của cây và điều chỉnh môi trường phù hợp.	ui\Help2\019	36	m16
17	1	Lần đầu tiên khoanh vùng khu lưu trữ	Bạn đã quy hoạch một kho chứa. Nhân vật sẽ vận chuyển vật phẩm vào kho để lưu trữ. Người chơi có thể thiết lập [color=#D06508]quy tắc lọc[/color] để phân loại vật phẩm trong kho.	ui\Help2\021	36	m17
18	1	Lần đầu tiên xây dựng công trình sản xuất (bàn chế thuốc v.v.)	Bạn đã xây dựng một công trình sản xuất. Mở danh sách sản xuất để ra lệnh chế tạo. Người chơi có thể [color=#D06508]ưu tiên[/color] hoặc đặt chế tạo theo [color=#D06508]chu trình lặp[/color] trong hàng đợi sản xuất.	ui\Help2\022	34	m18
