ItemName	Descript
Item_Dan_IncreaseLife3	Chai, kéo dài tuổi thọ, màu vàng nhạt
Item_Dan_IncreaseLife4	Bình hồ lô, kéo dài tuổi thọ, màu xanh dương
Item_Dan_Ling2	Màu tím, hình cầu, căn bản
Item_Dan_IncreaseLife5	Màu xanh dương, hình cầu, thiên kiếp
Item_Dan_IncreaseNeckCountdown1	Hồ lô, màu đỏ, thiên kiếp
Item_ParasolWood	Gỗ, cứng, linh vật
Item_Dan_PracticeSpeed	Lửa, tốc độ, chai
Item_Dan_Defense	Bảo vệ, hình cầu, màu cam
Item_CopperBlock1	Hình vuông, lửa, linh vật
Item_Dan_CureHuoDamage	Hình cầu, trị thương, màu tím
Item_Dan_CureTuDamage	Hình cầu, trị thương, màu cam
Item_Dan_CureShuiDamage	Bột, nước, màu xanh dương
Item_Dan_CureMuDamage	Hình cầu, màu xanh, trị thương
Item_Dan_CureFiveElementDamage	Chai, trị thương, đất
Item_EarthEssence_1	Bình hồ lô, màu xanh dương, trị thương
Item_Dan_FiveBaseFromLife	Hình cầu, màu tím, rút ngắn tuổi thọ
Item_Dan_DredgeQi	Chai, trị thương, đất
Item_RedGinseng	Rễ, màu đỏ, căn bản
Item_LingWood	Gỗ, màu xanh dương, linh vật
Item_HardWood	Gỗ, màu vàng
Item_Dan_PracticeRate	Hạt nhỏ, vàng, cổ chai
Item_Dan_IncreaseLife1	Kéo dài tuổi thọ, bình hồ lô, gỗ
Item_Dan_IncreaseLife2	Kéo dài tuổi thọ, bột, nước
Item_BasePracticeDrug	Năm chiều, chai, nước
Item_LingMuXueJie	Tinh nguyên, bột, màu xanh dương
Item_Dan_CalmDown	Tâm cảnh, hạt nhỏ, màu xanh dương
Item_Dan_Happiness	Màu nâu, tâm cảnh, hạt nhỏ
Item_Dan_FiveBase2	Năm chiều, đất, chai
Item_Dan_FiveBase1	Năm chiều, chai, màu vàng
Item_Dan_FiveBase3	Lửa, năm chiều, chai
Item_Dan_FiveBase4	Gỗ, năm chiều, chai
Item_Dan_FiveBase5	Nước, năm chiều, chai
Item_Dan_IncreaseNeckCountdown2	Bột, thiên kiếp, vàng
Item_Dan_CureJinDamage	Hộp, màu trắng, trị thương
Item_ShuiEssence	Màu trắng, hình tròn, linh vật
Item_HuoEssence	Lửa, hình cầu, linh vật
Item_JinEssence	Màu nâu, hình cầu, linh vật
Item_MuEssence	Màu nâu, linh vật, gỗ
Item_TuEssence	Màu nâu, đất, linh vật
Item_LifeStream	Chất lỏng, kéo dài tuổi thọ, không màu
Item_EarthEssence	Chất lỏng, không màu, căn bản
Item_SkyStone	Đá, linh vật, đất
Item_StarEssence	Linh vật, đá, vàng
Item_SoulPearl	Linh vật, nước, hình cầu
Item_EarthEssence1	Căn bản, chất lỏng, màu đỏ
Item_Dan_LongDan1	Màu xanh dương, hình cầu, nước
Item_Dan_FengDan1	Màu đỏ, hình cầu, lửa
Item_YanDaoGuo	Đạo hành, gỗ, màu tím
Item_QieDaoGuo	Thiên khiển, gỗ, màu xanh dương
Item_Dan_TreeEXP	Hình cầu, không màu, ngộ đạo
Item_Dan_ExtremeLofty	Bình hồ lô, màu vàng, trị thương
Item_ExtremeJade	Cứng, màu xanh dương, linh vật
Item_XianDaoShenNian	Hình cầu, tiềm năng, màu xanh lá
Item_XianDaoXieNian	Hình cầu, tiềm năng, màu tím
Item_Dan_HundredRefine	Màu vàng, hình cầu, tu luyện
Item_Dan_ZhuLongDan1	Phân thần, màu sắc, hình cầu
