ID	IsHide	Desc	Sex	LastName	FristName	Age	BodyType	Hair	Beard	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Experience1	Experience2	Experience3	Feature3	Relation1	ClothesStuff	Experience4

-1	2	Reincarnator who had lost their identity. No one knows who they are or where are they from. (Empty)	1																			
1	1		1	Tử	Phi Ngư	45	1	10	5	3	200045	200046	200027	LunHui_1	LunHui_2	Experiences6	Experiences11	Experiences13				
2	0		1	Chu	Công Tử	22	1	9		3	200043	200044	200028	LunHui_4								
3	0	Kính dâng kẻ luân hồi tưởng niệm mùa xuân năm 2017.	1	Từ	Vô Quỷ	27	1	8		3	200023	200035		LunHui_5								
4	0	Kính dâng kẻ luân hồi tưởng niệm mùa xuân năm 2017.	1	Dương	Đại	32	2	3		3	200023	200034		LunHui_2	HighMan							
5	0		1	Đậu	Đậu	27	1	2		3	23	200026										
6	0		1	Lỗ	Lỗ	26	1	7		3	200025	610										
7	0	Kính dâng kẻ luân hồi tưởng niệm mùa xuân năm 2017.	1	Hắc	Hoàng	45	2	8	2	2	200023	200024		LunHui_2								
8	0		2	Tam	Tam	18	1	5		1	200036	200037		Enthusiasm	Sensitive				Strong			
9	0		2	Nhất Ti	Bất Cẩu	18	2	2		1	200038	200039	200030									
10	0		2	Diệp	Khuynh Tâm	18	1	1		3	200040	200041										
11	0		1	Trương	Tứ Hải	34	2	8	2	1	200049	200050	200031									
12	0		1	Hàm Ngư	Khải	23	1	1		1	200047	200048	200029									
13	2		1	Phong	Chi Hải								200032									
14	0		1	Dạ	Miêu	29	1	8		1	200051	200052	200033	LunHui_14								
15	0		1	Bất	Hóa Cốt	23	1				200053	200054										
16	0		1	Thương Thủy	Cật Qua	99	1	9	3	1	200055	200056										
17	0		2	Kim	Ngư	18	1	5		1	200061	200062										
18	0		1	Kiếm	Nhập Tam	27	1	10		0	200063	200064				Experiences11						
19	0		1	Hạn	Hào	27	1	3		3	200065	200066	200067			LunHui_Experiences3						
20	0		1	Tuyết	Dực	27	1	4		3	200068	200069	200070									
