ID	Name	Desc

1	Đắc Đạo Phi Thăng	Tích lũy 1 người phi thăng
2	Phi Thăng Đạt Nhân	Tích lũy 3 người phi thăng
3	Tiên Giới Thục Khách	Tích lũy 5 người phi thăng
4	Tiên Danh Viễn Dương	Tích lũy 10 người phi thăng
5	Sơ Xuất Mao Lư	Tích lũy rèn luyện 1 lần
6	Hỗn Tích Hồng Trần	Tích lũy rèn luyện 100 lần
7	Hành Biến Thiên Sơn	Tích lũy rèn luyện 500 lần
8	Trì Sính Thiên Hạ	Tích lũy rèn luyện 1000 lần
9	Sơ Thí Luyện Đan	Tích lũy luyện đan 1 lần
10	Luyện Đan Thục Thủ	Tích lũy luyện đan 50 lần
11	Đan Môn Cao Nhân	Tích lũy luyện đan 100 lần
12	Đại Đan Sư	Tích lũy luyện đan 500 lần
13	Sơ Thí Luyện Bảo	Tích lũy luyện bảo 1 lần
14	Luyện Bảo Thục Thủ	Tích lũy luyện bảo 50 lần
15	Luyện Bảo Cao Thủ	Tích lũy luyện bảo 100 lần
16	Bảo Tôn Giả	Tích lũy luyện bảo 500 lần
17	Sơ Thí Họa Phù	Tích lũy vẽ phù 1 lần
18	Họa Phù Thục Thủ	Tích lũy vẽ phù 50 lần
19	Họa Phù Cao Thủ	Tích lũy vẽ phù 100 lần
20	Phù Thánh Thủ	Tích lũy vẽ phù 500 lần
21	Sát Niệm Sơ Sinh	Tích lũy giết 1 sinh linh
22	Sát Ý Lẫm Nhiên	Tích lũy giết 100 sinh linh
23	Sát Khí Tung Hoành	Tích lũy giết 500 sinh linh
24	Sát Thần	Tích lũy giết 1000 sinh linh
25	Tu Chân Sát Thủ	Tích lũy giết 1 tu sĩ
26	Tu Chân Khắc Tinh	Tích lũy giết 100 tu sĩ
27	Tu Chân Đồ Phu	Tích lũy giết 500 tu sĩ
28	Thí Tiên Giả	Tích lũy giết 1000 tu sĩ
29	Sơ Thí Sưu Hồn	Tích lũy tìm linh hồn 1 người
30	Sưu Hồn Thục Thủ	Tích lũy tìm linh hồn 10 người
31	Sưu Hồn Cao Nhân	Tích lũy tìm linh hồn 50 người
32	Hồn Tông	Tích lũy tìm linh hồn 100 người
33	Trù Sư	Tích lũy làm ra 10 loại món ăn
34	Đại Trù	Tích lũy làm ra 20 loại món ăn
35	Thực Thần	Tích lũy làm ra 50 loại món ăn
36	Linh Tê Nhất Thiểm	Tích lũy làm ra 1 tác phẩm nghệ thuật cấp 7
37	Linh Tư Tuyền Dũng	Tích lũy làm ra 10 tác phẩm nghệ thuật cấp 7
38	Nghệ Thuật Gia	Tích lũy làm ra 50 tác phẩm nghệ thuật cấp 7
39	Hỉ Gia Nhất	Tích lũy thuyết phục 1 người lữ hành gia nhập
40	Hỉ Gia Ngũ	Tích lũy thuyết phục 5 người lữ hành gia nhập
41	Hỉ Gia Thập	Tích lũy thuyết phục 10 người lữ hành gia nhập
42	Liễu Giải Nhất Hạ	Tích lũy thuyết phục 20 người lữ hành gia nhập
43	Sơ Học Bí Sách	Tích lũy học được 1 bí kíp qua sách
44	Bác Lãm Quần Thư	Tích lũy học được 10 bí kíp qua sách
45	Học Phú Ngũ Xa	Tích lũy học được 50 bí kíp qua sách
46	Bách Hiểu Sinh	Tích lũy học được 100 bí kíp qua sách
47	Bất Hạnh Vẫn Mệnh	Tích lũy đệ tử chết 1 người
48	Họa Bất Đan Hành	Tích lũy đệ tử chết 5 người
49	Tiên Đồ Đa Suyễn	Tích lũy đệ tử chết 10 người
50	Sinh Tử Vô Thường	Tích lũy đệ tử chết 50 người
51	Thống Thất Ái Đồ	Tích lũy nội môn đệ tử chết 1 người
52	Thống Thượng Gia Thống	Tích lũy nội môn đệ tử chết 5 người
53	Thống Triệt Tâm Phi	Tích lũy nội môn đệ tử chết 10 người
54	Tâm Toái	Tích lũy nội môn đệ tử chết 20 người
55	Ngã Tựu Thị Nhĩ	Tích lũy đoạt xác 1 người
56	Ngã Dã Thị Tha	Tích lũy đoạt xác 5 người
57	Chúng Sinh Giai Ngã	Tích lũy đoạt xác 10 người
58	Mã Giáp Vương	Tích lũy đoạt xác 20 người
59	Nhất Thuấn Bách Niên	Tích lũy nhập định 100 năm
60	Định Trung Tuế Nguyệt	Tích lũy nhập định 500 năm
61	Bất Tri Xuân Thu	Tích lũy nhập định 1000 năm
62	Di Thế Giả	Tích lũy nhập định 5000 năm
63	Nã Mệnh Lai	Tích lũy hút tuổi thọ người khác 10 năm
64	Ngã Hoàn Yếu	Tích lũy hút tuổi thọ người khác 50 năm
65	Mệnh Lý Hữu Thì	Tích lũy hút tuổi thọ người khác 500 năm
66	Minh Linh	Tích lũy hút tuổi thọ người khác 1000 năm
67	Thống Bất Dục Sinh	Tích lũy luyện hồn 1 lần
68	Ai Hào Biến Dã	Tích lũy luyện hồn 10 lần
69	Khổ Thống Chi Nguyên	Tích lũy luyện hồn 50 lần
70	Ma Nhân	Tích lũy luyện hồn 100 lần
71	Nhiếp Thần Ngự Quỷ	Tích lũy chế ngự thần quỷ 1 lần
72	Tiên Hoạt Chi Hồn	Tích lũy chế ngự thần quỷ 10 lần
73	Hồn Vi Ngô Dụng	Tích lũy chế ngự thần quỷ 50 lần
74	Hồn Đế	Tích lũy chế ngự thần quỷ 100 lần
75	Thiên Yêu Hóa Huyết	Tích lũy thiên yêu hóa huyết 1 lần
76	Sinh Tử Vô Gian	Tích lũy thiên yêu hóa huyết 10 lần
77	Âm Dương Chi Đạo	Tích lũy thiên yêu hóa huyết 50 lần
78	Tử Chi Vương	Tích lũy thiên yêu hóa huyết 100 lần
79	Câu Thông Tà Thần	Tích lũy hiến tế 1 lần
80	Tà Chi Tín Đồ	Tích lũy hiến tế 10 lần
81	Tà Chi Sử Giả	Tích lũy hiến tế 50 lần
82	Tà Tuyển Giả	Tích lũy hiến tế 100 lần
83	Vi Ngô Chi Chủng	Tích lũy hồn thể ký sinh 1 người
84	Sinh Sinh Bất Tức	Tích lũy hồn thể ký sinh 10 người
85	Biến Chủng Thiên Hạ	Tích lũy hồn thể ký sinh 50 người
86	Thiết Đạo Giả	Tích lũy hồn thể ký sinh 100 người
