Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数(SECRET为事件ID)	文本参数
Chat_Place_Snowfield1	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói ở Ngọc Tinh Đàm, có một loại cá lớn chỉ xuất hiện vào mùa đông.				
Chat_Place_Snowfield2	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói ở Ngọc Tinh Đàm, có một loại cá lớn chỉ xuất hiện vào mùa đông.				
Chat_Place_Snowfield3	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói ở Ngọc Tinh Đàm, có một loại cá lớn chỉ xuất hiện vào mùa đông.				
Chat_Place_Snowfield1	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá vây đỏ, chỉ xuất hiện vào mùa đông.				
Chat_Place_Snowfield2	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá vây đỏ, chỉ xuất hiện vào mùa đông.				
Chat_Place_Snowfield3	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá vây đỏ, chỉ xuất hiện vào mùa đông.				
Chat_Place_BirthPlace11	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói vào lúc Vĩnh Dạ sẽ có một loại cá đỏ và xanh xuất hiện.				
Chat_Place_BirthPlace12	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói vào lúc Vĩnh Dạ sẽ có một loại cá đỏ và xanh xuất hiện.				
Chat_Place_BirthPlace13	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói vào lúc Vĩnh Dạ sẽ có một loại cá đỏ và xanh xuất hiện.				
Chat_Place_BirthPlace14	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói vào lúc Vĩnh Dạ sẽ có một loại cá đỏ và xanh xuất hiện.				
Chat_Place_BirthPlace15	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói vào lúc Vĩnh Dạ sẽ có một loại cá đỏ và xanh xuất hiện.				
Chat_Place_BirthPlace16	0	Nơi đây có những loài cá đặc biệt nào?	Nghe nói vào lúc Vĩnh Dạ sẽ có một loại cá đỏ và xanh xuất hiện.				
Chat_Place_BirthPlace11	0	Nơi đây có những loài cá đặc biệt nào?	Có một loại lươn chỉ xuất hiện trong nước linh vào mùa hè.				
Chat_Place_BirthPlace12	0	Nơi đây có những loài cá đặc biệt nào?	Có một loại lươn chỉ xuất hiện trong nước linh vào mùa hè.				
Chat_Place_BirthPlace13	0	Nơi đây có những loài cá đặc biệt nào?	Có một loại lươn chỉ xuất hiện trong nước linh vào mùa hè.				
Chat_Place_BirthPlace14	0	Nơi đây có những loài cá đặc biệt nào?	Có một loại lươn chỉ xuất hiện trong nước linh vào mùa hè.				
Chat_Place_BirthPlace15	0	Nơi đây có những loài cá đặc biệt nào?	Có một loại lươn chỉ xuất hiện trong nước linh vào mùa hè.				
Chat_Place_BirthPlace16	0	Nơi đây có những loài cá đặc biệt nào?	Có một loại lươn chỉ xuất hiện trong nước linh vào mùa hè.				
Chat_Place_SouthForest1	0	Nơi đây có những loài cá đặc biệt nào?	Vào mùa xuân, gần đây có một loại lươn toàn thân đầy hoa văn tà ác xuất hiện.				
Chat_Place_SouthForest2	0	Nơi đây có những loài cá đặc biệt nào?	Vào mùa xuân, gần đây có một loại lươn toàn thân đầy hoa văn tà ác xuất hiện.				
Chat_Place_SouthForest3	0	Nơi đây có những loài cá đặc biệt nào?	Vào mùa xuân, gần đây có một loại lươn toàn thân đầy hoa văn tà ác xuất hiện.				
Chat_Place_BirthPlace11	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá màu hồng, chỉ xuất hiện vào mùa thu.				
Chat_Place_BirthPlace12	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá màu hồng, chỉ xuất hiện vào mùa thu.				
Chat_Place_BirthPlace13	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá màu hồng, chỉ xuất hiện vào mùa thu.				
Chat_Place_BirthPlace14	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá màu hồng, chỉ xuất hiện vào mùa thu.				
Chat_Place_BirthPlace15	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá màu hồng, chỉ xuất hiện vào mùa thu.				
Chat_Place_BirthPlace16	0	Nơi đây có những loài cá đặc biệt nào?	Gần đây có một loại cá màu hồng, chỉ xuất hiện vào mùa thu.				
Chat_Place_Hei	0	Nơi đây có những loài cá đặc biệt nào?	Xung quanh Hắc Sơn có một loại cá bơn đặc biệt, chỉ ăn thức ăn thuộc tính kim.				
Chat_Place_Hei1	0	Nơi đây có những loài cá đặc biệt nào?	Xung quanh Hắc Sơn có một loại cá bơn đặc biệt, chỉ ăn thức ăn thuộc tính kim.				
