ID	Name	Desc	sParam1	sParam2

20000	Giao tiếp tích cực	Theo truyền thuyết, đệ tử của {0} trong lúc du lịch gần {1} đã gặp vài đệ tử của {1}. Hai bên kết bạn đồng hành, trải nghiệm một chuyến phiêu lưu, gần đây trong giới tu luyện cũng đã gây ra một số sự kiện nổi bật, tạo dựng được danh tiếng. Quan hệ giữa hai phái cũng nhờ đó mà có chút cải thiện.		
20001	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc du lịch gần {1} đã gặp vài đệ tử của {1} để trao đổi. Trưởng lão của {0} tâm trạng tốt, đã chỉ dẫn cho đệ tử của {1}, trong đó một đệ tử đã đột phá ngay tại chỗ. Sự việc này cũng đã trở thành câu chuyện đẹp trong giới tu luyện, quan hệ giữa hai phái cũng nhờ đó mà có chút cải thiện.		
20002	Giao tiếp tích cực	Theo truyền thuyết, đệ tử của {0} trong lúc du lịch gần [PLACE] đã gặp một trưởng lão của {1} đang luyện pháp. Đệ tử của {0} đã phục vụ bên cạnh, chạy khắp nơi, khiến trưởng lão của {1} rất vui lòng. Sau khi sự việc thành công, đệ tử này đã nhận được một cơ hội lớn từ trưởng lão. Sự việc này đã trở thành một câu chuyện hay trong giới tu luyện, quan hệ giữa hai phái cũng nhờ đó mà có chút cải thiện.		
20003	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc du lịch gần [PLACE] đã tình cờ gặp một trưởng lão của {1}. Hai người gặp nhau như đã quen biết từ trước, ngồi lại ở [PLACE] để luận đạo. Khi nói đến những điều huyền diệu, cảnh tượng kỳ lạ xuất hiện trong vòng trăm dặm, chim thú trở nên linh thiêng, đây là một sự kiện lớn được truyền tụng trong giới tu luyện gần đây. Quan hệ giữa hai phái cũng nhờ đó mà có nhiều cải thiện.		
20004	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc du lịch gần [PLACE] đã tình cờ gặp một trưởng lão của {1}. Hai người kết bạn đồng hành, tham quan những nơi đẹp đẽ trong khu vực, thậm chí tình cờ phát hiện một động phủ cổ xưa của tiên nhân. Sau khi cùng nhau khám phá, cả hai bên đã thu được nhiều lợi ích. Sự việc này đã được truyền ra trong giới tu luyện và được nhiều người bàn tán, quan hệ giữa hai phái cũng nhờ đó mà có nhiều cải thiện.		
20005	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc du lịch gần [PLACE] đã vô tình cứu một đoàn xe phàm nhân đang bị quái thú tấn công. Không ngờ, trong đoàn xe này lại toàn là thân nhân của trưởng lão trong nội đường của {1}. Sau sự việc này, cả {1} đã gia tăng thiện cảm với {0}, không tiếc công sức bày tỏ lòng biết ơn, quan hệ giữa hai phái cũng nhờ đó mà có nhiều cải thiện.		
20006	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc cố gắng chế phục pháp bảo được khai thác từ [PLACE], đã tình cờ gặp một đôi bảo vật thông linh. Trong tình huống bất ngờ, {0} suýt nữa để cho pháp bảo trốn thoát. May mắn thay, một trưởng lão của {1} đi ngang qua đã giúp đỡ, cuối cùng đã thành công chế phục bảo vật này. Hai người chia đều đôi bảo vật thông linh này và trở thành bạn bè. Sự việc này cũng đã trở thành câu chuyện đẹp trong giới tu luyện, quan hệ giữa hai phái cũng nhờ đó mà có nhiều cải thiện.		
20007	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc du lịch gần [PLACE] đã tình cờ gặp một trưởng lão của {1} đang bị nhiều thú dữ vây công, rơi vào tình huống nguy hiểm. Trưởng lão của {0} đã mạo hiểm ra tay cứu giúp, cuối cùng đã tiêu diệt được yêu thú và thu được nhiều lợi ích. Hai người sau trận chiến này đã nảy sinh tình cảm, trở thành đạo lữ. Sự việc này gần đây đã được truyền tụng trong giới tu luyện, khiến mọi người bàn tán, quan hệ giữa hai phái cũng nhờ đó mà có nhiều cải thiện.		
20008	Giao tiếp tích cực	Theo truyền thuyết, trưởng lão của {0} trong lúc du lịch gần [PLACE] đã tình cờ gặp trưởng lão của {1} đang bị kẻ thù truy sát, đã gần như sắp ngã xuống. Trưởng lão của {0} đơn độc mạo hiểm, đã giết chết hàng chục kẻ thù, hộ tống đến tận cửa núi của {1}. Sự việc này gần đây đã nổi danh trong giới tu luyện, được nhiều phái bàn tán, quan hệ giữa hai phái cũng nhờ đó mà có nhiều cải thiện.		
