ID	Des	Disname

-1	模组丢失	模组丢失
1	Ký thác một số cảm Ngộ về đạo khí vào vật này.	Đại đạo chi ngộ: Thô giản
2	Ký thác nhiều cảm Ngộ hơn về đạo khí vào vật này.	Đại đạo chi ngộ: Tinh thâm
3	Ký thác một số cảm Ngộ về đạo thuật vào vật này.	Đại đạo chi ngộ: Thô giản
4	Ký thác nhiều cảm Ngộ hơn về đạo thuật vào vật này.	Đại đạo chi ngộ: Tinh thâm
5	Ký thác một số cảm Ngộ về đạo bảo vệ vào vật này.	Đại đạo chi ngộ: Thô giản
6	Ký thác nhiều cảm Ngộ hơn về đạo bảo vệ vào vật này.	Đại đạo chi ngộ: Tinh thâm
7	Ký thác một số cảm Ngộ về đạo luyện đan vào vật này.	Đại đạo chi ngộ: Thô giản
8	Ký thác nhiều cảm Ngộ hơn về đạo luyện đan vào vật này.	Đại đạo chi ngộ: Tinh thâm
9	Ký thác một số cảm Ngộ về đạo luyện khí vào vật này.	Đại đạo chi ngộ: Thô giản
10	Ký thác nhiều cảm Ngộ hơn về đạo luyện khí vào vật này.	Đại đạo chi ngộ: Tinh thâm
11	Ký thác một cuốn bí kíp đạo khí cấp nhập môn vào vật này.	Bí tịch chi ngộ: [TXT]
12	Ký thác một cuốn bí kíp đạo khí cấp nâng cao vào vật này.	Bí tịch chi ngộ: [TXT]
13	Ký thác một cuốn bí kíp đạo khí cấp tinh diệu vào vật này.	Bí tịch chi ngộ: [TXT]
14	Ký thác một cuốn bí kíp đạo khí cấp huyền diệu vào vật này.	Bí tịch chi ngộ: [TXT]
15	Ký thác một cuốn bí kíp đạo thuật cấp nhập môn vào vật này.	Bí tịch chi ngộ: [TXT]
16	Ký thác một cuốn bí kíp đạo thuật cấp nâng cao vào vật này.	Bí tịch chi ngộ: [TXT]
17	Ký thác một cuốn bí kíp đạo thuật cấp tinh diệu vào vật này.	Bí tịch chi ngộ: [TXT]
18	Ký thác một cuốn bí kíp đạo thuật cấp huyền diệu vào vật này.	Bí tịch chi ngộ: [TXT]
19	Ký thác một cuốn bí kíp đạo bảo vệ cấp nhập môn vào vật này.	Bí tịch chi ngộ: [TXT]
20	Ký thác một cuốn bí kíp đạo bảo vệ cấp nâng cao vào vật này.	Bí tịch chi ngộ: [TXT]
21	Ký thác một cuốn bí kíp đạo bảo vệ cấp tinh diệu vào vật này.	Bí tịch chi ngộ: [TXT]
