ID	Content

1	    [NAME] đã trải qua nhiều kiếp nạn trên thế gian, cuối cùng đã vượt qua cõi trần, bay lên cõi thiên giới.
2	    Khi [NAME] du lịch trong cõi tiên, tình cờ ăn phải một vật kỳ lạ [DAN1]. Tuy nhiên, điều bất ngờ là vật này lại là một giống loài sinh ra từ hỗn độn, sau khi [NAME] sử dụng, đạo hạnh tăng lên đáng kể, không thể nào kiềm chế, cuối cùng trở thành một với ánh sáng, thân hóa thành thiên đạo.
3	    Trong khi du lịch ở cõi tiên, [NAME] tình cờ biết được sự huyền bí của đại la kim tiên. Thì ra, tiên nhân tuy đều tự do, nhưng thành tựu giữa họ cũng có sự khác biệt, chỉ khi nào hoàn thiện mọi trạng thái ở nhân gian mới có thể chứng ngộ đại la, mở ra thế giới bên ngoài hỗn độn. [NAME] ngay lập tức nảy sinh ngưỡng mộ, quyết tâm tái nhập luân hồi để chứng ngộ đại la.
4	    [NAME] đã tu luyện nhiều năm trong cõi tiên, cuối cùng cũng chạm đến ngưỡng cửa thiên tiên. Tuy nhiên, tâm cảnh tu luyện vẫn còn thiếu sót, trong quá trình đột phá định cảnh luân hồi đã lạc lối, tu vi tiêu tan, lại rơi vào luân hồi.
5	    Sau nhiều năm du lịch trong cõi tiên, [NAME] cuối cùng quyết định không còn lang thang nữa, mà tìm một nơi yên tĩnh ở [PLACE1] để ẩn dật, từ đó dấu chân tiên khó tìm, sống tự do tự tại.
6	    Trong quá trình du lịch ở cõi tiên, [NAME] nhiều lần tham gia vào những tranh chấp giữa các tiên nhân, cuối cùng không thể cắt đứt nghiệp duyên, trong một lần tĩnh tu, tâm hồn bị mất giữ, hình thần tán loạn, lại rơi vào luân hồi.
7	    Trong cuộc chiến giữa tiên giới và ma vật, [NAME] không may bị nhiễm ma khí, khi phát hiện ra thì đã không còn cách cứu vãn. Để tránh hoàn toàn bị ma hóa thành ma vật, [NAME] chỉ còn cách tiêu tan tu vi, tái nhập luân hồi.
8	    Khi [NAME] du lịch đến [PLACE1], phát hiện một hiện tượng kỳ lạ mang tên [EVENT1]. Để thấu hiểu sự huyền bí này, [NAME] quyết định khai mở động phủ trong không gian gần đó, định cư lại. Trong một lần tham ngộ, hiện tượng kỳ lạ đột nhiên bùng phát, [NAME] nhất thời không chú ý, tâm trí bị cuốn hút, toàn bộ tiên lực theo hiện tượng kỳ lạ mà biến mất, bị cuốn vào hiện tượng kỳ lạ, không còn dấu vết.
9	    [NAME] đã tu luyện nhiều năm trong cõi tiên, cuối cùng cũng chạm đến ngưỡng cửa thiên tiên. Tuy nhiên, pháp lực luyện tập chưa đủ, mặc dù đã vượt qua định cảnh luân hồi, nhưng trong quá trình tái tạo thân thể không có lỗi, sức lực không đủ. [NAME] không muốn trở thành linh tiên sống tạm bợ, nên đã tự tiêu tan tu vi, tái nhập luân hồi.
10	    Trong khi du lịch ở cõi tiên, [NAME] vô tình làm rơi đệ tử của [NAME1] xuống trần gian. [NAME1] vì muốn cắt đứt nhân quả, đã tự tay ra tay, tiêu diệt tu vi của [NAME], đưa vào luân hồi.
11	    Khi [NAME] du lịch ở cõi tiên, tại [PLACE1] gặp phải bùng nổ ma lỗ. Để ngăn chặn sự nhiễm ma quy mô lớn xảy ra, các tiên nhân đã hợp lực phong tỏa khu vực này, chiến đấu với ma vật suốt hàng chục năm. [NAME] không may đã hy sinh trong cuộc chiến này, tái nhập luân hồi.
12	    Khi [NAME] du lịch ở [PLACE1], bị [MONSTER1] vây công, thân thể tiên bị hủy diệt. Trong tình thế không còn cách nào khác, [NAME] chỉ còn cách tự tiêu tan tiên lực, tái nhập luân hồi.
13	    Trong khi du lịch ở cõi tiên, [NAME] bỗng cảm nhận được [IDEA1], dưới sự giao cảm linh khí, đã ngộ ra đạo của thiên tiên. Tại [PLACE1], [NAME] đã đóng cửa tu luyện suốt mười năm, tái tạo thân thể không có lỗi, thấu hiểu trăm kiếp luân hồi, đạt được cảnh giới thiên tiên. Trong cảnh luân hồi, một cái nháy mắt đã trôi qua ngàn năm, ngoảnh lại đã thấy quá khứ như khói bụi. Giây phút này, [NAME] cuối cùng cũng phần nào hiểu được, thiên tiên cảnh giới là gì, tại sao những tổ sư đã bay lên lại không trở về nhân gian nữa.
14	    [NAME] tại [PLACE1] bị [MONSTER1] vây công, mặc dù may mắn thoát được, nhưng thân thể tiên bị hủy diệt, suýt nữa phải tái nhập luân hồi. Trong tình thế tuyệt vọng, [NAME] đã mạnh mẽ đột phá cảnh giới thiên tiên, tự tiêu tan thân thể, tiêu diệt toàn bộ pháp lực, nguyên thần trực tiếp vào định cảnh luân hồi. Trong một cái nháy mắt, trải qua trăm kiếp luân hồi. May mắn thay, [NAME] phúc duyên sâu dày, một chút chân linh trong luân hồi không bị tiêu diệt, đã thành công vượt qua cảnh giới! Khi tỉnh lại, pháp lực của [NAME] đã được rửa luyện thành thiên tiên lực, thân thể cũng được tái tổ hợp thành thân thể không có lỗi, ngoảnh lại đã thấy quá khứ như khói bụi. Giây phút này, [NAME] cuối cùng cũng phần nào hiểu được, thiên tiên cảnh giới là gì, tại sao những tổ sư đã bay lên lại không trở về nhân gian nữa.
15	    [NAME] tình cờ gặp [NAME1] ở [PLACE1] đang giảng [IDEA1], giữa sự huyền bí, [NAME] chỉ cảm thấy nguyên thần chuyển động, đã rơi vào định cảnh luân hồi. Thậm chí đã chạm đến cơ duyên phá cảnh của thiên tiên. Trong định cảnh không cảm thấy thời gian trôi qua, khi tỉnh lại, đã trôi qua hàng chục năm. Pháp lực của [NAME] đã được rửa luyện thành thiên tiên lực, thân thể cũng được tái tổ hợp thành thân thể không có lỗi. Trải qua sự rửa tội của cảnh luân hồi, ngoảnh lại đã thấy quá khứ như khói bụi. Giây phút này, [NAME] cuối cùng cũng phần nào hiểu được, thiên tiên cảnh giới là gì, tại sao những tổ sư đã bay lên lại không trở về nhân gian nữa.
16	    [NAME] tại [PLACE1] tình cờ tìm thấy [DAN1], sau khi sử dụng, cuối cùng đã tiến thêm một bước, chạm đến cơ duyên đột phá thiên tiên đạo. Dưới sức hút của khí cơ, nguyên thần của [NAME] đã không tự chủ được rơi vào định cảnh luân hồi. Trong cảnh luân hồi, một cái nháy mắt đã trôi qua ngàn năm, [NAME] trong trăm kiếp luân hồi đã vất vả trôi nổi, cuối cùng giữ được một chút chân linh không bị tiêu diệt, thuận lợi vượt qua cảnh giới, tạo ra thân thể thiên tiên không có lỗi. Khi [NAME] quay đầu lại, đã thấy quá khứ như những trải nghiệm trong trăm kiếp luân hồi, mặc dù rất rõ ràng, nhưng lại như khói bụi. Giây phút này, [NAME] cuối cùng cũng phần nào hiểu được tâm cảnh thiên tiên là gì, tại sao những tổ sư đã bay lên lại không trở về nhân gian nữa.
17	    [NAME] tại [PLACE1] bỗng có cảm giác, biết rằng nơi này có duyên với mình, nên đã khai mở động phủ tại đây, lập ra đạo tràng. Trong vòng trăm năm, cũng thu nhận một số tiên đồng linh thú, tụ tập ba năm bạn tiên thảo luận đạo lý, dần dần hình thành khí hậu, động phủ của mình cũng trở thành một nơi kỳ diệu trong khu vực này.
18	    Khi [NAME] du lịch đến [PLACE1], tình cờ phát hiện một hiện tượng kỳ lạ mang tên [EVENT1]. Để thấu hiểu sự huyền bí này, [NAME] quyết định khai mở động phủ trong không gian gần đó, định cư lại. Các tiên nhân không phân biệt tuổi tác, trăm năm trôi qua như một cái nháy mắt, dần dần có những tiên nhân khác tụ tập ở đây để tham ngộ [EVENT1], động phủ của [NAME] nhờ vào địa lợi mà dần trở thành một nơi mọi người giao lưu thảo luận, tự hình thành một khí hậu riêng.
19	    Khi [NAME] du lịch ở [PLACE1] vô tình lọt vào ổ của [MONSTER1], trong lúc nguy cấp, một số bạn tiên đi qua đã ra tay cứu giúp, [NAME] mới có thể hóa thân thoát khỏi. Qua cuộc chiến này, [NAME] và một vài bạn tiên đã trở thành bạn tốt, mọi người thảo luận một hồi, quyết định khai mở động phủ tại đây, một mặt để tham ngộ đạo lý, một mặt cũng có thể nhắc nhở các ngươi tiên khác không làm phiền đến giấc ngủ của [MONSTER1], đặt họ vào nơi nguy hiểm. Chớp mắt trăm năm trôi qua, [MONSTER1] cảm kích sự bảo vệ của mọi người, đã kết thành giao ước với [NAME]. Nhờ vào sức mạnh của [MONSTER1], động phủ của [NAME] cũng trở nên có khí thế lớn, trở thành một nơi thánh địa tiên cảnh.
20	    [NAME] tại [PLACE1] tình cờ gặp một bạn tiên khác giới, hai người rất hợp nhau, nên đã cùng nhau du lịch. Thì ra hai người thực sự có duyên tình qua trăm kiếp, nay cùng nhau thoát khỏi luân hồi, gặp nhau trong cõi tiên, thật là duyên phận đã định. Sau vài năm sống chung, những ký ức trước đây cũng dần dần hồi phục, hai người lại kết thành đạo lữ, và tại nơi gặp gỡ ban đầu khai mở động phủ, quản lý trong suốt một trăm năm, cũng tạo thành một câu chuyện tiên tuyệt đẹp.
21	    Trong khi du lịch ở cõi tiên, [NAME] tình cờ kết duyên với [NAME1], liền thuận thế nương nhờ dưới trướng của [NAME1]. [NAME1] là một trong những đại la kim tiên cổ xưa nhất tại cõi thiên giới, đạo tràng của ông được khai mở trong hỗn độn bên ngoài thiên giới, thế lực tự thành một thể, thống trị một phương tại cõi thiên giới.
22	    Khi [NAME] du lịch ở cõi tiên, cảm nhận được cõi tiên đang bị ma nhiễm nặng nề, liền gia nhập vào thiên đình để tìm kiếm một công việc. Thiên đình là thế lực đại diện cho thiên đạo tại cõi thiên giới, phân công các tiên nhân mỗi người một việc, duy trì sự vận hành của thiên đạo, cũng là lực lượng chính để thanh trừ ma nhiễm.
23	    [NAME] trong khi du lịch ở cõi tiên, cảm nhận được con đường tiên đạo vô tận, hy vọng tu vi có thể tiến bộ thêm một lần nữa. Do đó, đã đến ba mươi ba tầng trời, gia nhập vào môn hạ của đạo tổ, tham ngộ đạo lý.
24	    Khi [NAME] du lịch ở cõi tiên, tình cờ gặp được những tu sĩ từ cõi này đã bay lên, trò chuyện một hồi, thì ra những tu sĩ này đã thành lập một liên minh tại cõi thiên giới để hỗ trợ lẫn nhau. [NAME] cảm thấy con đường tiên rất nhiều trắc trở, nên cũng đồng ý tham gia vào liên minh này.
25	    [NAME] bỗng nảy sinh ý nghĩ, tu hành một đời đã thành tiên đạo, nếu không thể tiến thêm một bước để chứng ngộ đại la cảnh giới, chẳng phải là phụ lòng cuộc sống tự do này sao? Vì vậy, đã âm thầm đặt ra quyết tâm đại la.
26	    [NAME] bỗng cảm thán, cõi tiên cũng không phải là nơi vĩnh viễn tự do, trong đó cũng có nhân quả tính toán, ma nhiễm tranh đấu, bỗng sinh chán ghét. Do đó, đã âm thầm quyết định từng bước thoát khỏi nhân quả, cuối cùng tìm kiếm sự tự do thật sự.
27	    [NAME] bỗng cảm thán, giữa trời đất có nhiều điều kỳ diệu, hơn là dính dáng vào những tranh chấp nhân quả, không bằng tìm kiếm để khám phá những bí ẩn trong đó, thật sự là niềm vui của tiên nhân. Do đó, đã nảy sinh ý nguyện tìm hiểu sâu sắc.
