ID	Name	Desc	sParam1	sParam2

1	Ngày nắng	    Thời tiết trở nên rất trong sáng, không biết thời tiết tốt này sẽ kéo dài bao lâu.		
2	Ngày âm u	    Bầu trời trở nên u ám, không biết ngày âm u này sẽ kéo dài bao lâu.		
3	Mưa nhỏ	    Một trận mưa nhỏ đến.		
4	Mưa lớn	    Một trận mưa lớn đến.		
5	Sương mù dày đặc	    Đột nhiên xuất hiện một trận sương mù dày đặc.		
6	Nỗi buồn bao trùm	    Một làn sóng buồn phiền vô hình lan tỏa trong môn phái.		
7	Hơi thở mơ hồ	    Một luồng khí mập mờ lan tỏa trong môn phái.		
8	Gió bồn chồn	    Một làn gió bất an đột ngột lan tỏa trong môn phái.		
9	Mưa đá	    Một trận mưa đá ập đến. (Chưa được thực hiện)		
10	Mùa mưa	    Một trận mưa mùa Mai đến.		
11	Hạn hán	    Một trận hạn hán đến.		
12	Bão tố	    Một cơn bão mạnh mẽ ập đến, thuộc tính nước trong thiên địa trở nên cực kỳ hoạt động.		
13	Gió nóng	    Một cơn gió nóng bức ập đến, thuộc tính lửa trong thiên địa trở nên cực kỳ hoạt động.		
14	Bão cát	    Một trận bão cát ập đến, thuộc tính đất trong thiên địa trở nên cực kỳ hoạt động.		
15	Linh khí cạn kiệt	    Không biết vì lý do gì, linh khí trong thiên địa đã bước vào thời kỳ tạm thời thấp.		
16	Nắng nóng	    Nắng nóng đến, mùa hè này sẽ đặc biệt nóng, hãy chú ý đến việc tránh nóng.		
17	Mùa đông lạnh giá	    Mùa đông sắp đến, mùa đông này sẽ đặc biệt lạnh, hãy chú ý giữ ấm.		
18	Vĩnh Dạ vô tận	    Một đám mây quái dị che trời, sẽ kéo dài một thời gian không thấy ánh mặt trời.		
19	Bệnh dịch	    Một trận sương mù bao trùm toàn khu vực, thuộc tính gỗ trong thiên địa trở nên cực kỳ hoạt động.		
20	Bão sấm	    Một trận bão sấm sét ập đến, thuộc tính kim trong thiên địa trở nên cực kỳ hoạt động.		
21	Quái thú	    Một con quái vật xuất hiện gần đó, mang đến mưa kéo dài và bệnh tật.		
22	Quái thú	    Một con hươu xuất hiện gần đó, mang đến thời tiết trong sáng và bầu không khí tốt lành.		
23	Tiểu yêu tinh kỳ lạ	    Một nhóm tiểu yêu từ thế giới khác mang theo một số kho báu lang thang qua môn phái của ngươi. Những tiểu yêu này mặc dù rất nhút nhát, nhưng dường như do quy tắc của hai thế giới khác nhau, các phương pháp thường dùng trong tu luyện không thể ảnh hưởng đến chúng, vì vậy những kẻ này thường lang thang không chút kiêng nể. Nếu muốn lấy được những kho báu từ tay chúng, ngươi cần phải nghĩ ra cách.		
24	Quái thú	    Quái thú D xuất hiện gần đó.		
25	Bảo vật	    Một tia sáng bay từ chân trời xuống gần đó, không biết đó là thứ gì.		
26	Bảo vật	    Không xa bầu trời xảy ra một trận đấu pháp kịch liệt, có thứ gì đó rơi xuống gần đó.		
27	Bảo vật	    Gần đó đột nhiên có một luồng ánh sáng bảo vật lao thẳng tới, dường như có bảo vật xuất hiện.		
28	Người tị nạn đi qua	    Một người tị nạn trốn tránh chiến tranh đi qua đây, [IT] mong muốn gia nhập với các ngươi.		
29	Tin tức bí mật			
30	Tin tức bí mật			
31	Tin tức bí mật			
32	Tin tức bí mật			
33	Tin tức bí mật			
34	Tấn công	    Một nhóm man rợ từ rừng Nam Hoang tấn công ngươi.		
35	Tấn công	    Một nhóm cướp sống lang thang trong giang hồ tấn công ngươi.		
36	Tấn công	    Một nhóm tán tu từ Đông Hải thèm muốn tài sản của ngươi, tấn công ngươi.		
37	Tấn công mạnh mẽ	    Một nhóm tu sĩ tà phái từ Tây Vực tấn công ngươi.		
38	Tấn công mạnh mẽ	    Một số đệ tử tà phái lang thang tấn công môn phái của ngươi.		
39	Tấn công mạnh mẽ	    Một nhóm tu sĩ mạnh mẽ đến tấn công môn phái của ngươi.		
40	Tấn công mạnh mẽ	    Một nhóm tu sĩ tà phái nổi tiếng tấn công môn phái của ngươi.		
41	Thời đại mở ra	    Gần đây, Nam Hoang xảy ra thảm họa nứt đất, một lượng lớn người man rợ và cướp từ Nam Hoang tràn ra.		
42	ngươi tiên đến thăm	    Một Bằng Hữu tiên đến thăm môn phái của ngươi, có lẽ là muốn ở lại vài ngày.	仙友来访	
43	Người đi đường lạc lối	    Một người đi đường bị lạc gần đây, mong muốn nhận được sự giúp đỡ của chúng ta.	迷路的路人	
44	Người đi đường tò mò	    Một người đi đường đầy tò mò tình cờ đến đây, đặc biệt muốn biết chúng ta đang làm gì.	好奇的路人	
45	Người đi đường bị thương	    Một người đi đường bị thương, mong muốn tạm thời ở lại nghỉ ngơi và nhận sự giúp đỡ của chúng ta.	受伤的路人	
46	Tuyết nhỏ	    Một trận tuyết nhỏ đến.		
47	Tuyết lớn	    Một trận tuyết lớn đến.		
48	Người quan sát	    Một tu sĩ đang quan sát các ngươi, dường như không có ác ý.	观察者	
49	Thú hoang tấn công	    Một nhóm sói đói xuất hiện gần đó, chúng đầy thù địch.		
50	Thú hoang tấn công	    Một nhóm thỏ điên xuất hiện gần đó, chúng đầy thù địch.		
51	Thú hoang tấn công	    Một nhóm rắn tấn công xuất hiện gần đó, chúng đầy thù địch.		
52	Thú hoang tấn công	    Một nhóm lợn rừng điên cuồng xuất hiện gần đó, chúng đầy thù địch.		
53	Tin tức bí mật			
54	Tin tức bí mật			
55	Tin tức bí mật			
56	Tin tức bí mật			
57	Tin tức bí mật			
58	Tin tức bí mật			
59	Tin tức bí mật			
61	Tin tức bí mật			
62	Tin tức bí mật			
63	Tin tức bí mật			
64	Tin tức bí mật			
65	Tin tức bí mật			
66	Tin tức bí mật			
67	Tin tức bí mật			
68	Tin tức bí mật			
69	Tin tức bí mật			
70	Tin tức bí mật			
71	Tin tức bí mật			
72	Tin tức bí mật			
73	Tin tức bí mật			
74	Tin tức bí mật			
75	Tin tức bí mật			
80	Dòng nước ấm	    Trong mùa đông, một luồng ấm áp đi qua đây, mùa đông này sẽ ấm áp hơn nhiều.		
81	Gió mát	    Trong mùa hè, một luồng lạnh đi qua đây, mùa hè này sẽ mát mẻ hơn nhiều.		
82	Hơi thở bội thu	    Hương vị của mùa thu hoạch lan tỏa.		
83	Linh khí bùng nổ	    Không biết vì lý do gì, linh khí trong thiên địa đột nhiên bùng nổ. Một số thực vật bị nhiễm, biến thành linh mộc.		
84	Tin tức bí mật			
85	Hơi thở của mùa xuân	    Hương vị của mùa xuân lan tỏa.		
86	Quái thú xâm lấn	    Một số yêu thỏ xuất hiện gần đó, chúng đầy thù địch.		
87	Quái thú xâm lấn	    Một số yêu sói xuất hiện gần đó, chúng đầy thù địch.		
88	Quái thú xâm lấn	    Một số yêu rắn xuất hiện gần đó, chúng đầy thù địch.		
89	Quái thú xâm lấn	    Một số yêu lợn xuất hiện gần đó, chúng đầy thù địch.		
90	Quái thú xâm lấn	    Một số yêu gấu xuất hiện gần đó, chúng đầy thù địch.		
91	Quái thú xâm lấn	    Một số ếch khổng lồ xuất hiện gần đó, chúng đầy thù địch.		
92	Quái thú xâm lấn	    Một số rùa khổng lồ xuất hiện gần đó, chúng đầy thù địch.		
93	Quái thú xâm lấn	    Một số yêu thú xuất hiện gần đó, chúng đầy thù địch.		
94	Dấu vết rồng			
95	Dấu vết phượng hoàng			
96	Dấu vết rồng nến			
97	Tu sĩ cổ đại			
98	Tin tức bí mật			
99	Tin tức bí mật			
100	Tin tức bí mật			
