Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
EatShit	Ta tuyệt đối không ăn phân, trừ khi được cho ăn	ta rất ít khi ăn phân	ta thỉnh thoảng sẽ ăn phân	ta thỉnh thoảng sẽ ăn phân	ta thường ăn phân										
EatEssence	Ta tuyệt đối không ăn Thiên Địa Linh Căn, trừ khi được cho ăn	ta rất ít khi ăn Thiên Địa Linh Căn	ta thỉnh thoảng sẽ ăn Thiên Địa Linh Căn	ta thỉnh thoảng sẽ ăn Thiên Địa Linh Căn	ta thường ăn Thiên Địa Linh Căn										
EatDrug	Ta tuyệt đối không coi đan dược là đồ ăn vặt, trừ khi được cho ăn	ta rất ít khi coi đan dược là đồ ăn vặt	ta thỉnh thoảng sẽ ăn đan dược như đồ ăn vặt	ta thỉnh thoảng sẽ coi đan dược như đồ ăn vặt	ta thường coi đan dược như đồ ăn vặt										
EatWheat	Ta không ăn lúa mì trừ khi không còn cách nào khác	ta rất ít khi ăn lúa mì	ta thỉnh thoảng sẽ ăn lúa mì	ta thỉnh thoảng sẽ ăn lúa mì	ta thường ăn lúa mì										
EatDryMeat	Ta không ăn thịt khô trừ khi không còn cách nào khác	ta rất ít khi ăn thịt khô	ta thỉnh thoảng sẽ ăn thịt khô	ta thỉnh thoảng sẽ ăn thịt khô	ta thường ăn thịt khô										
EatPear	Ta không ăn lê trừ khi không còn cách nào khác	ta rất ít khi ăn lê	ta thỉnh thoảng sẽ ăn lê	ta thỉnh thoảng sẽ ăn lê	ta thường ăn lê										
EatMeat	Ta không ăn thịt sống trừ khi không còn cách nào khác	ta rất ít khi ăn thịt sống	ta thỉnh thoảng sẽ ăn thịt sống	ta thỉnh thoảng sẽ ăn thịt sống	ta thường ăn thịt sống										
EatCook	Ta chỉ ăn đồ chín khi không còn cách nào khác	ta rất ít khi ăn thức ăn chín	ta thỉnh thoảng sẽ ăn đồ chín	ta thỉnh thoảng sẽ ăn thức ăn chín	ta thường ăn thức ăn chín										
EatWeight	Ta chỉ ăn khi rất đói	ta chỉ ăn khi rất đói	Khi đói, ta sẽ đi ăn	ta hơi đói nên sẽ ăn gì đó	ta chỉ hơi đói là đã ăn	-1	-1	0	1	1					
BiteBuilding	Ta tuyệt đối không tấn công công trình	ta rất ít khi tấn công công trình	ta thỉnh thoảng sẽ tấn công công trình	ta thỉnh thoảng sẽ tấn công công trình	ta thường tấn công các công trình một cách mạnh mẽ										
BiteClothes	Ta tuyệt đối không tấn công quần áo	ta rất ít khi tấn công quần áo	ta thỉnh thoảng sẽ tấn công quần áo	ta thỉnh thoảng sẽ tấn công quần áo	ta thường tấn công quần áo một cách mạnh mẽ										
BiteOuter	Ta tuyệt đối không tấn công đệ tử ngoại môn	ta rất ít khi tấn công đệ tử ngoại môn	ta thỉnh thoảng sẽ tấn công đệ tử ngoại môn	ta thỉnh thoảng sẽ tấn công đệ tử ngoại môn	ta thường tấn công các đệ tử ngoại môn một cách mạnh mẽ										
BiteInner	Ta tuyệt đối không tấn công đệ tử nội môn	ta rất ít khi tấn công đệ tử nội môn	ta thỉnh thoảng sẽ tấn công đệ tử nội môn	ta thỉnh thoảng sẽ tấn công đệ tử nội môn	ta thường tấn công nội môn một cách mạnh mẽ										
BiteVisitor	Ta tuyệt đối không tấn công khách viếng thăm	ta rất ít khi tấn công khách tham quan	ta thỉnh thoảng sẽ tấn công khách viếng thăm	ta thỉnh thoảng sẽ tấn công khách viếng thăm	ta thường tấn công khách viếng thăm một cách mạnh mẽ										
BiteIncoming	Ta tuyệt đối không tấn công khách đến	ta rất ít khi tấn công người đến thăm	ta thỉnh thoảng sẽ tấn công người đến	ta thỉnh thoảng sẽ tấn công người đến thăm	ta thường tấn công những người đến thăm một cách mạnh mẽ										
AtkEnemy	Ta tuyệt đối không tấn công kẻ thù, trừ khi bị tấn công	ta rất ít khi tấn công kẻ thù	ta thỉnh thoảng sẽ tấn công kẻ thù	ta thỉnh thoảng sẽ tấn công kẻ thù	Chỉ cần có kẻ thù tấn công, ta sẽ ngay lập tức phản công										
AtkDizzyOuter	Ta tuyệt đối không tấn công ngoại môn đang hôn mê	ta rất ít khi tấn công ngoại môn đang hôn mê	ta thỉnh thoảng sẽ tấn công ngoại môn đang hôn mê	ta thỉnh thoảng sẽ tấn công kẻ thù đang hôn mê	ta thường tấn công những người ngoại môn đang hôn mê										
